,Discharge_Voltage,Count,DischargeID
0,19716.8125,1.0,2987.0
1,19905.875,1.0,3174.0
2,19965.0,4.0,3217.0
3,17234.25,1.0,3357.0
4,19302.25,1.0,3359.0
5,19847.4375,1.0,3388.0
6,19844.6875,1.0,3416.0
7,19609.5625,2.0,3424.0
8,19366.1875,1.0,3435.0
9,19671.4375,14.0,3573.0
10,19578.625,1.0,3753.0
11,19843.3125,1.0,3789.0
12,19043.75,1.0,3859.0
13,19692.75,1.0,3909.0
14,19776.625,1.0,3914.0
15,19453.5,1.0,4007.0
16,19696.1875,1.0,4119.0
17,19646.0,2.0,4138.0
18,19654.25,1.0,4142.0
19,19707.1875,2.0,4147.0
20,19332.5,1.0,4167.0
21,19409.5,10.0,4180.0
22,19890.0625,1.0,4200.0
23,19712.0,3.0,4231.0
24,19424.625,1.0,4272.0
25,19737.4375,1.0,4275.0
26,19478.25,1.0,4318.0
27,19584.8125,1.0,4321.0
28,19538.0625,1.0,4438.0
29,19574.5,1.0,4492.0
30,19956.0625,1.0,4494.0
31,19676.25,1.0,4510.0
32,20098.375,1.0,4519.0
33,19580.0,1.0,4634.0
34,19770.4375,1.0,4639.0
35,19434.25,1.0,4724.0
36,19717.5,3.0,4729.0
37,19976.0,1.0,4735.0
38,19888.6875,1.0,4747.0
39,19023.125,1.0,4765.0
40,19758.75,1.0,4771.0
41,19254.8125,1.0,4794.0
42,19840.5625,1.0,4807.0
43,19276.8125,6.0,4826.0
44,19576.5625,1.0,4836.0
45,16940.0,2.0,4841.0
46,19364.8125,1.0,4859.0
47,19573.8125,3.0,4873.0
48,19619.875,7.0,4881.0
49,20006.25,1.0,4892.0
50,7598.25,2.0,4897.0
51,19828.875,1.0,4918.0
52,19755.3125,3.0,4928.0
53,19720.25,1.0,4932.0
54,19650.8125,3.0,4976.0
55,19485.125,2.0,4979.0
56,19610.9375,1.0,4981.0
57,19880.4375,1.0,4996.0
58,19557.3125,1.0,4998.0
59,19168.875,13.0,5021.0
60,19272.6875,1.0,5024.0
61,19338.0,10.0,5053.0
62,19828.875,2.0,5065.0
63,19692.0625,1.0,5082.0
64,19414.3125,4.0,5095.0
65,19557.3125,51.0,5148.0
66,18094.3125,1.0,5166.0
67,19276.125,2.0,5170.0
68,19932.0,8.0,5181.0
69,19899.0,1.0,5183.0
70,19492.0,6.0,5191.0
71,19945.0625,37.0,5229.0
72,19538.75,1.0,5235.0
73,19054.75,5.0,5264.0
74,18750.875,1.0,5285.0
75,19256.1875,5.0,5304.0
76,19473.4375,2.0,5307.0
77,19930.625,1.0,5309.0
78,19481.6875,1.0,5311.0
79,19692.0625,2.0,5326.0
80,19624.6875,7.0,5338.0
81,19714.0625,2.0,5341.0
82,19357.25,1.0,5349.0
83,20014.5,2.0,5354.0
84,19379.9375,2.0,5371.0
85,19698.25,35.0,5410.0
86,19248.625,3.0,5414.0
87,19664.5625,2.0,5420.0
88,19446.625,5.0,5462.0
89,19651.5,1.0,5464.0
90,19594.4375,1.0,5476.0
91,13754.8125,7.0,5485.0
92,14748.9375,7.0,5528.0
93,19357.25,1.0,5549.0
94,19582.75,6.0,5561.0
95,19825.4375,35.0,5600.0
96,19481.0,6.0,5607.0
97,19627.4375,19.0,5652.0
98,19203.25,1.0,5662.0
99,19609.5625,3.0,5668.0
100,19577.9375,1.0,5671.0
101,19411.5625,2.0,5691.0
102,19870.125,1.0,5716.0
103,19661.8125,1.0,5747.0
104,19781.4375,1.0,5757.0
105,19645.3125,3.0,5762.0
106,19606.8125,1.0,5765.0
107,19783.5,1.0,5767.0
108,19843.3125,1.0,5769.0
109,19140.0,6.0,5807.0
110,19576.5625,2.0,5810.0
111,19144.8125,1.0,5812.0
112,19746.375,6.0,5819.0
113,16951.0,4.0,5825.0
114,19901.75,3.0,5834.0
115,19747.0625,2.0,5838.0
116,19263.0625,8.0,5852.0
117,19575.1875,3.0,5860.0
118,19476.875,2.0,5864.0
119,19738.8125,6.0,5877.0
120,19914.8125,3.0,5882.0
121,19310.5,4.0,5887.0
122,19614.375,6.0,5895.0
123,19439.0625,3.0,5901.0
124,19775.25,73.0,5975.0
