,Discharge_Voltage,Count,DischargeID
0,20348.625,1.0,922.0
1,20374.0625,1.0,928.0
2,20253.0625,1.0,1005.0
3,20273.0,1.0,1014.0
4,20349.3125,1.0,1018.0
5,20548.6875,1.0,1025.0
6,20429.75,1.0,1058.0
7,20378.875,1.0,1085.0
8,20301.875,1.0,1096.0
9,20327.3125,1.0,1104.0
10,20397.4375,1.0,1132.0
11,20401.5625,1.0,1166.0
12,20080.5,1.0,1205.0
13,20451.0625,1.0,1232.0
14,20248.9375,1.0,1256.0
15,20402.9375,1.0,1263.0
16,20372.0,1.0,1272.0
17,20373.375,1.0,1302.0
18,20459.3125,1.0,1304.0
19,19822.0,1.0,1330.0
20,20462.0625,1.0,1335.0
21,20325.25,1.0,1345.0
22,20273.6875,1.0,1359.0
23,20372.0,1.0,1373.0
24,20473.0625,2.0,1380.0
25,20399.5,2.0,1387.0
26,20022.75,1.0,1391.0
27,20369.9375,1.0,1394.0
28,20365.125,1.0,1410.0
29,19704.4375,1.0,1412.0
30,19882.5,2.0,1415.0
31,20212.5,2.0,1418.0
32,20394.0,1.0,1430.0
33,20149.25,1.0,1439.0
34,20378.1875,2.0,1443.0
35,19958.125,1.0,1446.0
36,20389.1875,2.0,1452.0
37,20391.9375,1.0,1455.0
38,20325.25,1.0,1457.0
39,19980.125,1.0,1468.0
40,20145.125,1.0,1473.0
41,20226.9375,3.0,1481.0
42,20510.1875,1.0,1492.0
43,20464.8125,2.0,1495.0
44,19762.875,1.0,1501.0
45,20152.6875,1.0,1505.0
46,20233.8125,1.0,1509.0
47,20108.0,1.0,1513.0
48,20090.8125,1.0,1516.0
49,20275.75,1.0,1523.0
50,20379.5625,2.0,1528.0
51,20002.8125,1.0,1537.0
52,19359.3125,4.0,1546.0
53,20485.4375,1.0,1550.0
54,20017.9375,2.0,1560.0
55,20253.0625,1.0,1562.0
56,20385.0625,1.0,1565.0
57,20061.9375,3.0,1571.0
58,20256.5,1.0,1574.0
59,20379.5625,10.0,1586.0
60,18051.0,7.0,1595.0
61,20337.625,1.0,1600.0
62,20333.5,1.0,1606.0
63,20326.625,1.0,1610.0
64,20350.0,2.0,1613.0
65,20001.4375,1.0,1615.0
66,20340.375,1.0,1619.0
67,19959.5,2.0,1622.0
68,20113.5,3.0,1628.0
69,20079.8125,1.0,1638.0
70,20442.8125,1.0,1643.0
71,20121.75,5.0,1649.0
72,20103.875,3.0,1659.0
73,20253.75,1.0,1661.0
74,20329.375,1.0,1665.0
75,20323.875,2.0,1669.0
76,20174.6875,2.0,1673.0
77,20368.5625,2.0,1676.0
78,19756.0,1.0,1686.0
79,20349.3125,2.0,1689.0
80,20130.6875,1.0,1691.0
81,20404.3125,2.0,1694.0
82,20396.0625,1.0,1697.0
83,19994.5625,1.0,1703.0
84,20465.5,1.0,1707.0
85,20189.125,3.0,1711.0
86,20158.875,1.0,1713.0
87,20431.8125,3.0,1718.0
88,20317.0,1.0,1720.0
89,20438.0,2.0,1725.0
90,20474.4375,1.0,1727.0
91,20029.625,1.0,1732.0
92,16809.375,1.0,1734.0
93,20540.4375,1.0,1736.0
94,19954.6875,1.0,1744.0
95,19628.8125,1.0,1747.0
96,20366.5,1.0,1752.0
97,20379.5625,1.0,1755.0
98,20145.125,1.0,1760.0
99,20493.0,2.0,1765.0
100,20017.25,1.0,1767.0
101,20075.6875,1.0,1769.0
102,20348.625,1.0,1771.0
103,20099.75,1.0,1773.0
104,17853.6875,1.0,1778.0
105,20438.0,1.0,1782.0
106,20408.4375,1.0,1784.0
107,20364.4375,2.0,1790.0
108,19828.875,2.0,1794.0
109,20191.875,1.0,1800.0
110,20250.3125,1.0,1803.0
111,20414.625,1.0,1805.0
112,20352.0625,2.0,1811.0
113,19715.4375,1.0,1814.0
114,19177.125,1.0,1816.0
115,20070.1875,1.0,1823.0
116,20394.6875,2.0,1826.0
117,20350.0,1.0,1830.0
118,20542.5,1.0,1833.0
119,19935.4375,1.0,1835.0
120,20440.75,1.0,1838.0
121,20355.5,1.0,1841.0
122,20428.375,1.0,1843.0
123,20191.875,1.0,1847.0
124,20409.125,3.0,1858.0
125,19657.6875,1.0,1860.0
126,19941.625,1.0,1863.0
127,20008.3125,6.0,1870.0
128,20429.75,1.0,1874.0
129,20153.375,2.0,1877.0
130,19908.625,1.0,1879.0
131,19957.4375,1.0,1881.0
132,20110.75,2.0,1885.0
133,20148.5625,1.0,1887.0
134,20416.6875,4.0,1898.0
135,20156.125,7.0,1906.0
136,20103.1875,6.0,1917.0
137,20304.625,2.0,1920.0
138,20121.75,1.0,1922.0
139,19777.3125,3.0,1927.0
140,19998.6875,8.0,1936.0
141,19705.125,1.0,1938.0
142,20286.0625,1.0,1948.0
143,19947.8125,1.0,1951.0
144,20097.0,2.0,1955.0
145,20264.0625,4.0,1961.0
146,19922.375,2.0,1965.0
147,19432.1875,4.0,1971.0
148,20174.0,6.0,1978.0
149,19828.1875,1.0,1981.0
150,20439.375,1.0,1988.0
151,20406.375,2.0,1991.0
152,20051.625,3.0,1995.0
153,20246.875,1.0,2001.0
154,19990.4375,1.0,2005.0
155,20121.75,1.0,2009.0
156,20459.3125,7.0,2018.0
157,20019.3125,1.0,2028.0
158,20267.5,1.0,2031.0
159,20101.8125,2.0,2035.0
160,19180.5625,2.0,2038.0
161,20433.1875,1.0,2043.0
162,20282.625,3.0,2048.0
163,19274.0625,5.0,2054.0
164,20440.75,1.0,2058.0
165,13536.875,1.0,2060.0
166,20434.5625,1.0,2062.0
167,20085.3125,3.0,2067.0
168,19772.5,1.0,2071.0
169,20218.0,1.0,2074.0
170,20153.375,5.0,2080.0
171,20385.75,4.0,2087.0
172,20061.9375,1.0,2089.0
173,19786.9375,5.0,2095.0
174,20077.0625,10.0,2107.0
175,20396.0625,1.0,2112.0
176,19871.5,4.0,2121.0
177,19642.5625,2.0,2128.0
178,20231.0625,1.0,2134.0
179,19802.75,2.0,2139.0
180,19899.6875,8.0,2150.0
181,20377.5,6.0,2157.0
182,20001.4375,3.0,2162.0
183,20400.1875,1.0,2164.0
184,16876.0625,1.0,2166.0
185,20253.75,1.0,2168.0
186,20318.375,1.0,2170.0
187,14517.9375,2.0,2173.0
188,20315.625,2.0,2176.0
189,20007.625,1.0,2178.0
190,20116.9375,21.0,2200.0
191,20528.75,7.0,2208.0
192,20160.25,1.0,2210.0
193,20499.875,7.0,2219.0
194,19989.75,4.0,2224.0
195,19727.8125,4.0,2229.0
196,20410.5,2.0,2232.0
197,20088.75,7.0,2240.0
198,20009.6875,5.0,2246.0
199,20264.0625,1.0,2248.0
200,20372.0,3.0,2252.0
201,20306.6875,1.0,2254.0
202,19985.625,2.0,2259.0
203,20177.4375,2.0,2263.0
204,20139.625,1.0,2265.0
205,19289.875,1.0,2267.0
206,20046.125,16.0,2285.0
207,20385.75,2.0,2289.0
208,20365.8125,2.0,2294.0
209,20376.8125,1.0,2296.0
210,18750.1875,2.0,2299.0
211,20319.0625,1.0,2302.0
212,20196.6875,1.0,2304.0
213,20378.875,2.0,2308.0
214,13838.6875,4.0,2313.0
215,20010.375,2.0,2317.0
216,20224.1875,2.0,2330.0
217,20512.25,1.0,2333.0
218,17988.4375,1.0,2335.0
219,20358.25,2.0,2338.0
220,20209.0625,1.0,2341.0
221,20308.75,6.0,2349.0
222,20456.5625,1.0,2351.0
223,20398.8125,1.0,2354.0
224,20002.125,3.0,2360.0
225,19899.0,11.0,2372.0
226,20502.625,4.0,2379.0
227,19973.9375,4.0,2384.0
228,20343.125,1.0,2387.0
229,20457.25,1.0,2389.0
230,20416.0,2.0,2392.0
231,20382.3125,2.0,2395.0
232,20486.8125,1.0,2399.0
233,20451.0625,1.0,2403.0
234,19238.3125,2.0,2410.0
235,20402.9375,2.0,2413.0
236,20347.9375,1.0,2415.0
237,20336.9375,3.0,2419.0
238,20158.1875,2.0,2422.0
239,20165.0625,3.0,2426.0
240,20357.5625,1.0,2428.0
241,17879.125,1.0,2431.0
242,20209.0625,1.0,2434.0
243,20026.875,8.0,2443.0
244,19910.0,1.0,2445.0
245,20189.8125,3.0,2451.0
246,19993.1875,11.0,2463.0
247,19995.25,2.0,2466.0
248,20402.25,2.0,2469.0
249,20092.1875,4.0,2474.0
250,20491.625,2.0,2477.0
251,19847.4375,17.0,2496.0
252,17945.8125,11.0,2509.0
253,20183.625,3.0,2513.0
254,20327.3125,2.0,2516.0
255,20508.125,1.0,2518.0
256,20092.875,1.0,2521.0
257,19764.9375,14.0,2536.0
258,7937.1875,14.0,2551.0
259,19193.625,2.0,2554.0
260,17525.0625,2.0,2557.0
261,19712.6875,8.0,2567.0
262,20041.3125,1.0,2569.0
263,20350.0,2.0,2574.0
264,20147.875,3.0,2578.0
265,20120.375,4.0,2583.0
266,19778.0,2.0,2586.0
267,20362.375,18.0,2605.0
268,20325.9375,1.0,2607.0
269,20385.75,18.0,2627.0
270,20169.1875,12.0,2640.0
271,19306.375,3.0,2644.0
272,20244.125,9.0,2654.0
273,20349.3125,41.0,2696.0
274,20020.0,1.0,2698.0
275,19203.9375,1.0,2702.0
276,20455.1875,7.0,2712.0
277,20328.0,8.0,2721.0
