,Discharge_Voltage,Count,DischargeID
0,19964.3125,1.0,1137.0
1,20137.5625,1.0,1217.0
2,20264.75,1.0,1223.0
3,20300.5,1.0,1227.0
4,19646.0,1.0,1233.0
5,19824.0625,1.0,1268.0
6,20431.125,1.0,1296.0
7,19438.375,1.0,1304.0
8,20358.25,1.0,1317.0
9,20204.25,1.0,1323.0
10,20400.1875,1.0,1330.0
11,20383.0,1.0,1333.0
12,16768.8125,1.0,1348.0
13,20434.5625,1.0,1360.0
14,20283.3125,6.0,1367.0
15,20422.1875,3.0,1371.0
16,20449.0,2.0,1376.0
17,20359.625,2.0,1388.0
18,20324.5625,1.0,1392.0
19,20374.0625,1.0,1394.0
20,19586.1875,1.0,1417.0
21,20285.375,1.0,1453.0
22,20110.75,1.0,1463.0
23,20097.0,1.0,1465.0
24,20394.6875,1.0,1468.0
25,20468.25,4.0,1487.0
26,20019.3125,6.0,1498.0
27,18710.3125,1.0,1502.0
28,19272.6875,1.0,1516.0
29,20072.25,3.0,1520.0
30,20446.25,1.0,1523.0
31,20248.25,5.0,1535.0
32,20064.0,4.0,1540.0
33,19597.1875,1.0,1546.0
34,20033.0625,1.0,1549.0
35,19823.375,1.0,1556.0
36,19892.125,5.0,1562.0
37,20158.875,1.0,1564.0
38,19643.9375,1.0,1571.0
39,19624.6875,1.0,1577.0
40,20120.375,1.0,1580.0
41,19621.25,4.0,1587.0
42,20149.9375,1.0,1595.0
43,14987.5,2.0,1601.0
44,19873.5625,5.0,1610.0
45,18631.9375,7.0,1619.0
46,20317.0,2.0,1627.0
47,20450.375,3.0,1631.0
48,13646.1875,1.0,1633.0
49,20263.375,3.0,1637.0
50,20434.5625,1.0,1643.0
51,20206.3125,4.0,1648.0
52,19812.375,2.0,1663.0
53,20100.4375,4.0,1674.0
54,20514.3125,5.0,1680.0
55,18684.875,1.0,1682.0
56,20644.9375,1.0,1696.0
57,19771.8125,3.0,1703.0
58,19284.375,1.0,1707.0
59,20224.1875,1.0,1709.0
60,20081.875,1.0,1713.0
61,20343.125,1.0,1715.0
62,20156.8125,1.0,1717.0
63,19542.875,1.0,1726.0
64,20189.8125,1.0,1756.0
65,20518.4375,1.0,1762.0
66,19541.5,4.0,1772.0
67,20464.125,2.0,1788.0
68,20514.3125,3.0,1792.0
69,20251.0,6.0,1799.0
70,20355.5,1.0,1802.0
71,20253.75,3.0,1808.0
72,20478.5625,1.0,1811.0
73,20077.75,1.0,1818.0
74,20510.1875,12.0,1832.0
75,20207.0,4.0,1844.0
76,20332.125,1.0,1848.0
77,20416.0,1.0,1855.0
78,16509.625,1.0,1866.0
79,20255.8125,1.0,1869.0
80,20092.1875,1.0,1876.0
81,20401.5625,1.0,1880.0
82,20394.6875,1.0,1884.0
83,17441.1875,1.0,1886.0
84,20314.9375,1.0,1900.0
85,20271.625,1.0,1904.0
86,20235.875,1.0,1907.0
