,Count,Discharge_Voltage
0,1.0,19954.0
1,1.0,17711.375
2,1.0,19918.9375
3,1.0,19392.3125
4,1.0,17864.0
5,1.0,19928.5625
6,1.0,20130.6875
7,1.0,19463.8125
8,1.0,19887.3125
9,2.0,19566.25
10,1.0,19931.3125
11,1.0,19746.375
12,1.0,19809.625
13,1.0,13915.6875
14,1.0,13540.3125
15,3.0,19538.75
16,1.0,16086.125
17,1.0,15798.0625
18,2.0,19727.8125
19,5.0,19951.25
20,1.0,20094.25
21,1.0,19491.3125
22,4.0,19954.0
23,1.0,19883.1875
24,1.0,19921.6875
25,3.0,19815.8125
26,2.0,19877.6875
27,4.0,19601.3125
28,2.0,19898.3125
29,6.0,13105.125
30,32.0,19727.8125
31,5.0,19682.4375
32,2.0,19823.375
33,1.0,19863.9375
34,1.0,20020.6875
35,1.0,19977.375
36,1.0,19164.75
37,1.0,13895.0625
38,1.0,19815.125
39,6.0,11553.4375
40,2.0,13956.25
41,1.0,19869.4375
42,3.0,20032.375
43,1.0,19483.0625
44,6.0,19528.4375
45,3.0,19459.0
46,4.0,20022.75
47,6.0,19644.625
