,x_max,y_max,x_min,y_min
0,5.981,3.12e-08,3.986,2.336e-08
1,23.997,3.6e-08,18.994,2.528e-08
2,40.982,3.808e-08,32.985,2.576e-08
3,54.983999999999995,4.592e-08,49.983999999999995,2.8960000000000006e-08
4,66.994,4.976e-08,62.993,3.024e-08
5,83.986,5.968e-08,75.983,3.568e-08
6,97.99600000000001,5.6e-08,93.98299999999999,3.2960000000000005e-08
7,104.98700000000001,7.264e-08,116.992,3.6e-08
8,132.996,8.816e-08,127.991,3.52e-08
9,134.993,6.096e-08,145.99,4.128e-08
10,158.987,6.447999999999999e-08,161.982,4.4e-08
11,175.985,8.352000000000001e-08,170.982,4.4160000000000006e-08
12,192.982,8.832000000000003e-08,183.986,4.208e-08
13,195.99,8.16e-08,203.982,4.544e-08
14,211.995,9.456e-08,218.993,5.008e-08
15,225.988,8.416000000000001e-08,231.984,4.3680000000000005e-08
16,249.988,1.0032e-07,246.982,5.4560000000000013e-08
17,254.99200000000002,9.184e-08,260.983,4.48e-08
18,274.99,1.0368e-07,278.982,4.464e-08
19,297.98400000000004,9.648e-08,288.983,4.88e-08
20,300.983,9.072e-08,306.987,4.848e-08
21,316.988,1.184e-07,321.993,4.912e-08
22,341.99699999999996,1.4832000000000002e-07,338.98800000000006,5.968e-08
23,350.991,1.3376e-07,357.983,5.68e-08
24,367.985,1.4112e-07,362.99699999999996,4.816e-08
25,385.986,1.456e-07,381.983,7.952000000000001e-08
26,401.996,1.3744000000000002e-07,390.99300000000005,5.4079999999999985e-08
27,407.983,1.8368e-07,416.994,6.16e-08
28,422.995,1.6048e-07,428.986,7.28e-08
29,443.985,1.4672e-07,438.99300000000005,6.816e-08
30,455.99,1.7008e-07,459.994,6.352e-08
31,468.983,1.9856e-07,476.986,5.792000000000001e-08
32,490.99,1.6864e-07,480.98400000000004,5.68e-08
33,496.99199999999996,1.9216e-07,500.98400000000004,7.792000000000001e-08
34,520.984,1.5568e-07,519.987,7.376000000000001e-08
35,527.9830000000001,2.8976e-07,528.994,7.68e-08
36,546.997,2.3184e-07,551.984,8.672000000000001e-08
37,555.9830000000001,1.7664000000000005e-07,567.993,7.216e-08
38,572.992,2.288e-07,573.984,1.0592e-07
39,586.984,1.584e-07,592.997,7.616e-08
40,606.984,2.9104e-07,612.984,7.392e-08
41,618.984,2.088e-07,625.984,5.744e-08
42,638.995,4.0224e-07,635.996,6.8e-08
43,653.998,1.7824e-07,656.9839999999999,6.768e-08
44,661.995,1.8e-07,660.9960000000001,6.688e-08
45,687.995,1.7696e-07,683.9889999999999,9.344e-08
46,690.985,2.3088e-07,701.995,7.728e-08
47,727.985,1.8256e-07,730.985,8.448e-08
48,738.9889999999999,2.4991999999999995e-07,740.9860000000001,1.0752e-07
