,x_max,y_max,x_min,y_min
0,8.995,1.6448e-07,11.999,5.792000000000001e-08
1,27.004,1.6112000000000006e-07,23.009,2.416e-08
2,31.005,1.4368e-07,33.992,6.864e-08
3,46.001999999999995,1.5568e-07,49.021,3.552e-08
4,62.995,1.5088e-07,63.99100000000001,2.56e-08
5,83.993,1.6527999999999998e-07,86.006,3.76e-08
6,91.00399999999999,1.5472000000000002e-07,100.008,3.824e-08
7,117.00399999999999,1.5312e-07,109.00399999999999,4.8e-08
8,123.99600000000001,1.5535999999999998e-07,127.005,3.3280000000000004e-08
9,136.0,1.6304e-07,145.99200000000002,7.52e-08
10,153.006,1.5088e-07,154.005,3.12e-08
11,169.00799999999998,1.4864e-07,165.998,5.728e-08
12,181.99200000000002,1.5632e-07,185.00400000000002,7.232e-08
13,202.00799999999998,1.6912e-07,197.997,5.344e-08
14,217.00599999999997,1.4512e-07,212.997,4.352e-08
15,235.00400000000002,1.6512e-07,230.99599999999998,3.4560000000000006e-08
16,248.993,1.3168e-07,247.01,4e-08
17,258.006,1.512e-07,255.007,5.152e-08
18,279.006,1.4960000000000002e-07,281.998,3.424e-08
19,294.004,1.5088e-07,292.994,2.64e-08
20,308.0,1.56e-07,300.996,4.144e-08
21,328.0,1.416e-07,323.006,3.904e-08
22,330.005,1.5872e-07,332.00300000000004,6.08e-08
23,358.00699999999995,1.4767999999999998e-07,349.999,3.392e-08
24,371.994,1.44e-07,367.99300000000005,8.544e-08
25,385.004,1.4144e-07,384.005,8.384e-08
26,398.00699999999995,1.4192e-07,390.00800000000004,4.752e-08
27,411.994,1.4048e-07,418.00199999999995,3.744e-08
28,422.005,1.32e-07,433.00699999999995,4.6080000000000006e-08
29,442.00800000000004,1.416e-07,447.99300000000005,3.76e-08
30,451.005,1.1728e-07,457.999,4.208e-08
31,471.00800000000004,1.4096e-07,465.00699999999995,4.3360000000000006e-08
32,488.00199999999995,1.2528e-07,492.004,3.776e-08
33,507.994,1.6176e-07,500.00199999999995,4.5760000000000014e-08
34,517.994,1.4944000000000002e-07,510.995,9.728e-08
35,531.994,1.6096e-07,527.994,6.992000000000001e-08
36,785.068,1.4624000000000002e-07,774.076,4.128e-08
37,802.075,1.216e-07,800.076,4.688e-08
38,808.081,1.4575999999999998e-07,810.078,5.376000000000001e-08
39,829.084,1.1712e-07,820.087,3.984e-08
40,847.072,1.36e-07,842.082,4.32e-08
41,852.077,1.3664e-07,853.066,7.248e-08
42,871.067,1.456e-07,873.081,4.592e-08
43,881.067,1.5952e-07,888.076,4.048e-08
44,900.077,1.5952e-07,902.078,3.872e-08
45,921.073,1.4112e-07,915.075,7.167999999999999e-08
46,936.078,1.3504000000000002e-07,929.075,6.112000000000001e-08
47,944.078,1.392e-07,945.077,3.2e-08
48,966.078,1.4255999999999995e-07,960.076,4.144e-08
49,970.077,1.2768e-07,974.076,2.8480000000000008e-08
50,993.076,1.136e-07,995.066,4.128e-08
51,1013.071,1.3776e-07,1004.067,2.96e-08
52,1015.069,1.1312e-07,1025.078,3.6e-08
53,1041.068,1.3792e-07,1034.097,3.568e-08
54,1050.0739999999998,1.3007999999999998e-07,1045.0739999999998,3.744e-08
55,1068.0810000000001,1.3744000000000002e-07,1067.067,6.559999999999999e-09
56,1087.068,1.2895999999999998e-07,1076.08,3.3280000000000004e-08
57,1103.076,1.0208e-07,1096.07,3.232e-08
58,1115.078,1.1568e-07,1106.09,3.3280000000000004e-08
59,1128.068,9.808e-08,1120.083,2.6880000000000006e-08
60,1137.07,1.4112e-07,1142.0710000000001,3.5839999999999995e-08
61,1161.067,1.336e-07,1158.088,4.4160000000000006e-08
62,1170.07,1.144e-07,1176.068,3.2e-08
63,1182.083,1.1536e-07,1189.068,1.3119999999999998e-08
64,1203.076,1.208e-07,1199.067,2.96e-08
65,1212.0739999999998,1.392e-07,1222.0810000000001,5.664e-08
66,1227.076,1.4672e-07,1235.0739999999998,3.008e-08
67,1252.068,1.136e-07,1247.076,2.928e-08
68,1263.0739999999998,1.4032e-07,1268.083,3.536e-08
69,1283.068,1.232e-07,1277.075,3.44e-08
70,1290.0810000000001,1.264e-07,1291.068,1.824e-08
71,1301.079,1.192e-07,1308.083,3.552e-08
72,1321.068,1.2016e-07,1328.0729999999999,5.167999999999999e-08
73,1338.08,1.1952e-07,1343.0770000000002,1.856e-08
74,1353.078,1.192e-07,1350.0829999999999,4.72e-08
75,1364.069,1.3072000000000002e-07,1365.0770000000002,6.944e-08
76,1375.0720000000001,1.336e-07,1383.068,6.528e-08
77,1399.075,1.1632e-07,1392.088,5.056e-08
78,1408.0810000000001,1.3728e-07,1407.0770000000002,3.3280000000000004e-08
79,1427.0829999999999,1.008e-07,1428.0829999999999,3.84e-08
80,1448.082,1.2e-07,1443.076,3.344e-08
81,1452.069,1.1888e-07,1453.079,3.3280000000000004e-08
82,1469.069,1.0704e-07,1475.075,3.072e-08
83,1491.08,1.256e-07,1487.07,3.168e-08
84,1504.075,1.0784e-07,1503.069,4.192e-08
85,1521.075,1.28e-07,1519.069,3.552e-08
86,1531.078,1.2064e-07,1525.0729999999999,1.904e-08
87,1552.0839999999998,1.1728e-07,1551.0810000000001,2.032e-08
88,1564.0729999999999,1.0607999999999998e-07,1562.082,3.408e-08
89,1573.0810000000001,1.304e-07,1574.0770000000002,5.2960000000000006e-08
90,1591.07,1.168e-07,1587.0770000000002,2.9760000000000006e-08
91,1604.0739999999998,1.0832e-07,1606.082,4.832e-08
92,1619.0739999999998,1.0528e-07,1625.078,3.552e-08
93,1637.082,1.0704e-07,1640.0710000000001,6.544e-08
94,1648.0729999999999,1.3455999999999998e-07,1655.0810000000001,4.5760000000000014e-08
95,1663.0720000000001,1.232e-07,1660.0839999999998,3.072e-08
96,1679.0770000000002,1.3135999999999998e-07,1677.0720000000001,3.4560000000000006e-08
97,1703.07,1.1376e-07,1697.07,2.592e-08
98,1715.076,1.0975999999999997e-07,1718.0720000000001,6.24e-08
99,1732.0829999999999,1.3616e-07,1723.0810000000001,2.8480000000000008e-08
100,1738.076,1.184e-07,1748.0810000000001,2.432e-08
101,1750.0710000000001,1.0864e-07,1752.0710000000001,2.912e-08
102,1773.08,1.1536e-07,1766.0720000000001,6.384e-08
103,1786.0839999999998,1.1264e-07,1781.0839999999998,6.384e-08
104,1803.0839999999998,1.1744e-07,1799.0720000000001,7.664e-08
105,1823.079,1.192e-07,1816.075,1.808e-08
106,1831.079,1.0528e-07,1832.076,3.808e-08
