,x_max,y_max,x_min,y_min
0,3.991,1.4608e-07,6.997000000000001,1.088e-07
1,25.991999999999997,1.5376e-07,30.996,1.2464e-07
2,41.99100000000001,1.5888e-07,36.997,1.3344e-07
3,53.99100000000001,1.5024e-07,51.992,1.2432e-07
4,67.991,1.6608000000000002e-07,73.991,1.256e-07
5,86.00200000000001,1.6624e-07,83.0,1.3104e-07
6,105.99799999999999,1.7215999999999995e-07,106.99700000000001,1.336e-07
7,119.006,1.7312e-07,111.005,1.3584e-07
8,129.006,1.7872e-07,134.998,1.4672e-07
9,140.005,1.8144e-07,147.993,1.3552e-07
10,154.002,1.9008e-07,167.003,1.44e-07
11,180.00400000000002,1.928e-07,182.00099999999998,1.5056e-07
12,190.99400000000003,1.8704e-07,183.99200000000002,1.5456e-07
13,211.99200000000002,1.9168e-07,209.005,1.5616e-07
14,213.997,1.9136e-07,221.00599999999997,1.4528e-07
15,235.00599999999997,2.0192e-07,239.99200000000002,1.5088e-07
16,255.993,1.864e-07,257.007,1.4895999999999998e-07
17,270.001,1.9216e-07,258.993,1.512e-07
18,279.993,1.96e-07,282.007,1.632e-07
19,295.997,1.9984e-07,288.992,1.5215999999999998e-07
20,311.005,1.912e-07,305.993,1.4592e-07
21,321.997,1.9584e-07,318.993,1.712e-07
22,343.99300000000005,2.0336e-07,344.995,1.5056e-07
23,362.004,2.0736e-07,356.99300000000005,1.4912e-07
24,372.994,2.0992e-07,376.99699999999996,1.6832e-07
25,390.004,2.056e-07,384.00800000000004,1.6239999999999995e-07
26,394.996,2.1344e-07,397.00800000000004,1.5888e-07
27,410.994,2.1568e-07,413.0,1.5664e-07
28,435.00699999999995,2.0656e-07,429.01099999999997,1.7215999999999995e-07
29,444.996,2.0048e-07,441.994,1.4976e-07
30,466.994,2.1184e-07,461.00300000000004,1.5232e-07
31,476.00199999999995,2.1024e-07,478.996,1.6032e-07
32,484.994,2.1392e-07,487.996,1.9008e-07
33,498.994,2.2592e-07,508.004,1.7648e-07
34,522.995,2.4384e-07,517.008,1.8304000000000006e-07
35,539.012,2.136e-07,535.994,1.536e-07
36,557.008,2.2432e-07,553.004,1.7392e-07
37,560.995,2.1632e-07,567.0,1.6912e-07
38,577.007,2.4272e-07,585.001,1.4928e-07
39,590.995,2.2352e-07,599.002,1.7760000000000006e-07
40,609.006,2.3536e-07,606.007,1.7424e-07
41,629.996,2.1904e-07,623.011,1.672e-07
42,641.995,2.2288e-07,633.995,1.6896e-07
43,655.9939999999999,2.344e-07,657.9989999999999,1.6608000000000002e-07
44,676.002,2.3632e-07,663.998,1.9216e-07
45,678.9960000000001,2.4224e-07,681.9960000000001,1.9648e-07
46,705.9960000000001,2.3392e-07,703.0,1.6784000000000005e-07
47,713.9960000000001,2.2816e-07,717.0,1.7792000000000005e-07
48,727.012,2.3504e-07,728.002,1.8384e-07
49,752.01,2.672e-07,742.9960000000001,1.5856e-07
50,757.9960000000001,2.4368e-07,764.998,1.6079999999999998e-07
51,773.008,2.496e-07,775.0060000000001,2.04e-07
52,788.997,2.4128e-07,792.0060000000001,1.8864e-07
53,805.9960000000001,2.5984000000000003e-07,811.0,1.824e-07
54,826.998,2.4864e-07,815.9989999999999,1.7808e-07
55,831.998,2.456e-07,835.998,1.9504e-07
56,857.0010000000001,2.3728e-07,855.9960000000001,1.7936e-07
57,868.998,2.4624e-07,862.013,1.9776e-07
58,884.997,2.5008e-07,875.998,1.8e-07
59,901.997,2.5024e-07,896.0110000000001,1.9824e-07
60,911.9989999999999,2.5424e-07,904.997,1.4015999999999998e-07
61,920.0,2.5232e-07,931.9989999999999,1.8896e-07
62,943.012,2.6656e-07,934.997,1.9904e-07
63,951.0,2.464e-07,961.005,1.4192e-07
64,972.008,2.5568e-07,967.0039999999999,1.2e-07
65,981.0089999999999,2.6304e-07,980.007,2.2576e-07
66,994.0010000000001,2.6368000000000004e-07,1004.998,1.1136e-07
67,1021.0060000000001,2.7056e-07,1010.0089999999999,1.9296e-07
68,1024.0,2.5904e-07,1030.997,1.8592e-07
69,1118.001,2.5616e-07,1119.997,2.0048e-07
70,1124.998,2.7856e-07,1125.997,2.2128e-07
71,1150.998,2.6544e-07,1139.998,2.1216e-07
72,1159.009,2.7472e-07,1159.998,2.08e-07
73,1175.004,2.7808e-07,1171.005,2.2128e-07
74,1192.998,2.7888e-07,1185.998,1.8576e-07
75,1212.011,2.8448e-07,1207.01,1.728e-07
76,1215.998,2.784e-07,1219.999,1.9504e-07
77,1242.012,2.7056e-07,1231.999,1.904e-07
78,1253.999,2.8832e-07,1250.998,1.8336e-07
79,1267.998,2.9168000000000003e-07,1260.998,2.136e-07
80,1277.998,2.7696e-07,1275.999,1.8032e-07
81,1296.001,2.8368e-07,1291.999,2.0448e-07
82,1310.9979999999998,2.7184000000000003e-07,1309.009,2.0368e-07
83,1331.004,2.8096e-07,1327.0,2.1168000000000005e-07
84,1346.999,2.8544e-07,1336.016,1.784e-07
85,1353.01,2.9936e-07,1356.004,1.7584e-07
86,1367.0,2.8928e-07,1374.004,2.1856e-07
87,1389.014,2.6704e-07,1382.005,1.5424e-07
88,1404.01,2.6272e-07,1398.014,2.0528e-07
89,1422.0,2.7536e-07,1420.001,2.064e-07
90,1433.999,2.8e-07,1427.003,2.0464e-07
91,1440.01,2.8544e-07,1444.0,2.448e-07
92,1457.001,2.7584e-07,1467.0120000000002,1.9888e-07
93,1479.011,2.7056e-07,1476.005,1.9888e-07
94,1493.0,2.9392e-07,1495.0,2.0176e-07
