,x_max,y_max,x_min,y_min
0,0.0,9.872e-08,4.974,4.24e-08
1,19.969,1e-07,20.97,4.08e-08
2,41.968999999999994,9.504e-08,38.97,4.048e-08
3,55.974,1.0512e-07,44.975,4.064e-08
4,66.97800000000001,1.0192e-07,68.972,4.304e-08
5,84.97,9.728e-08,79.984,4.1760000000000005e-08
6,101.97200000000001,1.0736e-07,100.97,4.4960000000000013e-08
7,111.976,1.2976e-07,110.979,4.704e-08
8,120.97399999999999,1.0176e-07,123.98100000000001,4.976e-08
9,144.977,9.712e-08,139.97,4.4960000000000013e-08
10,157.982,1.0975999999999997e-07,153.97,4.3360000000000006e-08
11,164.97799999999998,8.32e-08,169.97099999999998,5.232e-08
12,186.97099999999998,9.344e-08,192.972,5.232e-08
13,198.984,9.728e-08,199.97799999999998,4.352e-08
14,209.97099999999998,1.0464e-07,215.97099999999998,5.184e-08
15,236.993,9.632e-08,230.97099999999998,5.28e-08
16,243.987,1.0192e-07,241.97299999999998,4.5280000000000006e-08
17,261.97700000000003,1.1584e-07,266.98400000000004,5.824e-08
18,282.985,1.4304000000000002e-07,276.974,5.664e-08
19,293.976,1.1616e-07,285.981,5.6e-08
20,312.974,9.232e-08,310.972,4.816e-08
21,324.971,1.2848e-07,317.971,5.056e-08
22,332.972,1.3216e-07,339.98400000000004,5.04e-08
23,351.972,8.48e-08,355.975,5.4079999999999985e-08
24,367.977,1.0624e-07,363.978,5.5360000000000014e-08
25,387.981,9.52e-08,386.972,6.048e-08
26,391.973,1.168e-07,402.972,4.912e-08
27,416.972,1.1696e-07,410.976,4.864e-08
28,420.976,1.4976e-07,419.972,5.5360000000000014e-08
29,441.972,1.2992e-07,444.985,5.776e-08
30,458.973,1.3552e-07,459.978,5.12e-08
31,469.974,1.104e-07,468.973,6.048e-08
32,491.973,1.7168e-07,482.978,5.664e-08
33,504.977,1.2128e-07,503.98,5.424e-08
34,514.977,1.112e-07,516.972,5.648e-08
35,530.9830000000001,1.168e-07,536.9730000000001,6.224000000000001e-08
36,546.977,1.2208e-07,545.9780000000001,5.2160000000000005e-08
37,555.974,1.0752e-07,554.985,5.776e-08
38,578.984,1.1712e-07,572.98,5.504e-08
39,593.9730000000001,1.4832000000000002e-07,587.9730000000001,6.303999999999999e-08
40,601.9780000000001,1.3984e-07,610.9730000000001,6.4e-08
41,627.98,1.1504000000000003e-07,616.987,5.888e-08
42,632.975,1.0016e-07,634.989,6.832e-08
43,644.975,1.3776e-07,654.979,6.144e-08
44,667.9739999999999,1.5648e-07,672.988,6.24e-08
45,681.9739999999999,1.3232e-07,676.977,6.16e-08
46,694.975,1.5936e-07,695.9739999999999,6e-08
47,717.975,1.1616e-07,711.9739999999999,6.88e-08
48,720.9839999999999,1.1776e-07,729.9739999999999,6.4e-08
49,737.975,1.1952e-07,739.9730000000001,6.336e-08
50,761.98,1.4592e-07,751.985,6.144e-08
51,769.9739999999999,1.2832e-07,771.9739999999999,7.007999999999999e-08
52,785.975,1.2288e-07,781.975,7.088e-08
53,800.9760000000001,1.5504000000000002e-07,803.9739999999999,6.287999999999999e-08
54,818.98,1.2880000000000002e-07,813.9760000000001,5.984e-08
55,830.9830000000001,1.1696e-07,824.975,5.952000000000001e-08
56,842.9780000000001,1.7472000000000002e-07,843.987,6.832e-08
57,867.975,1.4032e-07,855.9739999999999,6.704e-08
58,877.982,1.5199999999999998e-07,880.9789999999999,6.848e-08
59,896.9739999999999,1.304e-07,886.975,5.952000000000001e-08
60,907.9789999999999,2.6848000000000003e-07,906.9810000000001,6.032e-08
61,923.9810000000001,1.6128e-07,918.987,5.44e-08
62,938.9789999999999,1.3184000000000002e-07,934.9760000000001,5.152e-08
63,944.9810000000001,1.2048e-07,954.9760000000001,7.584e-08
64,960.985,1.1552e-07,971.9760000000001,7.072e-08
65,983.9760000000001,1.6768e-07,978.9789999999999,7.248e-08
66,995.9889999999999,1.7792000000000005e-07,1002.988,5.872000000000001e-08
67,1008.9810000000001,1.408e-07,1010.9910000000001,6.928e-08
68,1024.986,1.6096e-07,1031.976,7.487999999999999e-08
69,1046.982,1.3232e-07,1038.98,6e-08
70,1059.976,2.2032e-07,1061.991,5.4079999999999985e-08
71,1068.99,1.5136e-07,1076.9769999999999,6.336e-08
72,1083.981,1.3056e-07,1079.976,7.04e-08
73,1102.979,1.184e-07,1101.99,6.224000000000001e-08
74,1112.986,1.6352e-07,1109.979,5.648e-08
75,1125.986,2.1488000000000006e-07,1128.981,7.167999999999999e-08
76,1145.978,1.4304000000000002e-07,1142.976,7.136e-08
77,1154.976,1.5696e-07,1166.976,6.416e-08
78,1174.976,1.3248e-07,1180.976,3.424e-08
79,1190.978,1.344e-07,1191.989,5.68e-08
80,1209.9769999999999,1.4288e-07,1208.984,5.327999999999999e-08
81,1220.9769999999999,1.768e-07,1227.978,7.568e-08
82,1230.9769999999999,1.3776e-07,1236.991,6.848e-08
83,1250.981,1.2144e-07,1245.9769999999999,7.68e-08
84,1260.985,1.3984e-07,1272.99,6.48e-08
85,1280.979,1.4304000000000002e-07,1285.978,6.528e-08
86,1292.98,1.36e-07,1295.99,5.167999999999999e-08
87,1315.9779999999998,1.6368e-07,1309.98,8.176e-08
88,1319.9820000000002,1.632e-07,1322.991,5.6e-08
89,1340.985,1.4208e-07,1339.977,5.952000000000001e-08
90,1357.985,1.6207999999999998e-07,1362.979,5.6e-08
91,1373.977,2.0352e-07,1364.9779999999998,6.784e-08
92,1392.979,2.376e-07,1390.979,7.232e-08
93,1406.9779999999998,1.7424e-07,1405.9779999999998,7.296e-08
94,1418.9779999999998,1.7872e-07,1422.9779999999998,7.072e-08
95,1427.979,1.5568e-07,1425.979,6.32e-08
96,1442.979,1.7104e-07,1451.98,5.4560000000000013e-08
97,1467.979,1.6096e-07,1459.9779999999998,6.672e-08
98,1476.99,1.1008e-07,1473.979,7.456e-08
99,1486.9820000000002,1.7056e-07,1487.979,7.824e-08
100,1508.986,2.6912e-07,1511.981,6.208e-08
101,1526.983,2.5488e-07,1515.979,6.688e-08
102,1533.979,1.456e-07,1532.994,6.64e-08
103,1548.979,1.632e-07,1555.9779999999998,6.719999999999999e-08
104,1563.987,1.7872e-07,1561.979,6.384e-08
105,1578.979,1.7024000000000002e-07,1586.9779999999998,6.559999999999999e-08
106,1590.979,1.4544e-07,1589.979,6.48e-08
107,1617.979,2.1312e-07,1614.989,8.512000000000001e-08
108,1621.979,1.784e-07,1624.986,8e-08
109,1635.989,1.4512e-07,1644.994,6.768e-08
110,1649.983,1.5424e-07,1657.9920000000002,6.272000000000001e-08
111,1677.993,1.5792e-07,1664.981,6.496000000000001e-08
112,1690.984,2.1472e-07,1686.979,6.303999999999999e-08
113,1704.981,1.552e-07,1706.98,5.6960000000000015e-08
114,1710.979,1.7584e-07,1713.979,7.216e-08
115,1725.981,1.9264e-07,1736.996,6.96e-08
116,1740.983,1.9024e-07,1746.984,6.303999999999999e-08
117,1765.9920000000002,2.496e-07,1754.989,8.416000000000001e-08
118,1774.98,1.8768e-07,1776.985,6.719999999999999e-08
119,1784.98,2.3008000000000006e-07,1787.98,6.88e-08
120,1802.989,1.5104e-07,1808.98,7.487999999999999e-08
121,1826.981,1.5024e-07,1824.981,7.072e-08
122,1839.9920000000002,1.7552e-07,1836.98,6.864e-08
123,1855.9820000000002,4.0384e-07,1857.981,7.824e-08
124,1870.981,1.8672e-07,1863.991,6.4e-08
125,1880.98,2.1504000000000005e-07,1883.981,5.36e-08
126,1896.981,2.84e-07,1898.989,7.12e-08
127,1907.983,1.7984000000000005e-07,1910.9820000000002,7.343999999999999e-08
128,1919.994,1.5184e-07,1920.99,9.488e-08
129,1943.9920000000002,1.808e-07,1938.995,5.584e-08
130,1953.994,1.4255999999999995e-07,1958.9879999999998,6.176e-08
131,1970.984,1.6624e-07,1969.994,1.008e-07
132,1988.981,1.8992e-07,1991.984,7.632000000000001e-08
133,1995.9820000000002,1.936e-07,1994.991,6.992000000000001e-08
134,2016.981,1.8496e-07,2020.981,8.72e-08
135,2030.984,4.288e-07,2028.9820000000002,7.664e-08
136,2050.9829999999997,2.4768e-07,2040.994,7.92e-08
137,2054.998,2.1088e-07,2066.986,7.487999999999999e-08
138,2072.982,2.2352e-07,2070.994,6.928e-08
139,2090.984,1.696e-07,2085.982,7.424e-08
140,2109.982,1.7552e-07,2100.9829999999997,8.880000000000003e-08
141,2118.984,1.632e-07,2117.9829999999997,8.783999999999997e-08
