,x_max,y_max,x_min,y_min
0,0.0,4.224e-08,4.973,2.256e-08
1,20.974,4.768e-08,25.973000000000003,1.328e-08
2,40.982,4.784e-08,29.971999999999998,3.76e-08
3,55.972,6.672e-08,48.973,3.76e-08
4,70.982,5.744e-08,64.983,1.776e-08
5,82.975,5.376000000000001e-08,85.97200000000001,4.288e-08
6,95.977,6.576e-08,96.973,3.3280000000000004e-08
7,117.985,7.072e-08,109.978,4.272e-08
8,125.97399999999999,6.992000000000001e-08,122.973,4.464e-08
9,139.97799999999998,7.487999999999999e-08,135.974,4.6560000000000015e-08
10,158.974,7.44e-08,155.97299999999998,5.552e-08
11,167.97799999999998,7.728e-08,170.97299999999998,4.848e-08
12,191.976,9.504e-08,190.975,2.032e-08
13,203.987,7.76e-08,194.97299999999998,2.272e-08
14,221.97400000000002,7.712e-08,209.97799999999998,5.008e-08
15,237.97799999999998,1.0048e-07,234.97400000000002,4.928e-08
16,244.97400000000002,1.0112e-07,246.985,5.824e-08
17,267.975,9.152e-08,256.98,5.36e-08
18,273.976,9.456e-08,275.988,5.024e-08
19,285.974,9.904e-08,287.974,6.8e-08
20,301.98900000000003,1.0464e-07,309.988,6.096e-08
21,325.975,1.136e-07,317.975,6.48e-08
22,331.98699999999997,1.1792e-07,341.985,5.792000000000001e-08
23,346.974,1.144e-07,355.974,5.76e-08
24,363.975,1.1744e-07,362.975,7.824e-08
25,386.98699999999997,1.304e-07,382.975,7.232e-08
26,396.98199999999997,1.1728e-07,401.98900000000003,7.472000000000001e-08
27,408.975,1.2016e-07,413.975,6.559999999999999e-08
28,424.975,1.4624000000000002e-07,421.98199999999997,7.76e-08
29,444.98,1.3568e-07,436.98199999999997,7.84e-08
30,460.985,1.4176e-07,455.975,6.384e-08
31,464.976,1.8848e-07,465.98800000000006,7.599999999999999e-08
32,480.98800000000006,1.648e-07,484.985,7.2e-08
33,503.976,1.528e-07,499.976,8.592e-08
34,513.975,1.752e-07,516.976,7.12e-08
35,526.976,1.5215999999999998e-07,525.989,8.800000000000002e-08
36,549.987,1.8784e-07,550.981,7.968e-08
37,567.9780000000001,1.9952000000000006e-07,555.987,9.616e-08
38,580.976,1.7215999999999995e-07,582.977,9.552e-08
39,584.981,1.7952e-07,594.976,9.008e-08
40,600.976,1.3856e-07,601.989,8.544e-08
41,615.982,1.8304000000000006e-07,616.976,1.0192e-07
42,635.992,1.904e-07,641.977,7.92e-08
43,656.988,2.048e-07,644.985,8.064e-08
44,661.9810000000001,1.6944e-07,663.9760000000001,1.0224e-07
45,677.9889999999999,1.9008e-07,680.977,7.968e-08
46,694.977,1.8928e-07,690.9889999999999,8.512000000000001e-08
47,713.977,1.9728e-07,707.9780000000001,1.0672e-07
48,728.9830000000001,3.0416e-07,720.977,1.1296e-07
49,737.9789999999999,2.2048000000000005e-07,736.985,8.464000000000001e-08
50,752.99,2.0272000000000006e-07,754.98,9.248e-08
51,764.9860000000001,1.8336e-07,769.997,9.088e-08
52,782.977,2.5056e-07,784.982,9.488e-08
53,796.977,1.872e-07,806.977,9.952e-08
54,820.982,2.5792e-07,813.977,1.128e-07
55,832.9889999999999,2.2e-07,826.9910000000001,1.248e-07
56,845.977,2.2784000000000006e-07,839.9780000000001,1.1968e-07
57,863.98,2.488e-07,867.992,1.2848e-07
58,876.9780000000001,2.9392e-07,869.9780000000001,1.2432e-07
59,888.9780000000001,2.2048000000000005e-07,891.9889999999999,1.2784e-07
60,906.9780000000001,2.5648000000000003e-07,903.9889999999999,1.0975999999999997e-07
61,924.9789999999999,1.6256e-07,914.9889999999999,1.4288e-07
62,940.9789999999999,2.592e-07,935.9789999999999,9.904e-08
63,954.9789999999999,2.3952e-07,950.9780000000001,1.024e-07
64,965.992,2.6960000000000003e-07,967.9789999999999,1.2416e-07
65,983.992,3.724800000000001e-07,984.9789999999999,8.624000000000001e-08
66,998.987,2.5168000000000004e-07,993.9810000000001,1.3328e-07
67,1012.9780000000001,,1011.992,1.4176e-07
68,1022.988,2.8432e-07,1030.986,2.2512e-07
69,1036.979,3.1744e-07,1040.99,1.3007999999999998e-07
70,1049.98,3.5056e-07,1055.992,1.6239999999999995e-07
71,1075.981,2.6752e-07,1064.979,1.4e-07
72,1088.993,1.6224e-07,1082.979,1.6064e-07
73,1103.99,2.4496e-07,1104.99,1.952e-07
74,1115.992,3.5135999999999994e-07,1121.991,1.3488e-07
75,1126.979,4.8512e-07,1124.979,1.0672e-07
76,1140.993,3.8352e-07,1146.987,1.2272e-07
77,1157.98,3.4544000000000005e-07,1165.979,1.5776e-07
78,1182.984,5.4032e-07,1171.993,1.4335999999999998e-07
79,1192.993,3.9456e-07,1195.993,1.5264000000000002e-07
80,1209.994,2.0912e-07,1211.99,1.7615999999999996e-07
