,x_max,y_max,x_min,y_min
0,77.00399999999999,3.2960000000000005e-08,75.997,2.64e-08
1,88.99799999999999,3.4560000000000006e-08,88.009,2.864e-08
2,101.00200000000001,3.856e-08,103.991,3.2e-08
3,114.001,4.72e-08,111.00399999999999,3.2960000000000005e-08
4,125.01,4.432e-08,126.005,3.5839999999999995e-08
5,149.999,4.4e-08,147.002,3.552e-08
6,158.004,4.832e-08,160.997,3.76e-08
7,176.99200000000002,4.224e-08,170.00099999999998,2.816e-08
8,195.998,5.04e-08,195.003,3.808e-08
9,208.993,5.232e-08,201.00400000000002,3.728e-08
10,218.0,5.6e-08,220.005,4.384e-08
11,235.005,5.392e-08,232.0,3.904e-08
12,247.993,5.552e-08,251.99400000000003,4.016e-08
13,259.997,5.744e-08,269.999,3.6e-08
14,277.998,6.352e-08,287.006,4.6560000000000015e-08
15,295.993,6.064e-08,300.008,3.3760000000000006e-08
16,315.993,5.92e-08,309.007,4.6560000000000015e-08
17,323.997,6.08e-08,319.005,3.5039999999999995e-08
18,344.006,6.352e-08,346.00199999999995,4.672e-08
19,353.004,6.496000000000001e-08,355.999,4.816e-08
20,372.994,7.007999999999999e-08,364.006,4.4480000000000005e-08
21,388.00699999999995,7.616e-08,379.99300000000005,4.24e-08
22,398.99699999999996,7.072e-08,404.99699999999996,4.8e-08
23,420.994,7.408e-08,412.006,5.2e-08
24,433.999,7.312000000000001e-08,430.00300000000004,4.352e-08
25,448.00699999999995,7.52e-08,439.999,5.072e-08
26,465.99699999999996,7.088e-08,462.99699999999996,5.552e-08
27,471.009,7.792000000000001e-08,480.994,5.648e-08
28,490.995,8.176e-08,494.00699999999995,5.4079999999999985e-08
29,503.0,8.272e-08,505.995,5.327999999999999e-08
30,517.996,8.464000000000001e-08,522.998,6.016e-08
31,541.994,7.792000000000001e-08,532.995,5.904e-08
32,544.994,8.704e-08,550.995,4.72e-08
33,568.994,8.943999999999997e-08,559.996,5.76e-08
34,577.995,8.256e-08,574.008,5.247999999999999e-08
35,594.995,9.712e-08,598.995,6.848e-08
36,612.995,8.767999999999999e-08,616.995,6.48e-08
37,630.011,8.64e-08,624.995,6.144e-08
38,639.006,8.72e-08,637.995,5.84e-08
39,659.007,9.92e-08,662.0010000000001,5.6e-08
40,671.008,9.92e-08,672.9960000000001,6.336e-08
41,683.995,9.312000000000003e-08,679.0060000000001,6.08e-08
42,701.995,1.1088e-07,700.0089999999999,7.264e-08
43,714.9960000000001,1.0704e-07,717.007,7.007999999999999e-08
44,726.995,9.824e-08,734.997,5.92e-08
45,743.0010000000001,1.0304e-07,744.9960000000001,6.016e-08
46,762.0039999999999,1.0688e-07,757.008,6.688e-08
47,781.007,1.2784e-07,780.003,6.688e-08
48,794.0110000000001,1.1296e-07,790.002,6.896e-08
