,x_max,y_max,x_min,y_min
0,23.997,15209.5625,3.986,10820.5625
1,54.983999999999995,17537.4375,32.985,11809.1875
2,83.986,18981.875,62.993,13559.5625
3,104.98700000000001,19346.9375,93.98299999999999,14345.375
4,132.996,19628.125,127.991,14989.5625
5,175.985,19665.9375,161.982,17122.1875
6,192.982,19665.9375,183.986,16703.5
7,211.995,19726.4375,231.984,17028.6875
8,259.985,19817.1875,260.983,17280.3125
9,297.98400000000004,19939.5625,278.982,17258.3125
10,313.983,19771.8125,306.987,17916.9375
11,330.985,19855.0,341.99699999999996,16953.0625
12,370.99,19815.125,385.986,16962.0
13,393.994,19821.3125,407.983,16038.0
14,435.983,19813.0625,443.985,16985.375
15,462.983,19811.0,468.983,15319.5625
16,492.99199999999996,19833.0,496.99199999999996,15550.5625
17,521.9830000000001,19769.0625,527.9830000000001,13090.0
18,544.998,19806.1875,546.997,14841.0625
19,591.993,19795.875,572.992,14950.375
20,626.984,19762.1875,606.984,13147.0625
21,645.987,19887.3125,638.995,10001.0625
22,682.992,19766.3125,661.995,16215.375
23,692.987,19793.125,690.985,14726.9375
24,730.985,19565.5625,742.9889999999999,13813.9375
