,x_max,y_max,x_min,y_min
0,4.001,19870.8125,23.009,10579.25
1,46.001999999999995,19792.4375,49.021,13468.125
2,84.992,19963.625,63.99100000000001,11054.3125
3,91.00399999999999,19926.5,100.008,14087.5625
4,130.995,19977.375,127.005,13220.625
5,163.995,19954.0,154.005,12829.4375
6,190.995,20000.0625,197.997,16908.375
7,230.00400000000002,19965.6875,230.99599999999998,13462.625
8,258.006,20015.1875,247.01,14411.375
9,279.006,20047.5,292.994,11410.4375
10,299.997,19984.9375,314.013,12753.8125
11,339.005,20006.25,349.999,13512.8125
12,374.005,20097.0,384.005,18944.0625
13,398.00699999999995,19971.1875,418.00199999999995,14071.75
14,440.00199999999995,19884.5625,447.99300000000005,14121.9375
15,472.996,19891.4375,457.999,14853.4375
16,507.994,19996.625,492.004,14131.5625
17,517.994,20063.3125,527.994,18240.0625
18,785.068,20118.3125,774.076,14751.0
19,808.081,20169.875,820.087,14487.6875
20,839.074,20027.5625,842.082,15151.125
21,876.082,20154.75,888.076,14490.4375
22,899.079,20174.6875,902.078,14136.375
23,932.081,19991.125,945.077,12971.75
24,966.078,20031.0,974.076,12006.5
25,992.072,20052.3125,1004.067,12338.5625
26,1036.0810000000001,19958.8125,1034.097,13783.0
27,1073.08,20015.1875,1067.067,4081.0
28,1091.08,19958.125,1096.07,13113.375
29,1107.0819999999999,19937.5,1120.083,11572.6875
30,1137.07,20037.875,1142.0710000000001,13710.8125
31,1190.083,19933.375,1189.068,6543.625
32,1212.0739999999998,19956.75,1199.067,12290.4375
33,1227.076,20185.6875,1247.076,12289.0625
34,1263.0739999999998,19991.125,1277.075,13435.125
35,1304.0739999999998,19937.5,1291.068,8528.4375
36,1318.0829999999999,19932.6875,1343.0770000000002,8516.75
37,1369.08,19932.0,1350.0829999999999,15639.25
38,1382.0710000000001,19954.6875,1389.078,15384.875
39,1419.069,19954.0,1407.0770000000002,13174.5625
40,1439.069,19970.5,1453.079,13228.1875
41,1479.078,19966.375,1475.075,12645.1875
42,1522.08,19866.6875,1519.069,13593.25
43,1530.07,19925.8125,1525.0729999999999,8597.875
44,1571.075,19966.375,1562.082,13438.5625
45,1593.085,19814.4375,1587.0770000000002,12401.125
46,1618.07,19931.3125,1625.078,13593.9375
47,1647.076,19949.875,1660.0839999999998,12625.25
48,1688.08,19920.3125,1697.07,11264.6875
49,1709.079,19931.3125,1723.0810000000001,12048.4375
50,1763.0710000000001,19870.125,1748.0810000000001,10660.375
51,1776.0829999999999,19926.5,1766.0720000000001,17815.875
52,1814.0720000000001,19910.0,1816.075,8410.875
53,1847.0739999999998,19952.625,1852.085,13704.625
54,1861.076,19946.4375,1882.078,10983.5
55,1909.0770000000002,19881.125,1900.0729999999999,11288.75
56,1928.086,19872.1875,1918.0720000000001,11545.1875
57,1962.0739999999998,19919.625,1968.078,18768.75
58,1984.0870000000002,19932.6875,2003.0839999999998,17917.625
59,2017.0729999999999,19962.9375,2026.075,18070.9375
60,2051.076,20040.625,2059.073,17177.1875
61,2091.083,19857.0625,2083.076,10830.875
62,2116.0879999999997,19869.4375,2117.0789999999997,5176.875
63,2137.085,19973.9375,2134.085,10080.8125
64,2170.0879999999997,19852.25,2174.083,12722.1875
65,2192.081,19905.875,2193.084,5752.3125
66,2226.0820000000003,19917.5625,2234.0860000000002,14078.625
67,2257.076,19962.9375,2273.083,12350.9375
68,2287.0789999999997,19870.8125,2299.074,16199.5625
69,2315.0820000000003,19910.6875,2321.074,13149.8125
70,2342.089,19917.5625,2336.087,6240.4375
71,2382.087,19869.4375,2374.074,8261.6875
72,2415.075,19964.3125,2401.085,11113.4375
73,2441.075,19925.125,2445.0879999999997,6659.8125
74,2478.075,19994.5625,2480.075,12906.4375
75,2762.508,20024.8125,2786.513,6671.5
76,2801.509,20052.3125,2792.509,13416.5625
77,2830.509,20058.5,2845.509,14036.0
78,2853.51,19875.625,2873.509,13541.0
79,2907.51,20042.0,2901.51,11387.75
80,2933.51,20031.6875,2910.509,12294.5625
81,2944.514,20063.3125,2967.51,12881.6875
82,2974.509,20049.5625,2989.525,10402.5625
83,3021.52,19974.625,3014.5240000000003,11548.625
84,3043.511,20028.25,3050.51,10819.875
85,3067.514,19980.125,3080.5229999999997,10815.75
86,3105.511,19945.75,3103.512,9165.75
87,3133.515,19883.875,3122.51,5870.5625
88,3173.511,20038.5625,3156.51,13574.6875
89,3198.511,19931.3125,3180.515,13657.875
90,3222.511,20039.25,3231.511,15928.6875
91,3244.51,19863.25,3247.515,7834.0625
92,3274.5190000000002,20028.25,3280.512,11580.25
93,3312.513,19960.875,3299.518,14207.1875
94,3338.527,19931.3125,3351.528,10311.8125
95,3372.51,20039.25,3386.511,10019.625
96,3620.04,20145.8125,3610.027,12027.125
97,3642.022,20014.5,3658.0359999999996,13035.0
98,3667.035,20030.3125,3683.0190000000002,13295.5625
99,3706.022,19996.625,3698.0209999999997,9147.875
100,3736.0359999999996,19999.375,3748.0359999999996,13107.875
101,3755.035,19923.75,3775.025,12575.75
102,3782.035,19885.25,3791.022,11206.9375
103,3838.0229999999997,19954.6875,3819.032,12394.9375
104,3862.032,19841.25,3855.025,13068.6875
105,3896.026,19930.625,3892.03,11632.5
106,3907.0209999999997,19862.5625,3924.0359999999996,11947.375
107,3936.032,19922.375,3949.025,11883.4375
108,3963.034,19929.9375,3976.0240000000003,10011.375
109,4013.0209999999997,19943.6875,3992.0240000000003,11357.5
110,4246.714,20047.5,4254.714,10034.75
111,4273.702,20015.1875,4295.724,11803.6875
112,4316.708,20000.75,4302.715,10527.6875
113,4338.705,20018.625,4341.715,12388.0625
114,4372.702,20021.375,4362.707,12176.3125
115,4390.7029999999995,20064.0,4407.714,8723.6875
116,4428.7029999999995,20026.875,4440.704000000001,11936.375
117,4473.709,20042.6875,4458.7029999999995,12416.9375
118,4506.718,19933.375,4484.717000000001,13026.75
119,4512.705,20024.125,4524.7029999999995,11189.75
120,4553.708,20012.4375,4567.715,12118.5625
121,4585.718,19991.125,4571.7029999999995,10463.75
122,4604.715,20009.6875,4617.708,7022.8125
123,4636.7029999999995,19949.875,4643.715999999999,12157.0625
124,4683.718,19986.3125,4668.715999999999,12121.3125
125,4696.715999999999,19938.875,4692.7029999999995,14803.9375
126,4740.705,20011.0625,4728.705,11708.8125
127,4763.705,19934.0625,4762.708,10839.8125
128,4785.705,19941.625,4783.717000000001,13230.9375
129,4824.717000000001,19949.875,4835.705,9418.0625
130,4858.714,19918.9375,4864.71,11325.1875
131,4882.718,19963.625,4875.71,12390.8125
132,4907.706,19956.0625,4921.704000000001,13163.5625
133,4931.707,19934.75,4930.708,11391.1875
134,4987.707,19969.8125,4960.704000000001,9380.25
