,x_max,y_max,x_min,y_min
0,29.991,20609.1875,25.006999999999998,20168.5
1,51.001999999999995,20699.25,51.992,20271.625
2,71.991,20659.375,73.991,20297.75
3,97.99600000000001,20684.125,119.006,20332.125
4,131.007,20655.25,146.99200000000002,20294.3125
5,182.00099999999998,20621.5625,177.99200000000002,20291.5625
6,197.99200000000002,20625.0,195.99400000000003,20274.375
7,239.99200000000002,20594.75,236.995,20273.0
8,249.00900000000001,20673.125,258.004,20241.375
9,281.002,20576.1875,295.997,20195.3125
10,317.997,20656.625,311.005,20303.9375
11,344.995,20642.875,350.0,20300.5
12,384.00800000000004,20576.1875,391.995,20221.4375
13,397.00800000000004,20570.0,418.006,20277.8125
14,441.994,20642.1875,433.99800000000005,20257.1875
15,461.00300000000004,20609.875,470.006,20319.75
16,495.006,20499.1875,505.001,20270.9375
17,535.994,20649.0625,522.995,20322.5
18,549.994,20473.0625,559.997,20262.0
19,585.001,20603.6875,575.994,20263.375
20,621.005,20486.125,628.995,20269.5625
21,662.005,20448.3125,639.994,20261.3125
22,690.998,20503.3125,676.002,20304.625
23,709.995,20471.6875,717.0,20333.5
24,736.002,20496.4375,752.01,20225.5625
25,772.008,20535.625,773.008,20306.6875
26,810.0010000000001,20526.0,798.0010000000001,20299.8125
27,829.998,20535.625,839.013,20291.5625
28,866.0089999999999,20519.8125,870.01,20353.4375
29,889.997,20460.6875,884.997,20297.75
30,904.997,20535.625,920.0,20288.8125
31,961.005,20519.8125,957.0039999999999,20259.9375
32,980.007,20505.375,974.998,20264.75
33,1004.998,20521.1875,998.997,20293.625
34,1121.009,20506.0625,1028.013,20321.125
35,1137.999,20513.625,1133.998,20306.0
36,1155.999,20588.5625,1182.014,20231.75
37,1186.998,20499.875,1212.011,20198.0625
38,1215.001,20567.25,1219.999,20187.0625
39,1252.998,20504.6875,1267.998,20277.125
40,1299.999,20495.75,1279.998,20114.1875
41,1314.0,20522.5625,1331.004,20179.5
42,1341.0020000000002,20501.25,1346.999,20157.5
43,1382.005,20647.0,1367.0,20075.0
44,1406.999,20536.3125,1418.999,20206.3125
45,1451.007,20523.9375,1433.999,20192.5625
46,1468.013,20489.5625,1469.014,20229.6875
47,1507.0120000000002,20510.875,1492.011,20121.0625
48,1539.013,20523.25,1519.0079999999998,20157.5
49,1561.0020000000002,20507.4375,1549.013,20077.75
50,1578.0020000000002,20499.875,1584.001,20164.375
51,1605.0,20490.25,1623.01,20161.625
52,1654.014,20523.9375,1639.013,19999.375
53,1665.004,20491.625,1676.014,20149.9375
54,1697.003,20473.75,1719.001,20037.1875
55,1728.015,20534.9375,1738.0179999999998,19993.1875
56,1769.0020000000002,20489.5625,1755.001,20086.6875
57,1807.0020000000002,20473.0625,1795.003,20147.875
58,1833.0020000000002,20499.1875,1832.003,20096.3125
59,1867.013,20523.25,1861.0079999999998,20022.0625
60,1882.007,20542.5,1903.013,20083.25
61,1907.003,20513.625,1914.003,20050.25
62,1940.004,20440.0625,1959.01,20129.3125
63,1980.007,20537.0,1992.003,19965.0
64,2006.007,20469.625,2013.015,19920.3125
65,2027.0079999999998,20498.5,2048.0029999999997,20000.75
66,2072.019,20451.75,2063.0029999999997,19913.4375
67,2087.0029999999997,20523.25,2105.0029999999997,19969.125
68,2175.004,20493.0,2164.004,20025.5
69,2204.008,20449.0,2193.009,20001.4375
70,2222.018,20587.1875,2235.016,20145.8125
71,2280.015,20467.5625,2261.013,19855.6875
72,2307.005,20437.3125,2282.007,19824.0625
73,2324.005,20508.8125,2318.005,20052.3125
74,2346.013,20451.0625,2345.006,20005.5625
75,2374.008,20455.1875,2396.006,19970.5
76,2420.005,20477.875,2422.005,20004.1875
77,2435.014,20486.125,2443.0170000000003,20055.0625
78,2487.022,20533.5625,2483.015,19990.4375
79,2516.006,20487.5,2501.02,19960.875
80,2534.006,20422.875,2529.018,19951.9375
81,2579.011,20543.1875,2578.006,19997.3125
82,2593.006,20497.125,2601.006,19934.75
83,2621.006,20523.9375,2613.006,19808.9375
84,2667.012,20484.75,2645.012,19826.125
85,2688.007,20427.0,2699.007,19842.625
86,2705.008,20512.25,2715.013,20000.0625
87,2749.008,20473.0625,2734.011,19921.0
88,2782.013,20451.0625,2784.0159999999996,19786.9375
89,2810.018,20387.8125,2818.02,19732.625
90,2846.01,20433.1875,2845.02,19837.8125
91,2880.008,20402.9375,2878.0159999999996,19825.4375
92,2892.01,20486.8125,2909.0240000000003,20022.75
93,2931.022,20412.5625,2935.009,19825.4375
94,2943.0190000000002,20451.75,2967.009,19879.0625
95,2976.01,20424.25,2999.02,19868.0625
96,3007.009,20494.375,3004.012,19784.875
97,3045.014,20448.3125,3038.02,19743.625
98,3077.013,20497.8125,3081.01,19844.6875
99,3113.01,20482.0,3109.009,19847.4375
100,3125.0159999999996,20482.6875,3122.01,19893.5
101,3161.04,20560.375,3300.014,19811.6875
102,3334.01,20456.5625,3327.0240000000003,19456.9375
103,3360.025,20449.0,3359.0190000000002,19863.25
104,3399.0190000000002,20353.4375,3396.015,19801.375
105,3415.018,20534.9375,3411.014,19846.75
106,3458.0209999999997,20414.625,3443.0170000000003,19686.5625
107,3474.012,20417.375,3487.014,19615.75
108,3504.025,20421.5,3509.022,19697.5625
109,3531.012,20486.125,3529.0190000000002,19839.1875
110,3566.012,20511.5625,3574.0159999999996,19878.375
111,3596.0159999999996,20376.8125,3590.012,19727.125
112,3626.013,20461.375,3617.0159999999996,19746.375
113,3655.013,20442.125,3661.013,19637.0625
114,3685.013,20460.6875,3690.013,19786.25
115,3710.014,20487.5,3713.026,19731.25
116,3745.025,20423.5625,3760.0170000000003,19848.125
117,3785.015,20370.625,3772.0159999999996,19775.9375
118,3806.014,20491.625,3794.014,19751.1875
119,3851.014,20389.1875,3834.026,19643.25
120,3874.014,20411.875,3865.015,19773.875
121,3905.0209999999997,20424.9375,3885.027,19769.0625
122,3935.015,20482.0,3918.0229999999997,19593.75
123,3964.0240000000003,20466.875,3960.018,19579.3125
124,4000.0159999999996,20449.0,3992.027,19743.625
125,4025.0240000000003,20533.5625,4008.015,19827.5
126,4037.0159999999996,20416.6875,4044.0159999999996,19866.0
127,4089.028,20349.3125,4088.015,19709.9375
128,4109.016,20436.625,4106.027,19767.0
129,4145.022,20372.6875,4149.015,19757.375
130,4166.016,20398.8125,4175.015,19570.375
131,4565.43,20622.9375,4567.428,19402.625
132,4591.427,20357.5625,4609.427,19610.25
133,4627.43,20376.125,4618.442,19320.125
134,4668.43,20559.6875,4663.432,19136.5625
135,4671.429,20397.4375,4695.428,17932.75
136,4719.435,20371.3125,4712.429,19568.3125
137,4735.428,20365.125,4741.428,19632.9375
138,4788.428,20325.25,4768.429,19549.0625
139,4808.428,20240.6875,4815.428,18228.375
140,4826.439,20413.9375,4836.428,19315.3125
141,4855.428,20418.0625,4858.428,16589.375
142,4902.441,20262.6875,4904.429,19513.3125
143,4922.429,20259.25,4933.429,17584.1875
144,4955.429,20390.5625,4948.429,19579.3125
145,4995.429,20368.5625,4975.429,16673.25
146,5020.429,20552.8125,5015.429,19660.4375
147,5031.435,20265.4375,5059.431,19606.125
148,5070.439,20303.9375,5084.434,15962.375
149,5100.43,20198.75,5109.431,19507.8125
150,5121.442,20259.9375,5139.435,18370.0
151,5154.43,20308.0625,5162.443,19406.75
152,5183.444,20270.9375,5196.435,18125.25
153,5230.43,20356.875,5222.431,18819.625
154,5249.43,20220.0625,5246.43,19490.625
155,5275.431,20405.6875,5297.437,19588.9375
156,5323.448,20203.5625,5306.431,19594.4375
157,5347.446,20193.25,5341.437,19328.375
158,5376.431,20285.375,5363.441999999999,17837.875
159,5405.431,20556.25,5396.445,16990.1875
160,5443.438,20506.75,5449.431,19038.25
161,5464.435,20241.375,5469.433000000001,18356.25
162,5507.433000000001,20274.375,5498.433000000001,19195.0
163,5516.431,20353.4375,5520.432,19590.3125
164,5548.432,20546.625,5544.434,18704.125
165,6657.438,20158.1875,6644.453,12421.0625
166,6674.437,20202.1875,6685.437,17019.75
167,6705.438,20281.25,6719.44,11295.625
168,6753.437,20217.3125,6748.438,15911.5
169,6777.445,20256.5,6770.441999999999,17450.125
170,6818.438,20185.0,6808.438,16129.4375
171,6849.4490000000005,20003.5,6831.438,15189.625
172,6864.444,20185.6875,6876.446,11868.3125
173,6889.4490000000005,20242.75,6898.438,16112.9375
174,6919.441999999999,20209.0625,6920.438,13937.6875
175,6960.44,20138.9375,6954.441,14144.625
176,6982.445,20314.25,6979.45,12436.875
177,7027.439,20484.75,7013.438,15505.875
178,7040.439,20409.8125,7055.45,16071.0
179,7082.439,20032.375,7088.445,14418.25
180,7100.44,20122.4375,7099.441,11828.4375
181,7124.44,20409.125,7137.456,11005.5
182,7152.44,20238.625,7169.44,16673.9375
183,7182.44,20028.25,7183.441,9651.125
184,7211.44,20068.8125,7239.439,15920.4375
185,7252.44,19938.875,7241.4490000000005,16046.25
186,7290.441999999999,20034.4375,7288.44,8408.125
187,7313.44,20448.3125,7309.44,12472.625
188,7343.44,20166.4375,7345.44,15078.9375
189,7375.441,20086.6875,7367.441,15059.0
190,7407.446999999999,20171.9375,7409.441999999999,12315.1875
191,7432.445,19983.5625,7429.441,9456.5625
192,7454.441,19983.5625,7456.441,15502.4375
193,7497.446,20275.0625,7495.456999999999,14480.125
194,7525.441999999999,19987.6875,7518.455,8857.75
195,7551.441999999999,20103.1875,7546.441,9710.9375
196,7597.455,19960.1875,7571.441,10378.5
197,7613.4580000000005,19967.75,7606.443,9929.5625
198,7696.441999999999,20488.1875,7634.441999999999,12705.6875
199,7721.451999999999,20024.125,7735.455,14439.5625
200,7751.455,19926.5,7746.446999999999,10872.8125
201,7777.443,20131.375,7771.443,8946.4375
202,7828.443,20158.1875,7821.443,12524.1875
203,7835.445,20163.6875,7857.445,7185.75
204,7872.443,20018.625,7876.445,14488.375
205,7912.4490000000005,20165.0625,7916.445,7214.625
206,7936.454000000001,20053.0,7921.453,13923.25
207,7951.446,20224.1875,7959.443,6974.6875
208,8001.444,20499.1875,8005.45,13274.9375
209,8020.45,20412.5625,8028.451,11064.625
210,8056.448,19976.6875,8049.45,5460.125
