,x_max,y_max,x_min,y_min
0,7.971,20138.9375,20.97,15477.6875
1,41.968999999999994,20037.875,38.97,15510.6875
2,84.97,20180.1875,79.984,15671.5625
3,107.97,20138.25,100.97,16337.75
4,144.977,20224.1875,139.97,16369.375
5,157.982,19962.9375,153.97,16055.875
6,198.984,20121.0625,199.97799999999998,16166.5625
7,236.993,20088.0625,215.97099999999998,17548.4375
8,262.971,20148.5625,241.97299999999998,16492.4375
9,272.983,20150.625,285.981,18055.8125
10,327.983,20168.5,310.972,16960.625
11,343.973,20105.25,339.98400000000004,17316.0625
12,372.978,20114.875,363.978,18112.1875
13,409.98400000000004,20288.8125,410.976,17077.5
14,423.972,20160.9375,419.972,18020.75
15,461.972,20070.1875,459.978,17547.0625
16,505.98199999999997,20275.0625,503.98,17860.5625
17,509.986,20171.25,520.9780000000001,18147.9375
18,555.974,20005.5625,545.9780000000001,17593.125
19,585.974,20207.6875,572.98,17991.875
20,614.989,20092.875,616.987,18395.4375
21,646.977,20139.625,654.979,18518.5
22,664.9739999999999,20061.9375,672.988,18568.6875
23,698.9789999999999,20117.625,695.9739999999999,18293.0
24,725.9739999999999,20174.0,739.9730000000001,18616.8125
25,772.975,20212.5,763.99,18361.75
26,788.9810000000001,20191.1875,803.9739999999999,18582.4375
27,827.9739999999999,20139.625,813.9760000000001,18324.625
28,846.9860000000001,20206.3125,855.9739999999999,18851.25
29,894.975,20141.0,886.975,18403.6875
30,902.975,20184.3125,918.987,17734.0625
31,942.975,20190.5,934.9760000000001,17528.5
32,961.9760000000001,20221.4375,971.9760000000001,19166.8125
33,990.9760000000001,20180.1875,1002.988,18235.9375
34,1021.975,20171.9375,1038.98,18380.3125
35,1074.976,20170.5625,1061.991,17869.5
36,1086.976,20182.9375,1101.99,18583.8125
37,1137.9769999999999,20138.9375,1109.979,17908.0
38,1151.9769999999999,20159.5625,1166.976,18666.3125
39,1179.976,20164.375,1180.976,14049.75
40,1200.9769999999999,20201.5,1208.984,17663.25
41,1234.984,20207.0,1236.991,18905.5625
42,1259.979,20157.5,1285.978,18770.125
43,1317.989,20222.8125,1295.99,17454.9375
44,1320.9779999999998,20167.125,1322.991,18059.9375
45,1372.986,20123.125,1362.979,18009.0625
46,1379.9820000000002,20158.875,1393.9779999999998,19052.0
47,1416.9779999999998,20172.625,1425.979,18551.5
48,1452.979,20181.5625,1451.98,17839.25
49,1484.9920000000002,20163.0,1473.979,19360.6875
50,1516.979,20130.0,1511.981,18614.75
51,1547.979,20221.4375,1555.9779999999998,18796.9375
52,1559.979,20189.8125,1586.9779999999998,18451.8125
53,1590.979,20208.375,1589.979,18537.0625
54,1629.98,20185.6875,1644.994,18755.0
55,1663.991,20102.5,1657.9920000000002,18380.3125
56,1707.981,20098.375,1706.98,18049.625
57,1721.979,20136.875,1736.996,19039.625
58,1739.991,20190.5,1746.984,18544.625
59,1782.9879999999998,20142.375,1776.985,18779.0625
60,1814.981,20165.0625,1824.981,19006.625
61,1831.984,20103.1875,1836.98,18829.25
62,1860.981,20099.0625,1883.981,17719.625
63,1912.981,20075.6875,1898.989,19016.25
64,1924.997,20123.125,1938.995,17938.25
65,1953.994,20112.8125,1958.9879999999998,18480.6875
66,1986.9820000000002,20149.25,1994.991,19005.9375
67,2010.9920000000002,20118.3125,2028.9820000000002,19320.8125
68,2049.982,20176.0625,2066.986,19315.3125
69,2084.982,20065.375,2070.994,18913.125
70,2107.996,20064.6875,2104.9829999999997,19434.25
71,2144.987,20038.5625,2141.982,19137.9375
72,2177.9829999999997,20133.4375,2170.982,18573.5
73,2192.9829999999997,20141.6875,2190.9829999999997,19294.0
74,2239.0,20077.75,2223.9970000000003,18512.3125
75,2258.9829999999997,20132.75,2266.984,19368.25
76,2280.984,20174.6875,2296.985,19243.125
77,2314.998,20060.5625,2330.984,18385.8125
78,2341.991,20136.1875,2343.984,19222.5
79,2380.999,20145.125,2382.985,19362.0625
80,2425.999,20131.375,2406.9970000000003,19284.375
81,2429.987,20103.875,2446.984,18639.5
82,2476.984,20175.375,2486.985,18777.0
83,2490.986,20119.6875,2492.985,19475.5
84,2526.988,20174.0,2525.996,19409.5
85,2564.985,20123.125,2571.989,19366.1875
86,2593.998,20222.8125,2597.984,17674.9375
87,2633.985,20116.9375,2611.993,19384.0625
88,2656.988,19979.4375,2660.992,19201.875
89,2670.986,20041.3125,2675.987,16919.375
90,2715.986,20077.0625,2709.988,19331.125
91,2746.986,20018.625,2755.995,18499.25
92,2765.986,20066.0625,2784.0,19224.5625
93,2800.9990000000003,20151.3125,2799.993,19441.8125
94,2834.986,20174.6875,2832.986,19342.8125
95,2871.0,20069.5,2857.0009999999997,19357.9375
96,2880.986,20056.4375,2890.987,19570.375
97,2917.987,20054.375,2924.0009999999997,19443.1875
98,2963.988,20065.375,2945.987,19270.625
99,2977.987,20015.1875,2984.988,18568.6875
100,3089.988,20109.375,3075.002,18807.9375
101,3101.988,20119.0,3108.0009999999997,18985.3125
102,3143.002,20006.25,3154.9990000000003,17974.6875
103,3171.998,20128.625,3170.989,19514.0
104,3197.989,20143.0625,3214.0040000000004,19452.8125
105,3218.989,20019.3125,3226.991,19198.4375
106,3250.989,20158.875,3274.99,18693.8125
107,3296.988,19983.5625,3286.989,19502.3125
