,x_max,y_max,x_min,y_min
0,27.004,16788.75,1.999,13024.0
1,40.003,18646.375,29.993000000000002,15105.0625
2,84.006,18757.75,73.00399999999999,16055.1875
3,115.994,18735.75,96.00299999999999,13699.125
4,144.002,19761.5,127.006,16461.5
5,173.995,19657.6875,158.002,16926.9375
6,204.0,20284.0,196.00099999999998,16284.125
7,221.995,20125.1875,226.01,15665.375
8,249.99900000000002,20101.8125,245.007,15943.125
9,297.995,20569.3125,290.008,18158.25
10,314.009,20746.6875,305.995,17712.0625
11,346.996,20782.4375,356.005,18017.3125
12,374.009,20706.125,361.01,18375.5
13,399.99699999999996,20799.625,406.996,19771.125
14,430.996,20785.1875,431.99699999999996,19320.125
15,470.996,20836.0625,476.99699999999996,18698.625
16,494.996,20884.875,500.01,19245.875
17,520.997,20849.8125,514.003,19941.625
18,561.005,20863.5625,563.997,19993.1875
19,594.009,20935.0625,588.003,19617.125
20,602.004,20914.4375,605.008,20064.0
21,642.015,20946.0625,653.998,20461.375
22,679.998,20913.75,660.9989999999999,20028.9375
23,703.9989999999999,20955.0,707.0089999999999,20332.125
24,726.9989999999999,20891.75,732.998,20398.8125
25,750.012,20950.1875,761.998,19714.0625
26,791.998,20935.0625,786.0089999999999,20317.0
27,822.998,20960.5,821.9989999999999,19885.25
28,860.9989999999999,20996.9375,868.012,20310.125
29,876.9989999999999,20960.5,895.01,20303.25
30,910.012,20917.875,914.9989999999999,20247.5625
31,954.003,20974.25,944.0139999999999,20139.625
32,984.0,20905.5,973.012,20196.6875
33,1009.0,20925.4375,1002.9989999999999,20220.0625
34,1033.001,20942.625,1029.0,20225.5625
35,1071.002,20908.25,1061.014,20191.1875
36,1098.001,20961.1875,1103.001,20284.0
37,1113.002,20893.125,1131.0,20235.875
38,1167.0,20874.5625,1158.001,20237.25
39,1179.0,20866.3125,1191.002,20279.1875
40,1226.001,20862.875,1210.008,20202.875
41,1249.002,20924.0625,1236.008,19677.625
42,1276.002,20874.5625,1288.004,20218.6875
43,1308.002,20891.0625,1298.015,19984.9375
44,1329.0020000000002,20882.125,1340.003,20183.625
45,1361.013,20571.375,1371.009,19902.4375
46,1404.0120000000002,20583.75,1382.014,19980.8125
47,1427.0020000000002,20681.375,1437.0020000000002,20198.0625
48,1459.011,20717.8125,1445.011,20072.25
49,1492.0079999999998,20803.75,1479.003,20017.9375
50,1510.019,20618.8125,1524.0079999999998,20296.375
51,1533.0179999999998,20477.875,1549.0120000000002,20195.3125
52,1574.006,20595.4375,1586.011,20085.3125
53,1595.004,20840.1875,1597.009,19264.4375
54,1627.005,20563.8125,1620.006,19976.0
55,1664.017,20501.9375,1677.007,20013.125
56,1693.019,20541.125,1686.0079999999998,19626.75
57,1715.014,20517.0625,1736.005,17006.6875
58,1760.005,20891.0625,1755.0079999999998,18317.0625
59,1778.005,20497.8125,1792.007,19881.8125
60,1813.011,20519.125,1805.017,19845.375
61,1858.005,20554.875,1839.015,19811.0
62,1885.016,20496.4375,1875.019,19518.8125
63,1909.0179999999998,20599.5625,1904.01,20022.0625
64,1926.005,20499.875,1939.005,17802.125
65,1964.006,20547.3125,1975.005,20022.75
66,2008.006,20553.5,1990.005,17963.0
67,2036.006,20484.75,2017.007,19544.25
68,2048.016,20521.875,2040.006,18330.125
69,2092.019,20544.5625,2085.007,19830.25
70,2103.009,20550.0625,2106.007,19531.1875
71,2157.0170000000003,20526.6875,2139.02,18018.6875
72,2185.006,20571.375,2183.018,13811.875
73,2199.007,20539.0625,2212.011,19762.1875
74,2243.007,20560.375,2238.022,18795.5625
75,2257.012,20616.75,2267.014,19596.5
76,2299.02,20633.9375,2297.008,14148.0625
77,2334.019,20490.9375,2327.008,18856.75
78,2344.008,20586.5,2351.008,19758.0625
79,2370.009,20583.75,2375.013,16017.375
80,2418.025,20484.0625,2413.009,19480.3125
81,2451.012,20518.4375,2449.009,17563.5625
82,2467.019,20564.5,2473.01,18721.3125
