,x_max,y_max,x_min,y_min
0,27.986,16616.1875,0.985,11672.375
1,50.979,17402.6875,44.986999999999995,13864.8125
2,79.99,18084.6875,66.976,13107.1875
3,113.98299999999999,18699.3125,102.976,11629.75
4,141.974,19334.5625,137.982,16203.0
5,173.99099999999999,19826.8125,160.982,18092.9375
6,207.989,19901.0625,198.987,17710.6875
7,237.975,20403.625,236.987,17421.25
8,265.975,20322.5,259.982,18472.4375
9,269.98,20376.8125,285.976,18332.875
10,310.97900000000004,20459.3125,314.975,19552.5
11,333.976,20364.4375,332.98199999999997,19030.6875
12,362.99,20528.0625,375.975,18859.5
13,410.977,20547.3125,405.978,19792.4375
14,423.977,20560.375,431.97900000000004,19837.125
15,471.977,20451.75,454.98699999999997,19839.875
16,715.33,20455.1875,495.977,20076.375
17,747.329,20597.5,736.325,19791.0625
18,772.317,20537.0,765.33,19517.4375
19,801.316,20628.4375,784.317,19433.5625
20,815.316,20512.9375,836.322,19384.75
21,857.32,20483.375,869.317,19437.0
22,895.33,20540.4375,889.32,19494.75
23,929.321,20487.5,927.321,19399.875
24,944.317,20400.1875,942.33,19408.125
25,975.318,20448.3125,968.318,19520.875
26,1019.332,20435.9375,995.317,19466.5625
27,1028.32,20496.4375,1037.318,19443.1875
28,1079.319,20431.8125,1058.329,19341.4375
29,1101.318,20386.4375,1096.318,19427.375
30,1138.322,20385.0625,1135.319,19443.875
31,1169.32,20418.0625,1155.319,19294.6875
32,1173.319,20477.1875,1179.319,19333.1875
33,1226.319,20509.5,1222.318,19500.9375
34,1233.328,20401.5625,1240.319,19429.4375
35,1266.319,20325.25,1279.319,18854.6875
36,1317.326,20456.5625,1320.32,18301.25
37,1325.3210000000001,20384.375,1331.3220000000001,17303.6875
38,1362.32,20410.5,1368.319,13186.25
39,1401.3239999999998,20374.0625,1405.329,18047.5625
40,1414.319,20396.0625,1427.32,19285.75
41,1458.3210000000001,20426.3125,1453.3220000000001,19343.5
42,1485.3310000000001,20433.875,1482.32,16440.1875
43,1509.32,20431.125,1514.3229999999999,16365.25
44,1543.3210000000001,20400.1875,1540.326,11348.5625
45,1589.329,20449.0,1566.3239999999998,16430.5625
46,1621.3229999999999,20395.375,1609.325,19473.4375
47,1636.32,20333.5,1637.3270000000002,10838.4375
48,1681.329,20394.6875,1659.326,16114.3125
49,1700.3229999999999,20468.25,1688.3310000000001,15024.625
50,1844.3220000000001,20446.25,1724.326,18411.9375
51,1871.3229999999999,20354.8125,1868.33,14885.75
52,1888.3229999999999,20410.5,1893.3310000000001,10414.25
53,1911.3229999999999,20433.875,1922.3239999999998,14987.5
54,1952.3229999999999,20450.375,1954.3229999999999,13646.1875
55,1985.3239999999998,20458.625,1973.3229999999999,14955.875
56,2017.3239999999998,20644.9375,2003.3229999999999,18684.875
57,2096.331,20422.875,2032.338,9007.625
58,2135.3289999999997,20518.4375,2113.324,19592.375
59,2165.34,20514.3125,2145.324,19541.5
60,2184.325,20478.5625,2192.34,18677.3125
61,2205.34,20510.1875,2230.325,14438.1875
62,2244.339,20438.0,2239.3289999999997,16509.625
