,x_max,y_max,x_min,y_min
0,6.987,2.9351188e-06,26.993000000000002,2.6449005e-06
1,41.989,2.8963204e-06,54.983999999999995,2.5380746e-06
2,62.993,2.851183299999999e-06,82.986,2.480192e-06
3,98.992,2.78104175e-06,111.98299999999999,2.5111382000000005e-06
4,126.993,2.7556842e-06,132.996,2.456733e-06
5,166.993,2.7546374e-06,161.982,2.4375576e-06
6,201.993,2.70842115e-06,181.982,2.29120375e-06
7,228.987,2.7648085e-06,223.99400000000003,2.335682e-06
8,264.985,2.7682969e-06,240.99599999999998,2.272157e-06
9,285.99,2.737299e-06,288.983,2.3296303500000003e-06
10,305.994,2.6736131e-06,327.983,2.2717151e-06
11,349.996,2.6459784e-06,350.991,1.9386874e-06
12,362.99699999999996,2.58622615e-06,386.98800000000006,1.9968018000000003e-06
13,396.99199999999996,2.6534744e-06,407.983,1.7580446000000004e-06
14,438.99300000000005,2.684694e-06,423.99,1.482854e-07
15,459.994,2.6498151e-06,468.983,1.7478368e-06
16,489.983,2.668398e-06,502.99699999999996,1.7699684e-06
17,528.994,2.5669296e-06,537.994,1.529642e-07
18,543.984,2.5502025e-06,539.984,1.50561e-07
19,592.997,2.5777924e-06,582.984,1.408812e-07
20,625.984,2.6998148e-06,600.984,1.463622e-07
21,646.986,2.539685e-06,633.988,1.946817e-07
22,660.9960000000001,2.56330565e-06,661.995,1.7328716499999996e-06
23,701.995,2.5795496000000004e-06,713.9960000000001,1.50616e-07
24,730.985,2.4974832000000003e-06,734.995,1.2250405000000002e-07
25,764.99,1.665354e-07,767.993,1.229748e-07
26,803.985,1.669414e-07,807.993,1.231816e-07
27,832.0,1.7705560000000005e-07,826.9860000000001,1.296474e-07
