,x_max,y_max,x_min,y_min
0,23.009,1.0787766e-05,8.995,7.938098e-06
1,49.021,1.05258074167e-05,46.001999999999995,8.08312933333e-06
2,63.99100000000001,1.07434606667e-05,83.993,7.925560916669999e-06
3,100.008,1.0630769e-05,91.00399999999999,8.09262633333e-06
4,127.005,1.05450596667e-05,133.993,7.773247666669997e-06
5,154.005,1.06060583333e-05,153.006,8.166912e-06
6,197.997,1.02301063333e-05,202.00799999999998,7.83216533333e-06
7,230.99599999999998,1.06722953333e-05,235.00400000000002,7.938297333330003e-06
8,247.01,1.04779570833e-05,258.006,8.20541408333e-06
9,292.994,1.083641825e-05,294.004,8.21454233333e-06
10,314.013,1.073849e-05,308.0,8.074008e-06
11,349.999,1.06533596667e-05,330.005,8.075338000000001e-06
12,384.005,9.822723e-06,374.005,8.32293466667e-06
13,418.00199999999995,1.06016694167e-05,398.00699999999995,8.45278833333e-06
14,447.99300000000005,1.06079373333e-05,442.00800000000004,8.420380166669999e-06
15,450.01199999999994,1.0555496e-05,472.996,8.49892008333e-06
16,492.004,1.05289833333e-05,507.994,8.00752533333e-06
17,527.994,1.00975085e-05,531.994,8.04218125e-06
18,774.076,1.037272525e-05,785.068,8.279366499999999e-06
19,820.087,1.03914858333e-05,808.081,8.18644666667e-06
20,842.082,1.03038979167e-05,847.072,8.464702499999999e-06
21,888.076,1.04386846667e-05,881.067,7.931543000000001e-06
22,902.078,1.05112910833e-05,900.077,7.93660941667e-06
23,945.077,1.06842036667e-05,944.078,8.43533233333e-06
24,974.076,1.07855284167e-05,966.078,8.32848466667e-06
25,1002.09,1.07562973333e-05,1013.071,8.44336716667e-06
26,1025.078,1.06438995e-05,1041.068,8.412285e-06
27,1067.067,1.10888746667e-05,1068.0810000000001,8.49176266667e-06
28,1076.08,1.07318026667e-05,1087.068,8.67280558333e-06
29,1122.078,1.07460683333e-05,1115.078,9.017978666669999e-06
30,1142.0710000000001,1.06212766667e-05,1137.07,8.38127116667e-06
31,1189.068,1.09842308333e-05,1179.069,8.822955e-06
32,1199.067,1.069826875e-05,1212.0739999999998,8.441499e-06
33,1235.0739999999998,1.08327066667e-05,1227.076,8.26771066667e-06
34,1277.075,1.07691986667e-05,1263.0739999999998,8.441359e-06
35,1291.068,1.0973959e-05,1290.0810000000001,8.79387075e-06
36,1343.0770000000002,1.09310903333e-05,1321.068,8.93711e-06
37,1350.0829999999999,1.02688056667e-05,1364.069,8.703765833330001e-06
38,1389.078,1.04594466667e-05,1375.0720000000001,8.566665e-06
