,x_max,y_max,x_min,y_min
0,0.0,inf,0.0,inf
1,32.999,inf,32.999,inf
2,64.003,inf,64.003,inf
3,93.992,inf,93.992,inf
4,123.995,inf,123.995,inf
5,154.002,inf,154.002,inf
6,183.99200000000002,inf,183.99200000000002,inf
7,213.997,inf,213.997,inf
8,243.997,inf,243.997,inf
9,273.995,inf,273.995,inf
10,303.997,inf,303.997,inf
11,334.00199999999995,inf,334.00199999999995,inf
12,364.00699999999995,inf,364.00699999999995,inf
13,393.99300000000005,inf,393.99300000000005,inf
14,424.001,inf,424.001,inf
15,454.00199999999995,inf,454.00199999999995,inf
16,483.994,inf,483.994,inf
17,513.994,inf,513.994,inf
18,543.997,inf,543.997,inf
19,573.994,inf,573.994,inf
20,603.994,inf,603.994,inf
21,633.995,inf,633.995,inf
22,663.998,inf,663.998,inf
23,693.9960000000001,inf,693.9960000000001,inf
24,723.9960000000001,inf,723.9960000000001,inf
25,753.995,inf,753.995,inf
26,783.9960000000001,inf,783.9960000000001,inf
27,813.997,inf,813.997,inf
28,844.018,inf,844.018,inf
29,874.002,inf,874.002,inf
30,903.997,inf,903.997,inf
31,934.0110000000001,inf,934.0110000000001,inf
32,964.0010000000001,inf,964.0010000000001,inf
33,994.0010000000001,inf,994.0010000000001,inf
34,1024.0,inf,1024.0,inf
35,1124.998,inf,1124.998,inf
36,1155.009,inf,1155.009,inf
37,1184.999,inf,1184.999,inf
38,1215.001,inf,1215.001,inf
39,1245.011,inf,1245.011,inf
40,1274.999,inf,1274.999,inf
41,1304.999,inf,1304.999,inf
42,1335.014,inf,1335.014,inf
43,1365.013,inf,1365.013,inf
44,1395.0,inf,1395.0,inf
45,1425.003,inf,1425.003,inf
46,1455.003,inf,1455.003,inf
47,1485.001,inf,1485.001,inf
48,1515.0,inf,1515.0,inf
49,1545.013,inf,1545.013,inf
50,1575.003,inf,1575.003,inf
51,1605.0,inf,1605.0,inf
52,1635.005,inf,1635.005,inf
53,1665.004,inf,1665.004,inf
54,1695.001,inf,1695.001,inf
55,1725.014,inf,1725.014,inf
56,1755.001,inf,1755.001,inf
57,1785.001,inf,1812.013,5.966907e-06
58,1815.015,inf,1815.015,inf
59,1845.005,inf,1845.005,inf
60,1875.0020000000002,inf,1875.0020000000002,inf
61,1905.016,inf,1905.016,inf
62,1935.013,inf,1935.013,inf
63,1965.009,inf,1965.009,inf
64,1995.0020000000002,inf,1995.0020000000002,inf
65,2025.014,inf,2025.014,inf
66,2055.011,inf,2055.011,inf
67,2085.007,inf,2085.007,inf
68,2162.02,inf,2162.02,inf
69,2192.0029999999997,inf,2194.007,5.326263e-06
70,2222.018,inf,2222.018,inf
71,2252.004,inf,2252.004,inf
72,2282.007,inf,2282.007,inf
73,2312.004,inf,2312.004,inf
74,2342.007,inf,2342.007,inf
75,2372.005,inf,2372.005,inf
76,2402.005,inf,2402.005,inf
77,2432.013,inf,2432.013,inf
78,2462.005,inf,2462.005,inf
79,2492.02,inf,2492.02,inf
80,2522.006,inf,2546.0170000000003,6.471994e-06
81,2552.006,inf,2552.006,inf
82,2582.019,inf,2582.019,inf
83,2612.019,inf,2612.019,inf
84,2642.01,inf,2642.01,inf
85,2672.006,inf,2680.012,5.0948035e-06
86,2702.008,inf,2706.007,5.0141435e-06
87,2732.018,inf,2747.007,4.4844525e-06
88,2762.013,inf,2774.01,5.0652495e-06
89,2792.0209999999997,inf,2807.0209999999997,5.27654e-06
90,2822.0170000000003,inf,2822.0170000000003,inf
91,2852.007,inf,2852.007,inf
92,2882.007,inf,2903.013,4.7708765e-06
93,2912.022,inf,2932.009,4.6481435e-06
94,2942.01,inf,2969.009,4.409179e-06
95,2972.009,inf,2988.0159999999996,4.791125e-06
96,3002.0190000000002,inf,3028.018,4.4010675e-06
97,3032.009,inf,3047.009,5.0905145e-06
98,3062.009,inf,3081.01,4.12177e-06
99,3092.01,inf,3104.01,4.1507735e-06
100,3123.01,inf,3122.01,4.107083e-06
101,3152.011,inf,3301.0209999999997,4.4973985e-06
102,3313.015,inf,3313.015,inf
103,3343.011,inf,3366.0240000000003,5.1330314999999985e-06
104,3373.0209999999997,inf,3373.0209999999997,inf
105,3403.0170000000003,inf,3403.0170000000003,inf
106,3433.02,inf,3433.02,inf
107,3463.011,inf,3491.011,3.5554485e-06
108,3493.02,inf,3493.02,inf
109,3523.0229999999997,inf,3523.0229999999997,inf
110,3553.014,inf,3567.012,4.5303390000000005e-06
111,3583.013,inf,3589.015,5.018104e-06
112,3613.027,inf,3636.013,3.818686e-06
113,3643.012,inf,3643.012,inf
114,3673.012,inf,3673.012,inf
115,3703.015,inf,3726.014,4.0834325e-06
116,3733.013,inf,3733.013,inf
117,3763.014,inf,3781.014,3.828201e-06
118,3793.028,inf,3808.014,3.824268e-06
119,3823.025,inf,3823.025,inf
120,3853.014,inf,3853.014,inf
121,3883.027,inf,3907.025,3.858192e-06
122,3913.015,inf,3918.0229999999997,3.846819e-06
123,3943.015,inf,3960.018,3.8211585000000014e-06
124,3973.028,inf,3988.015,4.919443e-06
125,4003.02,inf,4003.02,inf
126,4033.0209999999997,inf,4033.0209999999997,inf
127,4063.02,inf,4063.02,inf
128,4093.018,inf,4102.018,4.3427265e-06
129,4123.015,inf,4141.015,4.1432985e-06
130,4153.015,inf,4162.015,5.1067685e-06
131,4183.015,inf,4569.428,3.9200535e-06
132,4581.427,inf,4609.427,3.9498425e-06
133,4612.428,inf,4629.43,3.920794e-06
134,4641.428,inf,4655.429,3.8245835e-06
135,4680.43,inf,4695.428,3.6302785e-06
136,4703.428,inf,4718.443,3.8421065e-06
137,4734.429,inf,4741.428,3.861916e-06
138,4761.431,inf,4789.43,3.799913e-06
139,4806.429,inf,4799.429,3.675495e-06
140,4821.434,inf,4824.441,3.852043e-06
141,4853.428,inf,4858.428,3.326657e-06
142,4888.444,inf,4898.429,3.833732e-06
143,4916.431,inf,4933.429,3.5262935e-06
144,4949.43,inf,4953.443,3.8390475e-06
145,4972.43,inf,4975.429,3.4252445e-06
146,5003.432,inf,5012.43,3.809669e-06
147,5034.429,inf,5033.431,3.846213e-06
148,5062.431,inf,5084.434,3.3697885e-06
149,5091.429,inf,5099.43,3.8168915e-06
150,5123.438,inf,5139.435,3.682731e-06
151,5151.439,inf,5172.438,3.805015e-06
152,5183.444,inf,5196.435,3.6226925e-06
153,5216.43,inf,5219.43,3.697851e-06
154,5244.431,inf,5241.433,3.772934e-06
155,5272.431,inf,5299.43,3.8375085e-06
156,5301.443,inf,5318.431,3.6761775e-06
157,5347.446,4.4254875e-06,5350.432,3.734352e-06
158,5376.431,inf,5363.441999999999,3.3353355e-06
159,5406.432,inf,5396.445,3.2605125e-06
160,5422.437,inf,5442.433000000001,3.713416e-06
161,5464.435,4.911611e-06,5463.433000000001,3.487753e-06
162,5492.434,inf,5498.433000000001,3.617705000000001e-06
163,5512.432,inf,5535.433000000001,3.8051205e-06
164,5545.432,inf,5544.434,3.4820795e-06
165,6645.441,inf,6644.453,2.741944e-06
166,6671.438,inf,6685.437,3.3929515e-06
167,6701.439,inf,6719.44,2.58759e-06
168,6737.451,inf,6748.438,3.066233e-06
169,6762.4490000000005,inf,6770.441999999999,3.2484195e-06
170,6794.438,inf,6808.438,3.370506e-06
171,6822.441999999999,inf,6831.438,3.092451e-06
172,6851.448,inf,6876.446,2.6336355e-06
173,6888.439,inf,6897.441999999999,1.7102365e-06
174,6919.441999999999,inf,6920.438,2.972598e-06
175,6942.441,inf,6954.441,2.9563355e-06
176,6977.451,inf,6998.439,2.592314e-06
177,7001.44,inf,7013.438,3.0860725e-06
178,7033.44,inf,7049.438,1.2946494999999998e-06
179,7061.438,inf,7088.445,2.9962825e-06
180,7092.439,inf,7105.441999999999,1.8353335e-06
181,7123.441999999999,inf,7137.456,2.503378e-06
182,7151.439,inf,7169.44,3.3022445e-06
183,7181.44,inf,7183.441,2.3926845e-06
184,7211.44,inf,7235.44,1.5507740000000004e-06
185,7243.44,inf,7268.44,1.10325e-06
186,7275.441,inf,7289.4490000000005,2.952405e-07
187,7301.441,inf,7306.441,1.7993400000000003e-06
188,7334.441,inf,7333.44,1.4909045e-06
189,7368.453,inf,7384.451999999999,3.5467e-07
190,7391.44,inf,7402.456,3.60416e-07
191,7426.441,inf,7436.454000000001,1.1139415e-06
192,7458.441,inf,7478.444,1.601945e-06
193,7482.45,inf,7495.456999999999,2.9793395e-06
194,7511.441,inf,7534.441,3.34268e-07
195,7542.441,inf,7563.441999999999,3.76485e-07
196,7580.441,inf,7571.441,2.5196190000000003e-06
197,7607.445,inf,7621.445,1.8003445e-06
198,7633.4490000000005,inf,7631.456,1.2320165e-06
199,7716.448,4.142813e-06,7730.45,1.7827340000000004e-06
200,7758.441999999999,4.1881880000000005e-06,7747.443,3.090175e-07
201,7777.443,4.6127915e-06,7770.441999999999,8.441464999999998e-07
202,7828.443,4.7757205e-06,7821.443,2.6984665e-06
203,7835.445,4.318104e-06,7850.455,1.616391e-06
204,7875.444,4.0705555e-06,7885.443,1.2915775e-06
205,7912.4490000000005,4.590767e-06,7908.448,3.502755e-07
206,7936.454000000001,3.7952505e-06,7926.444,1.683034e-06
207,7951.446,inf,7958.448,1.6726955e-06
208,8001.444,5.8419555e-06,7986.4490000000005,1.095104e-06
209,8020.45,8.9231445e-06,8024.451999999999,1.465318e-06
210,8056.448,3.9955685e-06,8044.448,1.132847e-06
211,8077.444,3.9781300000000005e-06,8091.445,1.5878985e-06
212,8109.446999999999,4.036118e-06,8120.45,1.843265e-06
213,8150.444,inf,8148.445,1.615832e-06
214,8177.451,4.4998605e-06,8161.456999999999,1.4469555e-06
215,8199.445,4.132279e-06,8207.458,2.667125e-07
216,8244.451,3.7700655e-06,8234.445,3.99081e-07
217,8257.445,3.826157e-06,8266.445,3.56603e-07
218,8298.455,3.856818e-06,8304.446,6.712210000000001e-07
219,8317.446,3.9224365e-06,8330.445,3.64626e-07
220,8346.447,4.634817e-06,8359.445,3.818735e-07
221,8383.446,3.858902e-06,8392.455,3.45042e-07
222,8413.446,3.9972065e-06,8420.451,1.1126785e-06
223,8440.447,4.4146749999999985e-06,8436.45,2.2898985e-06
224,8467.451,inf,8486.449,1.2938925e-06
225,8506.463,3.791514e-06,8507.446,4.22005e-07
226,8520.446,3.7493575e-06,8527.45,2.802605e-07
