,x_max,y_max,x_min,y_min
0,1.9909999999999999,123.878125,6.997000000000001,120.134375
1,51.001999999999995,122.971875,36.997,119.046875
2,86.993,123.015625,64.003,119.45
3,97.007,123.271875,119.006,118.428125
4,150.998,122.9875,145.991,119.05
5,167.003,121.925,173.99200000000002,119.025
6,183.99200000000002,121.55625,189.00599999999997,118.65625
7,221.00599999999997,121.14375,236.995,114.9625
8,268.993,inf,244.99599999999998,116.021875
9,273.995,inf,298.993,119.6875
10,305.993,121.3,307.997,117.9625
11,346.99300000000005,121.0125,352.994,118.871875
12,367.99300000000005,120.9875,371.999,117.25
13,414.995,120.803125,418.006,117.13125
14,441.994,120.871875,438.00199999999995,117.278125
15,471.994,120.83125,474.995,118.025
16,492.00199999999995,120.875,489.004,115.603125
17,535.994,123.5625,522.995,116.70625
18,571.002,120.41875,548.995,117.21875
19,582.0,120.575,592.999,116.84375
20,605.009,120.34375,628.995,114.596875
21,651.009,121.134375,639.001,115.784375
22,677.0,120.140625,663.998,117.00625
23,696.008,120.353125,717.0,115.175
24,742.9960000000001,122.121875,749.995,116.48125
25,781.9960000000001,120.3,774.005,116.075
26,811.998,120.75,802.0110000000001,116.50625
27,835.998,123.48125,825.995,115.759375
28,844.018,123.171875,870.9960000000001,116.26875
29,883.0089999999999,120.053125,879.997,116.571875
30,904.997,121.565625,920.998,116.346875
31,961.005,123.1125,943.012,116.234375
32,967.0039999999999,122.159375,984.008,116.621875
33,1022.005,119.96875,1017.997,115.084375
34,1115.008,121.18125,1119.997,116.3125
35,1127.999,119.1,1131.009,113.4
36,1176.008,119.14375,1159.009,113.778125
37,1192.0,119.459375,1192.998,112.571875
38,1238.998,119.09375,1215.998,114.853125
39,1252.998,118.825,1266.998,111.70625
40,1298.0,118.61875,1295.0,114.621875
41,1332.0020000000002,118.4875,1324.999,114.840625
42,1338.005,120.509375,1337.0020000000002,111.896875
43,1382.005,121.55,1368.0,114.05
44,1410.001,118.2875,1422.0,112.6125
45,1438.001,118.98125,1440.01,114.409375
46,1458.016,118.415625,1464.999,113.503125
47,1499.0,121.70625,1509.001,113.40625
48,1539.013,118.75,1517.009,113.54375
49,1561.0020000000002,121.746875,1551.0,113.296875
50,1599.0020000000002,119.203125,1589.001,113.246875
51,1614.0020000000002,120.5375,1612.0020000000002,113.015625
52,1654.014,118.1,1643.004,111.690625
53,1692.0020000000002,119.28125,1670.0020000000002,112.509375
54,1697.003,120.34375,1718.0079999999998,111.759375
55,1728.015,123.153125,1746.001,112.528125
56,1757.003,117.475,1755.001,112.50625
57,1789.006,118.53125,1812.013,107.7875
58,1833.0020000000002,123.303125,1842.003,112.490625
59,1847.013,117.6625,1871.017,112.665625
60,1899.0079999999998,117.0,1886.013,111.725
