,x_max,y_max,x_min,y_min
0,0.982,99.3125,20.97,83.671875
1,57.971000000000004,97.475,38.97,82.525
2,76.976,99.825,79.984,82.48125
3,107.97,99.046875,100.97,86.20625
4,125.971,99.915625,139.97,85.4875
5,164.97799999999998,99.871875,153.97,85.090625
6,189.972,99.396875,199.97799999999998,84.478125
7,219.97099999999998,97.88125,215.97099999999998,90.3875
8,254.986,99.878125,246.97099999999998,86.0375
9,272.983,99.084375,276.974,91.234375
10,327.983,100.065625,310.972,87.996875
11,337.972,99.009375,339.98400000000004,88.56875
12,377.97900000000004,98.70625,369.973,91.4875
13,390.981,99.325,410.976,87.409375
14,429.98800000000006,99.3625,444.985,91.365625
15,475.976,100.103125,459.978,90.24375
16,493.986,100.30625,491.973,89.6875
17,519.981,100.125,520.9780000000001,93.190625
18,563.9780000000001,100.31875,545.9780000000001,90.6875
19,593.9730000000001,101.3125,578.984,93.3625
20,617.989,101.3125,627.98,92.9875
21,642.9730000000001,101.484375,647.9730000000001,94.178125
22,667.9739999999999,101.290625,676.977,92.61875
23,698.9789999999999,100.275,692.9739999999999,93.771875
24,744.982,101.015625,739.9730000000001,92.86875
25,772.975,100.81875,756.9739999999999,93.46875
26,786.975,100.25,782.985,92.221875
27,816.9860000000001,100.603125,813.9760000000001,92.690625
28,866.9860000000001,100.50625,855.9739999999999,94.50625
29,894.975,100.35,895.975,93.5625
30,924.9839999999999,100.31875,918.987,89.815625
31,942.975,99.91875,934.9760000000001,91.1875
32,969.975,100.88125,971.9760000000001,94.5875
33,1009.975,100.259375,998.9760000000001,93.084375
34,1039.98,101.43125,1023.9860000000001,90.709375
35,1074.976,99.4,1061.991,91.025
36,1091.99,100.209375,1101.99,92.025
37,1132.9769999999999,99.365625,1109.979,90.390625
38,1165.976,99.8875,1166.976,93.103125
39,1176.976,100.98125,1180.976,78.275
40,1212.9769999999999,99.475,1208.984,90.75625
41,1243.99,100.65,1248.981,91.96875
42,1260.985,99.38125,1287.978,93.296875
43,1315.9779999999998,99.7,1295.99,89.646875
44,1327.9779999999998,99.75,1339.977,90.703125
45,1369.9779999999998,98.453125,1354.99,91.390625
46,1379.9820000000002,98.55,1405.9779999999998,93.68125
47,1415.9779999999998,98.678125,1418.9779999999998,91.434375
48,1447.979,98.415625,1451.98,90.6875
49,1489.979,100.284375,1483.99,93.878125
50,1516.979,99.215625,1504.979,91.0375
51,1554.98,98.9375,1533.979,86.875
52,1559.979,98.421875,1586.9779999999998,92.24375
53,1590.979,99.359375,1589.979,91.134375
54,1641.989,98.85625,1644.994,91.08125
55,1663.991,98.340625,1657.9920000000002,90.178125
56,1698.98,97.890625,1681.994,90.63125
57,1714.98,98.65625,1719.979,93.078125
58,1757.98,98.840625,1746.984,92.015625
59,1782.9879999999998,98.5625,1796.993,88.184375
60,1820.991,98.171875,1800.985,92.0875
61,1853.983,97.896875,1832.98,90.875
62,1866.981,98.671875,1863.991,89.353125
63,1909.981,100.13125,1891.983,92.10625
64,1923.981,98.715625,1938.995,89.309375
65,1969.994,98.084375,1958.9879999999998,90.684375
66,1986.9820000000002,98.2,2006.985,91.215625
67,2036.983,98.834375,2025.993,89.975
68,2064.985,98.421875,2057.982,92.171875
69,2069.988,97.109375,2073.982,89.675
70,2120.982,98.165625,2104.9829999999997,86.996875
71,2143.9829999999997,97.640625,2137.9829999999997,90.190625
72,2177.9829999999997,97.6625,2170.982,92.28125
73,2202.982,98.403125,2217.9829999999997,92.01875
74,2219.9829999999997,96.9625,2223.9970000000003,91.528125
75,2258.9829999999997,97.94375,2251.991,90.8625
76,2293.985,97.946875,2303.99,92.090625
77,2312.9970000000003,97.953125,2335.986,86.990625
78,2341.991,97.80625,2367.989,90.54375
79,2394.993,97.35,2372.99,89.34375
80,2402.985,98.903125,2421.984,92.678125
81,2429.987,97.09375,2441.984,90.08125
82,2462.985,97.078125,2464.994,89.484375
83,2506.996,98.0125,2509.99,90.65
84,2535.985,97.840625,2537.985,90.98125
85,2565.99,97.040625,2556.989,86.68125
86,2594.989,98.328125,2597.984,87.421875
87,2609.9970000000003,97.35,2621.985,86.71875
88,2640.986,96.80625,2660.992,88.415625
89,2671.985,96.79375,2675.987,78.74375
90,2725.99,96.884375,2709.988,87.678125
91,2746.986,101.409375,2731.99,89.965625
92,2769.986,97.175,2780.986,90.9625
93,2789.992,98.1,2816.0,85.475
94,2838.987,97.528125,2832.986,90.8375
95,2861.991,97.790625,2864.989,87.1
96,2891.987,96.065625,2894.989,87.759375
97,2917.987,97.646875,2911.0,88.553125
98,2963.988,97.425,2939.987,85.08125
99,2976.0,96.209375,2985.988,9.521875
100,3085.988,96.465625,3075.998,87.821875
101,3102.988,95.740625,3100.988,87.125
102,3151.0,96.346875,3154.9990000000003,82.246875
