,x_max,y_max,x_min,y_min
0,27.004,91.33125,1.999,76.321875
1,40.003,97.571875,33.007,84.35625
2,82.009,95.88125,73.00399999999999,85.965625
3,112.0,96.70625,96.00299999999999,79.19375
4,144.002,101.409375,127.006,89.659375
5,173.995,99.65,177.99599999999998,89.8375
6,200.00599999999997,100.3,196.00099999999998,87.440625
7,221.995,101.66875,226.01,86.24375
8,257.996,101.075,245.007,87.925
9,275.005,101.353125,290.008,92.8125
10,323.995,102.925,305.995,91.3125
11,332.99699999999996,102.0625,356.005,91.634375
12,374.009,102.80625,361.01,94.19375
13,397.01099999999997,102.646875,390.009,98.403125
14,430.996,103.50625,438.99800000000005,98.48125
15,451.999,104.271875,476.99699999999996,96.41875
16,480.99800000000005,103.203125,507.00199999999995,97.38125
17,514.997,103.178125,534.012,97.33125
18,540.0,102.896875,566.997,96.709375
19,594.009,103.846875,588.003,97.490625
20,606.999,103.234375,627.997,97.778125
21,629.997,103.134375,636.009,95.84375
22,681.0060000000001,102.521875,669.003,97.703125
23,699.9989999999999,102.78125,692.998,98.984375
24,732.0110000000001,103.28125,743.998,97.703125
25,765.998,102.8375,754.9989999999999,97.2875
26,801.0039999999999,102.978125,805.9989999999999,97.43125
27,822.998,103.434375,831.998,93.465625
28,855.007,102.309375,843.013,96.803125
29,898.01,102.303125,880.0169999999999,97.184375
30,902.01,102.428125,922.0110000000001,91.18125
31,949.0010000000001,101.99375,947.0010000000001,93.91875
32,977.0,102.13125,978.0039999999999,95.878125
33,993.0010000000001,101.665625,998.9989999999999,96.146875
34,1023.0039999999999,103.2625,1039.0,95.7125
35,1066.004,102.3875,1074.014,94.071875
36,1099.015,102.1625,1085.012,95.61875
37,1112.0,102.625,1127.002,92.59375
38,1167.0,101.196875,1141.0,90.4
39,1178.001,100.63125,1190.001,92.3625
40,1215.015,100.325,1225.012,94.11875
41,1249.002,101.109375,1250.002,94.4125
42,1286.011,99.5125,1262.001,6.03125
43,1308.002,99.35625,1316.013,91.6375
44,1331.003,100.271875,1341.0020000000002,6.1875
45,1365.0079999999998,99.2875,1354.015,90.959375
46,1404.0120000000002,100.059375,1385.011,89.66875
47,1423.0020000000002,99.346875,1414.0020000000002,6.009375
48,1446.014,99.7,1464.0020000000002,6.253125
49,1493.011,98.290625,1474.004,6.11875
50,1528.009,99.2,1526.017,6.05625
51,1555.003,100.01875,1548.003,6.20625
52,1562.006,101.496875,1561.015,6.296875
53,1595.004,100.746875,1602.004,6.09375
54,1628.004,99.04375,1622.011,92.396875
55,1673.004,98.31875,1651.013,6.15625
56,1682.006,98.859375,1686.0079999999998,75.153125
57,1717.009,97.909375,1738.016,6.034375
58,1760.005,98.840625,1759.005,5.990625
59,1779.004,98.096875,1774.005,6.071875
60,1807.005,98.75625,1806.0179999999998,6.0125
61,1850.0120000000002,99.0875,1854.006,6.065625
62,1888.004,98.7125,1883.017,6.06875
63,1909.0179999999998,99.515625,1908.016,5.95625
64,1929.0079999999998,97.68125,1936.0120000000002,5.91875
65,1952.005,99.60625,1953.006,6.028125
66,1999.005,98.815625,1986.005,6.13125
67,2036.006,99.115625,2023.007,6.046875
68,2063.008,97.684375,2061.011,6.046875
69,2095.008,99.00625,2094.007,6.0375
70,2117.018,97.021875,2104.009,6.065625
71,2132.006,98.796875,2152.016,6.0625
72,2162.019,97.925,2173.018,6.01875
73,2217.007,98.353125,2214.012,5.94375
74,2241.007,98.215625,2220.019,6.065625
75,2257.012,100.08125,2260.021,5.934375
76,2301.012,98.840625,2285.019,5.984375
77,2329.0170000000003,97.740625,2315.013,5.965625
78,2359.021,98.053125,2364.012,5.925
79,2370.009,98.896875,2381.009,6.025
80,2416.025,97.76875,2426.01,6.046875
81,2437.009,98.571875,2435.016,6.165625
82,2460.008,97.3,2487.009,5.85625
