,Elapsed_Time,Data
0,0.0,1.3904e-07
1,0.993,1.4655999999999998e-07
2,1.996,1.2912e-07
3,3.001,1.3024e-07
4,4.001,1.528e-07
5,4.991,8.4e-08
6,5.997,9.199999999999999e-08
7,6.993,1.1424000000000001e-07
8,8.002,1.5344e-07
9,8.995,1.6448e-07
10,9.992,1.4224e-07
11,10.992,1.4432e-07
12,11.999,5.7920000000000005e-08
13,13.001,8.800000000000001e-08
14,13.995,1.264e-07
15,15.004,1.5872e-07
16,15.991,1.3455999999999998e-07
17,17.002,1.1968e-07
18,18.005,1.0944e-07
19,18.999,1.3984000000000001e-07
20,20.003,4.56e-08
21,21.004,2.7519999999999998e-08
22,22.01,7.808e-08
23,23.009,2.416e-08
24,24.01,1.0368e-07
25,25.008,1.0368e-07
26,25.995,1.2304e-07
27,27.004,1.6112000000000003e-07
28,28.005,1.3648e-07
29,29.006,5.456000000000001e-08
30,29.995,1.3408e-07
31,31.005,1.4368e-07
32,32.001,1.3551999999999999e-07
33,33.005,1.2912e-07
34,33.992,6.864e-08
35,35.001,1.0192e-07
36,36.005,1.2255999999999998e-07
37,36.992,8.927999999999999e-08
38,37.995,7.904e-08
39,39.005,1.3344e-07
40,39.991,1.0112e-07
41,40.997,7.104e-08
42,42.001,1.304e-07
43,42.994,1.416e-07
44,43.999,1.1424000000000001e-07
45,44.993,9.199999999999999e-08
46,46.002,1.5568e-07
47,47.004,4.8e-08
48,48.0,4.6239999999999996e-08
49,49.021,3.552e-08
50,50.003,1.1279999999999999e-07
51,50.992,9.168e-08
52,52.008,4.2560000000000005e-08
53,53.005,1.1055999999999999e-07
54,54.004,1.488e-07
55,55.001,1.1872e-07
56,55.999,1.2672e-07
57,57.006,1.4144e-07
58,57.992,1.2784e-07
59,59.003,1.0527999999999999e-07
60,59.997,1.2768e-07
61,60.996,1.4704e-07
62,62.001,1.5072000000000002e-07
63,62.995,1.5087999999999999e-07
64,63.991,2.56e-08
65,64.995,1.2912e-07
66,66.004,1.3168e-07
67,66.998,9.808e-08
68,68.019,8.576000000000001e-08
69,68.995,3.792e-08
70,69.993,1.4384e-07
71,70.993,1.3088e-07
72,71.995,1.0448e-07
73,72.992,1.048e-07
74,73.998,1.3007999999999998e-07
75,75.006,1.2864000000000002e-07
76,75.994,5.056e-08
77,76.992,9.488e-08
78,78.005,4.672e-08
79,78.999,1.5312e-07
80,80.004,1.1952e-07
81,81.004,1.3392000000000002e-07
82,81.994,4.064e-08
83,82.992,1.5936e-07
84,83.993,1.6527999999999998e-07
85,84.992,1.5456e-07
86,86.006,3.76e-08
87,87.006,6.736e-08
88,88.008,1.424e-07
89,89.01,5.392e-08
90,89.997,1.2976e-07
91,91.004,1.5472000000000002e-07
92,91.991,1.1968e-07
93,92.992,5.6e-08
94,94.006,3.936e-08
95,95.004,1.2032e-07
96,96.001,1.32e-07
97,97.006,1.272e-07
98,98.001,1.1215999999999999e-07
99,98.992,9.84e-08
100,100.008,3.824e-08
101,101.004,1.5408e-07
102,102.012,1.3664e-07
103,103.004,5.184e-08
104,104.002,1.1824000000000002e-07
105,105.006,6.08e-08
106,105.992,9.6e-08
107,107.006,1.2192e-07
108,108.004,1.5104e-07
109,109.004,4.8e-08
110,109.992,1.1184000000000001e-07
111,110.993,8.144000000000001e-08
112,112.001,1.0288e-07
113,113.005,1.4624000000000002e-07
114,114.002,1.4095999999999999e-07
115,114.995,1.3856e-07
116,116.006,1.456e-07
117,117.004,1.5312e-07
118,118.009,1.0112e-07
119,119.006,1.0527999999999999e-07
120,120.005,1.1504000000000002e-07
121,121.006,4.16e-08
122,122.004,1.0224000000000001e-07
123,123.004,1.264e-07
124,123.996,1.5535999999999998e-07
125,125.004,1.2192e-07
126,126.004,1.4784e-07
127,127.005,3.3280000000000004e-08
128,128.0,9.216000000000001e-08
129,129.003,1.0592000000000001e-07
130,130.008,1.2255999999999998e-07
131,130.995,1.4848e-07
132,132.01,1.1776e-07
133,133.006,1.4304000000000002e-07
134,133.993,1.7088e-07
135,134.997,1.1055999999999999e-07
136,136.0,1.6304e-07
137,137.002,1.0768e-07
138,138.004,1.0864000000000001e-07
139,138.992,1.4975999999999999e-07
