,Elapsed_Time,Data
0,0.0,3.008e-08
1,0.994,2.9760000000000003e-08
2,1.999,2.64e-08
3,3.006,3.2960000000000005e-08
4,4.004,3.008e-08
5,4.996,3.072e-08
6,6.006,3.3599999999999996e-08
7,7.007,3.184e-08
8,8.005,3.312e-08
9,9.01,3.104e-08
10,10.009,3.3599999999999996e-08
11,11.007,3.3280000000000004e-08
12,12.008,3.232e-08
13,13.008,3.44e-08
14,14.011,2.864e-08
15,15.0,3.4560000000000006e-08
16,16.005,3.392e-08
17,17.001,3.1519999999999994e-08
18,17.994,3.392e-08
19,19.009,3.344e-08
20,19.997,3.264e-08
21,21.007,3.7439999999999996e-08
22,22.006,3.2799999999999996e-08
23,23.005,3.776e-08
24,23.994,3.44e-08
25,25.0,3.3760000000000006e-08
26,25.993,3.616e-08
27,27.004,3.856e-08
28,27.994,3.792e-08
29,28.994,3.312e-08
30,29.993,3.2e-08
31,30.996,3.68e-08
32,32.006,3.408e-08
33,33.007,3.2960000000000005e-08
34,33.993,3.44e-08
35,34.994,3.616e-08
36,35.994,3.92e-08
37,37.006,3.2960000000000005e-08
38,38.007,3.568e-08
39,38.994,3.7439999999999996e-08
40,40.003,4.72e-08
41,41.006,4e-08
42,41.994,3.7439999999999996e-08
43,42.995,3.536e-08
44,44.004,3.856e-08
45,44.999,3.952e-08
46,46.0,4.08e-08
47,46.994,3.824e-08
48,48.01,4e-08
49,49.005,3.5839999999999995e-08
50,49.994,4e-08
51,51.012,4.4319999999999996e-08
52,52.007,3.5839999999999995e-08
53,52.994,3.808e-08
54,54.011,3.888e-08
55,54.994,3.6e-08
56,56.006,4.016e-08
57,56.994,4.064e-08
58,57.994,3.872e-08
59,58.994,4.08e-08
60,59.999,4.032e-08
61,61.005,4.3680000000000005e-08
62,62.004,3.76e-08
63,63.001,4.144e-08
64,64.003,4.192e-08
65,64.995,4.3839999999999994e-08
66,65.998,4.0960000000000004e-08
67,66.994,3.7439999999999996e-08
68,67.999,4.112e-08
69,69.004,3.888e-08
70,70.007,4.0960000000000004e-08
71,70.994,3.5839999999999995e-08
72,72.005,4.144e-08
73,73.004,3.552e-08
74,73.994,4.3839999999999994e-08
75,75.006,3.968e-08
76,76.001,4.4000000000000004e-08
77,77.005,4.3360000000000006e-08
78,77.994,4.3680000000000005e-08
79,79.007,4.4480000000000005e-08
80,79.996,4.112e-08
81,81.007,4.352e-08
82,82.009,4.4000000000000004e-08
83,82.994,4.3360000000000006e-08
84,84.006,4.832e-08
85,85.004,3.968e-08
86,85.994,4.192e-08
87,86.999,3.76e-08
88,88.003,4.1760000000000005e-08
89,89.004,4.3360000000000006e-08
90,90.007,4.048e-08
91,91.004,4.016e-08
92,91.994,4.224e-08
93,93.006,3.76e-08
94,94.008,4.4000000000000004e-08
95,94.996,4.064e-08
96,96.003,2.8160000000000002e-08
97,96.995,3.648e-08
98,98.002,4.032e-08
99,99.001,4e-08
100,100.006,4.144e-08
101,101.003,3.888e-08
102,101.994,3.728e-08
103,102.994,4.224e-08
104,103.994,4.2080000000000004e-08
105,104.996,4.1760000000000005e-08
106,106.007,4.048e-08
107,106.995,3.888e-08
108,107.994,3.904e-08
109,108.995,4.5439999999999995e-08
110,110.008,4.192e-08
111,111.001,4.72e-08
112,112.0,4.656000000000001e-08
113,113.008,4.8159999999999996e-08
114,113.994,4.2560000000000005e-08
115,114.995,4.224e-08
116,115.994,4.784e-08
117,116.995,4.272e-08
118,117.995,3.984e-08
119,118.995,4.3839999999999994e-08
120,120.008,4.2880000000000004e-08
121,121.005,3.808e-08
122,122.0,5.04e-08
123,123.008,4.96e-08
124,124.001,4.1760000000000005e-08
125,124.994,4.2880000000000004e-08
126,126.003,4.496000000000001e-08
127,127.006,3.728e-08
128,128.006,4.272e-08
129,128.995,4.944e-08
130,130.008,4.3839999999999994e-08
131,131.008,4.72e-08
132,132.008,4.6080000000000006e-08
133,132.994,4.6239999999999996e-08
134,134.009,4.864e-08
135,134.995,5.232e-08
136,136.003,4.928e-08
137,137.008,4.72e-08
138,138.0,5.2e-08
139,138.995,4.7039999999999996e-08
140,140.0,5.472e-08
141,141.005,4.976e-08
142,142.005,4.784e-08
143,142.994,4.4800000000000004e-08
144,144.002,5.6e-08
145,144.998,5.04e-08
146,146.007,4.3839999999999994e-08
147,146.998,5.312e-08
148,148.003,4.7039999999999996e-08
149,149.007,4.64e-08
150,150.001,5.2e-08
151,150.995,4.96e-08
152,152.004,5.136e-08
153,152.997,4.688e-08
154,154.009,4.944e-08
155,154.999,4.016e-08
156,156.003,4.8959999999999996e-08
157,157.003,4.3839999999999994e-08
158,158.002,3.904e-08
159,159.009,5.04e-08
160,160.0,5.12e-08
161,161.007,5.392e-08
162,161.996,4.688e-08
163,163.003,4.2880000000000004e-08
164,164.006,5.2160000000000005e-08
165,164.994,5.2639999999999994e-08
166,166.01,4.24e-08
167,166.999,4.272e-08
168,168.002,4.848e-08
169,169.003,4.688e-08
170,170.009,4.2560000000000005e-08
171,170.995,4.3839999999999994e-08
172,171.995,4.6239999999999996e-08
