,Elapsed_Time,Data
0,0.0,19650.8125
1,0.993,19736.75
2,1.996,19608.875
3,3.001,19481.0
4,4.001,19870.8125
5,4.991,18786.625
6,5.997,19259.625
7,6.993,19462.4375
8,8.002,19797.9375
9,8.995,19764.9375
10,9.992,19738.125
11,10.992,19846.0625
12,11.999,17303.0
13,13.001,18946.125
14,13.995,19524.3125
15,15.004,19745.0
16,15.991,19452.8125
17,17.002,19485.8125
18,18.005,19621.25
19,18.999,19608.875
20,20.003,15406.875
21,21.004,11752.125
22,22.01,18609.9375
23,23.009,10579.25
24,24.01,19639.125
25,25.008,19745.0
26,25.995,19474.8125
27,27.004,19762.1875
28,28.005,19558.6875
29,29.006,16888.4375
30,29.995,19485.125
31,31.005,19756.0
32,32.001,19694.8125
33,33.005,19544.9375
34,33.992,18062.6875
35,35.001,19741.5625
36,36.005,19386.125
37,36.992,19041.6875
38,37.995,18666.3125
39,39.005,19429.4375
40,39.991,19701.0
41,40.997,18113.5625
42,42.001,19475.5
43,42.994,19762.875
44,43.999,19484.4375
45,44.993,19217.6875
46,46.002,19792.4375
47,47.004,15909.4375
48,48.0,15584.9375
49,49.021,13468.125
50,50.003,19483.0625
51,50.992,19174.375
52,52.008,14911.1875
53,53.005,19522.9375
54,54.004,19781.4375
55,55.001,19443.1875
56,55.999,19501.625
57,57.006,19637.0625
58,57.992,19487.875
59,59.003,19700.3125
60,59.997,19632.25
61,60.996,19850.1875
62,62.001,19877.6875
63,62.995,19883.875
64,63.991,11054.3125
65,64.995,19509.1875
66,66.004,19534.625
67,66.998,19625.375
68,68.019,18928.25
69,68.995,14085.5
70,69.993,19863.9375
71,70.993,19564.875
72,71.995,19773.1875
73,72.992,19702.375
74,73.998,19569.6875
75,75.006,19575.875
76,75.994,16460.125
77,76.992,19456.9375
78,78.005,15668.8125
79,78.999,19955.375
80,80.004,19511.9375
81,81.004,19568.3125
82,81.994,14587.375
83,82.992,19745.0
84,83.993,19819.9375
85,84.992,19963.625
86,86.006,13678.5
87,87.006,17992.5625
88,88.008,19837.8125
89,89.01,16832.0625
90,89.997,19582.75
91,91.004,19926.5
92,91.991,19551.125
93,92.992,17208.125
94,94.006,14328.875
95,95.004,19585.5
96,96.001,19577.9375
97,97.006,19675.5625
98,98.001,19613.6875
99,98.992,19594.4375
100,100.008,14087.5625
101,101.004,19885.25
102,102.012,19703.75
103,103.004,16555.0
104,104.002,19463.125
105,105.006,17640.5625
106,105.992,19524.3125
107,107.006,19526.375
108,108.004,19925.125
109,109.004,15936.25
110,109.992,19569.6875
111,110.993,18714.4375
112,112.001,19794.5
113,113.005,19843.3125
114,114.002,19777.3125
115,114.995,19635.0
116,116.006,19925.8125
117,117.004,19891.4375
118,118.009,19777.3125
119,119.006,19741.5625
120,120.005,19497.5
121,121.006,14788.125
122,122.004,19740.875
123,123.004,18955.75
124,123.996,19795.1875
125,125.004,19487.1875
126,126.004,19873.5625
127,127.005,13220.625
128,128.0,19272.6875
129,129.003,19727.8125
130,130.008,19502.3125
131,130.995,19977.375
132,132.01,19547.6875
133,133.006,19802.0625
134,133.993,19848.125
135,134.997,19588.9375
136,136.0,19819.25
137,137.002,19674.1875
138,138.004,19698.25
139,138.992,19960.875
140,140.004,19432.1875
141,140.992,19416.375
142,141.994,19531.875
143,143.002,19822.0
144,144.002,19689.3125
145,145.006,19772.5
146,145.992,18459.375
147,147.004,19518.125
148,147.992,19555.25
149,149.003,19500.25
150,150.002,19782.125
151,151.006,17993.25
152,152.003,19588.9375
153,153.006,19901.75
154,154.005,12829.4375
155,155.004,14953.8125
156,155.997,19732.625
157,157.006,17985.6875
158,158.004,19593.75
159,159.003,19732.625
160,160.004,13644.8125
161,160.997,19463.8125
162,162.002,19630.875
163,162.996,19174.375
164,163.995,19954.0
165,165.011,19569.6875
166,165.998,17339.4375
167,167.006,19723.6875
168,168.006,19804.125
169,169.008,19915.5
170,169.996,19122.125
171,171.006,19091.1875
172,171.992,19553.875
173,173.007,19940.25
174,174.004,19833.6875
175,174.993,19549.75
176,176.002,19216.3125
177,177.006,19538.0625
178,177.997,19555.25
179,178.993,19645.3125
180,180.003,19865.3125
181,180.992,19601.3125
182,181.992,19843.3125
183,182.998,19865.3125
184,184.006,19477.5625
185,185.004,18355.5625
186,185.997,19481.0
187,186.994,19726.4375
188,188.009,19697.5625
189,189.006,19536.0
190,190.004,19541.5
191,190.995,20000.0625
192,191.999,19556.625
193,193.005,19177.8125
194,193.996,19341.4375
195,195.004,19608.1875
196,196.001,19547.6875
197,196.995,19143.4375
198,197.997,16908.375
199,198.997,19497.5
200,199.993,19793.125
201,200.997,19576.5625
202,202.008,19965.6875
203,202.995,19487.1875
204,204.001,19901.0625
205,205.005,19877.0
206,205.999,19569.0
207,207.006,19934.0625
208,208.008,19106.3125
209,209.002,18946.8125
210,210.002,19569.6875
211,210.993,19808.25
212,211.992,19652.1875
213,212.997,15173.8125
214,214.0,19714.0625
215,215.006,19579.3125
216,216.004,19580.0
217,217.006,19956.75
218,217.996,19668.6875
219,219.007,19696.1875
220,220.002,17945.125
221,221.003,19727.8125
222,222.006,19598.5625
223,223.007,19549.75
224,224.001,19800.6875
225,225.003,19741.5625
226,225.997,19694.8125
227,226.999,19760.8125
228,227.996,19690.6875
229,229.002,19031.375
230,230.004,19965.6875
231,230.996,13462.625
232,231.996,19824.0625
233,233.004,19570.375
234,234.016,17172.375
235,235.004,19943.6875
236,236.004,19744.3125
237,236.998,19810.3125
238,238.005,19652.1875
239,239.004,19647.375
240,240.004,19693.4375
241,241.004,19667.3125
242,242.004,19624.0
243,243.003,19778.6875
244,244.006,19821.3125
245,244.994,19725.0625
246,246.013,19846.75
247,247.01,14411.375
248,248.004,19745.0
249,248.993,19720.9375
250,249.997,19738.125
251,250.997,19568.3125
252,252.006,19613.0
253,253.007,19559.375
254,254.004,19551.8125
255,255.007,16634.0625
256,256.004,19784.875
257,257.006,18856.0625
258,258.006,20015.1875
259,259.005,19921.6875
260,259.997,19606.8125
261,260.994,19727.8125
262,261.992,19611.625
263,262.996,19674.875
264,264.008,19661.125
265,264.995,19696.875
266,266.007,19903.125
267,267.004,19981.5
268,268.007,18136.9375
269,268.993,19958.125
270,269.994,19573.125
271,270.994,19806.1875
272,272.004,18756.375
273,272.993,19687.9375
274,274.002,19915.5
275,275.007,19782.125
276,276.015,18680.75
277,276.993,19973.25
278,278.007,19767.6875
279,279.006,20047.5
280,279.995,19433.5625
281,281.001,19652.875
282,281.998,13394.5625
283,283.006,19835.0625
284,283.997,19793.125
285,285.006,14221.625
286,285.993,19713.375
287,287.002,19683.8125
288,288.0,18999.75
289,289.001,19685.875
290,290.009,19725.75
291,291.002,19698.9375
292,292.003,19844.6875
293,292.994,11410.4375
294,294.004,20046.125
295,295.007,19627.4375
296,296.012,18491.0
297,296.994,19562.125
298,297.993,19626.75
299,298.993,19822.0
300,299.997,19984.9375
301,300.996,14781.25
302,302.004,19013.5
303,302.997,19714.75
304,304.01,19691.375
305,305.005,19682.4375
306,305.993,19685.1875
307,307.003,19608.1875
308,308.0,19803.4375
309,308.996,19622.625
310,310.005,19959.5
311,311.002,19858.4375
312,312.01,19390.9375
313,313.003,19681.0625
314,314.013,12753.8125
315,315.007,19729.875
316,316.007,19723.6875
317,317.004,19658.375
318,317.994,19025.875
319,318.998,19222.5
320,319.998,19802.75
321,320.995,19829.5625
322,322.003,17795.9375
323,323.006,14282.125
324,324.007,19676.9375
325,324.994,19716.8125
326,326.007,19762.875
327,326.995,19705.125
328,328.0,19901.75
329,329.007,19602.0
330,330.005,19883.1875
331,330.999,19712.0
