,Elapsed_Time,Data
0,0.0,20292.25
1,0.996,20582.375
2,1.991,20476.5
3,2.995,20545.25
4,3.991,20593.375
5,4.992,20365.8125
6,5.994,20413.25
7,6.997,20581.6875
8,7.991,20525.3125
9,8.991,20565.875
10,10.003,20563.125
11,10.992,20576.1875
12,11.993,20500.5625
13,12.992,20232.4375
14,13.991,20180.1875
15,14.991,20534.9375
16,15.992,20601.625
17,16.991,20473.0625
18,17.992,20590.625
19,19.006,20544.5625
20,19.992,20521.1875
21,21.992,20351.375
22,23.999,20531.5
23,25.007,20168.5
24,25.992,20570.0
25,27.993,20581.0
26,28.993,20512.9375
27,29.991,20609.1875
28,30.996,20243.4375
29,31.993,20551.4375
30,32.999,20495.0625
31,34.003,20653.875
32,34.992,20512.25
33,36.007,20493.0
34,36.997,20444.1875
35,37.992,20668.3125
36,39.992,20600.25
37,40.993,20558.3125
38,41.991,20512.25
39,42.994,20592.6875
40,43.993,20595.4375
41,44.991,20556.9375
42,45.991,20650.4375
43,47.002,20600.25
44,47.995,20589.9375
45,49.002,20539.0625
46,50.003,20566.5625
47,51.002,20699.25
48,51.992,20271.625
49,52.997,20612.625
50,53.991,20581.0
51,54.991,20581.0
52,55.991,20418.75
53,57.002,20420.125
54,57.991,20561.75
55,58.999,20552.125
56,59.992,20422.1875
57,61.007,20421.5
58,61.991,20455.875
59,63.005,20218.0
60,64.003,20526.6875
61,65.006,20594.75
62,66.004,20576.875
63,66.998,20552.125
64,67.991,20442.8125
65,68.991,20541.125
66,69.991,20581.0
67,70.997,20493.6875
68,71.991,20659.375
69,72.991,20572.0625
70,73.991,20297.75
71,74.992,20637.375
72,75.993,20577.5625
73,77.008,20563.8125
74,77.996,20594.0625
75,78.992,20570.6875
76,79.998,20618.125
77,80.996,20501.9375
78,81.991,20578.9375
79,83.0,20374.75
80,83.996,20580.3125
81,85.005,20537.6875
82,86.002,20350.0
83,86.993,20508.8125
84,87.992,20577.5625
85,89.008,20633.25
86,90.001,20557.625
87,91.009,20653.1875
88,91.992,20647.6875
89,93.002,20587.1875
90,93.992,20526.6875
91,94.992,20546.625
92,95.994,20569.3125
93,97.007,20572.75
94,97.996,20684.125
95,98.998,20594.0625
96,99.994,20563.125
97,101.003,20481.3125
98,102.002,20609.875
99,103.01,20611.9375
100,104.005,20662.8125
101,105.005,20517.0625
102,105.998,20345.875
103,106.997,20372.0
104,107.991,20349.3125
105,109.002,20655.9375
106,109.993,20466.1875
107,111.005,20523.9375
108,111.996,20584.4375
109,112.997,20577.5625
110,113.991,20550.75
111,114.994,20506.0625
112,115.993,20478.5625
113,117.005,20535.625
114,117.991,20530.8125
115,119.006,20332.125
116,119.992,20475.125
117,120.992,20467.5625
118,122.006,20403.625
119,122.992,20350.0
120,123.995,20424.9375
121,124.996,20400.1875
122,125.994,20429.0625
123,127.006,20653.875
124,128.005,20398.125
125,129.006,20330.75
126,129.994,20569.3125
127,131.007,20655.25
128,131.991,20558.3125
129,132.995,20455.1875
130,133.993,20438.6875
131,134.998,20562.4375
132,136.0,20435.9375
133,136.997,20343.8125
134,137.992,20306.0
135,138.994,20531.5
136,140.005,20409.8125
137,141.007,20615.375
138,142.007,20301.1875
139,143.005,20374.0625
140,143.997,20455.875
141,144.993,20465.5
142,145.991,20653.875
143,146.992,20294.3125
144,147.993,20517.0625
145,149.0,20534.25
146,149.992,20474.4375
147,150.998,20534.9375
148,151.995,20418.0625
149,152.993,20321.125
150,154.002,20374.0625
151,154.997,20399.5
152,155.994,20473.0625
153,157.002,20358.9375
154,158.0,20371.3125
155,158.994,20561.0625
156,159.995,20530.8125
157,160.996,20499.875
158,161.992,20451.0625
159,163.004,20475.125
160,164.007,20354.8125
161,164.997,20347.9375
162,165.997,20420.8125
163,167.003,20555.5625
164,167.998,20367.1875
165,168.998,20332.125
166,170.005,20512.25
167,170.997,20597.5
168,171.992,20345.875
169,173.002,20608.5
170,173.992,20464.8125
171,175.001,20500.5625
172,176.004,20467.5625
173,177.0,20345.1875
174,177.992,20291.5625
175,179.006,20343.125
176,180.004,20354.125
177,180.992,20425.625
178,182.001,20621.5625
179,183.009,20418.75
180,183.992,20571.375
181,184.993,20369.9375
182,185.991,20545.25
183,186.995,20556.9375
184,187.992,20436.625
185,189.006,20428.375
186,189.993,20354.125
187,190.994,20349.3125
188,191.992,20543.875
189,192.998,20578.9375
190,193.992,20543.1875
191,194.994,20468.25
192,195.994,20274.375
193,197.007,20388.5
194,197.992,20625.0
195,198.992,20441.4375
196,199.992,20433.875
197,200.997,20306.6875
198,201.992,20410.5
199,203.006,20310.8125
200,204.001,20534.25
201,205.006,20349.3125
202,205.996,20567.9375
203,206.999,20419.4375
204,207.998,20545.25
205,209.005,20517.75
206,210.003,20406.375
207,210.993,20301.875
208,211.992,20314.9375
209,212.994,20439.375
210,213.997,20327.3125
211,215.0,20370.625
212,215.992,20371.3125
213,216.997,20318.375
214,217.997,20420.8125
215,219.004,20494.375
216,220.007,20342.4375
217,221.006,20551.4375
218,222.005,20412.5625
219,222.994,20275.0625
220,223.992,20355.5
221,224.993,20352.75
222,225.993,20464.8125
223,227.009,20407.75
224,228.004,20372.6875
225,228.996,20466.875
226,229.996,20521.875
227,230.992,20366.5
228,231.993,20318.375
229,233.002,20281.9375
230,233.992,20369.25
231,235.006,20394.6875
232,235.992,20388.5
233,236.995,20273.0
234,237.992,20404.3125
235,238.994,20356.875
236,239.992,20594.75
237,240.998,20325.25
238,241.993,20275.75
239,243.007,20455.875
240,243.997,20413.25
241,244.996,20374.75
242,245.994,20329.375
243,247.0,20330.75
244,248.003,20334.875
245,249.009,20673.125
246,249.998,20370.625
247,250.993,20432.5
248,251.995,20288.125
249,253.008,20407.0625
250,254.007,20317.6875
251,254.997,20374.0625
252,255.993,20332.8125
253,257.007,20636.6875
254,258.004,20241.375
255,258.993,20539.0625
256,260.004,20336.9375
257,260.994,20326.625
258,261.993,20339.0
259,262.996,20355.5
260,263.996,20411.875
261,264.993,20306.6875
262,265.998,20443.5
263,266.996,20489.5625
264,267.993,20456.5625
265,268.993,20426.3125
266,270.001,20345.1875
267,270.992,20523.9375
268,271.997,20445.5625
269,272.994,20511.5625
270,273.995,20548.6875
271,275.005,20347.25
272,275.993,20470.3125
273,276.993,20529.4375
274,278.002,20521.1875
275,278.993,20427.0
276,279.993,20196.6875
277,281.002,20576.1875
278,282.007,20506.75
279,283.0,20424.25
280,283.995,20378.875
281,284.996,20474.4375
282,285.993,20409.125
283,286.995,20473.0625
284,287.992,20492.3125
285,288.992,20421.5
