,Elapsed_Time,Data
0,0.0,20137.5625
1,0.982,19538.75
2,1.982,16841.0
3,2.983,16600.375
4,3.983,18892.5
5,4.974,15956.1875
6,5.971,18442.1875
7,6.969,16638.1875
8,7.971,20138.9375
9,8.974,18838.1875
10,9.975,17720.3125
11,10.981,19327.0
12,11.982,17149.0
13,12.982,18395.4375
14,13.974,19913.4375
15,14.982,19569.0
16,15.985,18678.6875
17,16.97,19550.4375
18,17.97,16466.3125
19,18.97,17016.3125
20,19.969,20026.1875
21,20.97,15477.6875
22,21.978,19931.3125
23,22.98,19662.5
24,23.976,17248.0
25,24.97,18597.5625
26,25.984,17401.3125
27,26.97,19817.875
28,27.97,18581.75
29,28.97,17212.9375
30,29.97,17354.5625
31,30.983,17745.0625
32,31.98,18711.0
33,32.969,16005.0
34,33.982,17659.8125
35,34.969,18563.1875
36,35.969,17606.1875
37,36.97,18101.1875
38,37.982,19688.625
39,38.97,15510.6875
40,39.97,18437.375
41,40.97,18821.6875
42,41.969,20037.875
43,42.981,18364.5
44,43.983,19844.0
45,44.975,15514.8125
46,45.969,17272.0625
47,46.982,17860.5625
48,47.974,17584.875
49,48.979,18684.1875
50,49.983,17916.9375
51,50.97,17302.3125
52,51.984,19955.375
53,52.97,18330.125
54,53.971,17110.5
55,54.982,18265.5
56,55.974,20027.5625
57,56.97,18335.625
58,57.971,19427.375
59,58.974,17751.9375
60,59.982,20061.25
61,60.985,18649.125
62,61.982,17969.875
63,62.972,18873.9375
64,63.982,17788.375
65,64.982,19536.6875
66,65.971,19631.5625
67,66.978,20038.5625
68,67.969,19991.125
69,68.972,16044.1875
70,69.978,18628.5
71,70.976,18101.875
72,71.97,19581.375
73,72.97,19335.9375
74,73.982,16596.25
75,74.971,17750.5625
76,75.969,18725.4375
77,76.976,20109.375
78,77.974,18824.4375
79,78.978,20031.6875
80,79.984,15671.5625
81,80.972,18587.25
82,81.975,18455.25
83,82.98,18809.3125
84,83.975,19008.0
85,84.97,20180.1875
86,85.975,17806.25
87,86.973,16690.4375
88,87.978,18485.5
89,88.983,18653.25
90,89.973,18992.875
91,90.983,20042.6875
92,91.974,18259.3125
93,92.97,19056.8125
94,93.983,20086.6875
95,94.971,18260.6875
96,95.972,19357.25
97,96.97,20093.5625
98,97.97,18422.25
99,98.97,18811.375
100,99.97,17503.0625
101,100.97,16337.75
102,101.972,19934.0625
103,102.978,18358.3125
104,103.972,18147.25
105,104.971,18801.0625
106,105.983,19060.9375
107,106.973,18258.625
108,107.97,20138.25
109,108.97,18348.0
110,109.97,18367.9375
111,110.979,16900.8125
112,111.976,19703.75
113,112.984,19746.375
114,113.984,17724.4375
115,114.97,18724.0625
116,115.971,17540.1875
117,116.971,18540.5
118,117.97,18957.8125
119,118.982,17443.25
120,119.979,17223.9375
121,120.974,20143.0625
122,121.971,19452.125
123,122.978,19331.125
124,123.981,17300.25
125,124.983,18223.5625
126,125.971,19736.0625
127,126.971,18909.6875
128,127.97,19414.3125
129,128.971,19472.0625
130,129.971,19324.9375
131,130.979,19368.9375
132,131.984,19619.1875
133,132.982,17604.8125
134,133.971,16937.9375
135,134.975,18897.3125
136,135.978,17324.3125
137,136.975,17554.625
138,137.971,19582.75
139,138.97,18642.9375
140,139.97,16369.375
141,140.983,18526.75
142,141.98,17059.625
143,142.97,19791.75
144,143.97,19866.6875
145,144.977,20224.1875
146,145.97,18315.6875
147,146.981,19650.125
148,147.981,19525.0
149,148.971,20193.25
150,149.973,18375.5
151,150.971,19216.3125
152,151.971,18212.5625
153,152.971,18792.125
154,153.97,16055.875
155,154.982,18462.8125
156,155.984,18366.5625
157,156.97,18405.75
158,157.982,19962.9375
159,158.971,19805.5
160,159.972,18959.875
161,160.971,17846.8125
162,161.971,17730.625
163,162.975,17490.6875
164,163.974,19619.1875
165,164.978,19752.5625
166,165.972,19000.4375
167,166.972,18447.6875
168,167.976,18272.375
169,168.975,19366.1875
170,169.971,17771.875
171,170.971,18840.25
172,171.972,18539.125
173,172.975,18914.5
174,173.972,18747.4375
175,174.984,19622.625
176,175.971,18778.375
177,176.971,19485.125
178,177.972,19010.75
