,Elapsed_Time,Data
0,0.0,17186.125
1,0.973,15166.25
2,1.977,15171.0625
3,2.986,15441.9375
4,3.985,16988.8125
5,4.973,11056.375
6,5.973,16924.875
7,6.972,17155.875
8,7.972,16621.6875
9,8.975,16443.625
10,9.973,16327.4375
11,10.973,16394.8125
12,11.973,16844.4375
13,12.973,15681.1875
14,13.973,15489.375
15,14.972,15822.125
16,15.973,16559.125
17,16.972,17097.4375
18,17.973,17548.4375
19,18.973,17560.8125
20,19.973,16259.375
21,20.974,18069.5625
22,21.973,16735.8125
23,22.972,15450.1875
24,23.972,17668.0625
25,24.973,16597.625
26,25.973,6778.75
27,26.972,18100.5
28,27.972,16394.125
29,28.972,17332.5625
30,29.972,16087.5
31,30.973,17449.4375
32,31.972,16418.1875
33,32.972,16603.125
34,33.972,18160.3125
35,34.973,17044.5
36,35.973,17076.8125
37,36.973,16482.8125
38,37.973,16313.6875
39,38.973,16230.5
40,39.973,18132.125
41,40.982,18152.75
42,41.973,16962.6875
43,42.973,17200.5625
44,43.973,18671.125
45,44.974,19239.0
46,45.973,17803.5
47,46.973,17443.9375
48,47.973,17160.0
49,48.973,16131.5
50,49.973,18850.5625
51,50.973,18625.0625
52,51.973,18003.5625
53,52.973,18532.9375
54,53.972,17856.4375
55,54.973,17506.5
56,55.972,19956.75
57,56.973,18663.5625
58,57.972,17083.0
59,58.986,19796.5625
60,59.984,18513.6875
61,60.972,17544.3125
62,61.977,9570.0
63,62.973,18992.875
64,63.986,18524.6875
65,64.983,8818.5625
66,65.984,17120.125
67,66.978,19184.0
68,67.989,18826.5
69,68.972,18553.5625
70,69.986,18632.625
71,70.982,19221.8125
72,71.973,18981.875
73,72.984,18935.125
74,73.972,19125.5625
75,74.973,18037.25
76,75.984,18008.375
77,76.981,17718.9375
78,77.985,18804.5
79,78.973,18579.0
80,79.973,17787.6875
81,80.986,18487.5625
82,81.986,18457.3125
83,82.975,18796.9375
84,83.977,18734.375
85,84.983,18602.375
86,85.972,17190.25
87,86.973,17886.6875
88,87.975,18786.625
89,88.977,18178.1875
90,89.972,19050.625
91,90.973,18504.0625
92,91.973,18572.8125
93,92.973,18779.75
94,93.986,15448.8125
95,94.987,19278.875
