,Elapsed_Time,Data
0,0.0,14533.0625
1,0.994,14298.625
2,1.999,13024.0
3,3.006,15340.1875
4,4.004,14509.0
5,4.996,14810.125
6,6.006,15494.1875
7,7.007,15119.5
8,8.005,15504.5
9,9.01,14802.5625
10,10.009,15714.875
11,11.007,15496.25
12,12.008,15109.875
13,13.008,15699.0625
14,14.011,13891.625
15,15.0,15811.125
16,16.005,15653.0
17,17.001,14962.0625
18,17.994,15696.3125
19,19.009,15532.0
20,19.997,15232.9375
21,21.007,16612.75
22,22.006,15364.9375
23,23.005,16693.875
24,23.994,15760.9375
25,25.0,15689.4375
26,25.993,16233.9375
27,27.004,16788.75
28,27.994,16740.625
29,28.994,15483.875
30,29.993,15105.0625
31,30.996,16418.875
32,32.006,15587.0
33,33.007,15455.0
34,33.993,15895.6875
35,34.994,16275.1875
36,35.994,17022.5
37,37.006,15374.5625
38,38.007,16153.5
39,38.994,16571.5
40,40.003,18646.375
41,41.006,17214.3125
42,41.994,16526.125
43,42.995,16070.3125
44,44.004,16871.25
45,44.999,17176.5
46,46.0,17417.125
47,46.994,16852.6875
48,48.01,17215.6875
49,49.005,16185.8125
50,49.994,17266.5625
51,51.012,18131.4375
52,52.007,16132.875
53,52.994,16730.3125
54,54.011,17025.25
55,54.994,16187.1875
56,56.006,17248.6875
57,56.994,17387.5625
58,57.994,16930.375
59,58.994,17397.1875
60,59.999,17261.0625
61,61.005,17928.625
62,62.004,16657.4375
63,63.001,17464.5625
64,64.003,17646.0625
65,64.995,18086.75
66,65.998,17443.9375
67,66.994,16599.6875
68,67.999,17490.0
69,69.004,16956.5
70,70.007,17356.625
71,70.994,16119.125
72,72.005,17540.1875
73,73.004,16055.1875
74,73.994,18017.3125
75,75.006,17162.0625
76,76.001,18015.25
77,77.005,17864.6875
78,77.994,18030.375
79,79.007,18213.9375
80,79.996,17421.25
81,81.007,17895.625
82,82.009,18123.875
83,82.994,17945.125
84,84.006,18757.75
85,85.004,17199.1875
86,85.994,17628.875
87,86.999,16627.1875
88,88.003,17626.125
89,89.004,17923.8125
90,90.007,17326.375
91,91.004,17274.8125
92,91.994,17779.4375
93,93.006,16695.9375
94,94.008,18047.5625
95,94.996,17402.0
96,96.003,13699.125
97,96.995,16381.75
98,98.002,17316.0625
99,99.001,17237.6875
100,100.006,17529.875
101,101.003,16902.1875
102,101.994,16611.375
103,102.994,17703.125
104,103.994,17637.125
105,104.996,17604.125
106,106.007,17284.4375
107,106.995,17003.25
108,107.994,16945.5
109,108.995,18264.125
110,110.008,17573.1875
111,111.001,18532.25
112,112.0,18519.875
113,113.008,18702.0625
114,113.994,17725.8125
115,114.995,17655.0
116,115.994,18735.75
117,116.995,17836.5
118,117.995,17137.3125
119,118.995,18026.25
120,120.008,17865.375
121,121.005,16784.625
122,122.0,18995.625
123,123.008,18943.375
124,124.001,17646.0625
125,124.994,17908.0
126,126.003,18299.1875
127,127.006,16461.5
128,128.006,17789.75
129,128.995,18900.75
130,130.008,18034.5
131,131.008,18614.0625
132,132.008,18378.25
133,132.994,18516.4375
134,134.009,18824.4375
135,134.995,19192.9375
136,136.003,18860.875
137,137.008,18612.6875
138,138.0,19177.125
139,138.995,18650.5
140,140.0,19605.4375
141,141.005,18944.0625
142,142.005,18781.125
143,142.994,18206.375
144,144.002,19761.5
145,144.998,18962.625
146,146.007,17976.0625
147,146.998,19250.6875
148,148.003,18700.6875
149,149.007,18498.5625
150,150.001,19080.1875
151,150.995,19010.0625
152,152.004,19076.75
153,152.997,18568.0
154,154.009,18851.25
155,154.999,17260.375
156,156.003,18811.375
157,157.003,18060.625
158,158.002,16926.9375
159,159.009,18952.3125
160,160.0,19073.3125
161,161.007,19337.3125
162,161.996,18627.125
163,163.003,17872.25
164,164.006,19176.4375
165,164.994,19168.875
166,166.01,17685.9375
167,166.999,17761.5625
168,168.002,18711.0
169,169.003,18563.1875
170,170.009,17736.125
171,170.995,18031.75
172,171.995,18486.875
173,172.995,18792.8125
174,173.995,19657.6875
175,174.995,18493.75
176,176.008,19278.875
177,176.998,18739.1875
178,177.996,17092.625
179,178.996,19533.25
180,179.994,18949.5625
181,180.995,19310.5
182,181.995,18478.625
183,183.0,18245.5625
184,183.995,18958.5
185,184.995,19668.0
186,185.999,19799.3125
187,186.995,19444.5625
188,187.994,19303.625
189,189.003,17091.25
190,190.002,18634.0
191,191.008,19773.1875
192,192.0,18892.5
193,193.0,19643.25
194,194.009,17984.3125
195,194.995,19522.9375
196,196.001,16284.125
197,197.0,19040.3125
198,197.998,18741.25
199,199.005,19098.0625
200,200.006,19767.0
201,201.001,19633.625
202,201.995,19914.8125
203,202.996,18691.0625
204,204.0,20284.0
205,205.007,19718.1875
206,206.009,19413.625
207,206.995,19227.3125
208,207.995,19874.9375
209,209.004,19655.625
210,210.0,19383.375
211,210.996,19481.0
212,212.009,19281.625
213,213.008,18433.25
214,214.007,19245.875
215,215.008,18846.4375
216,216.009,18183.0
217,217.009,17564.9375
218,218.006,16579.75
219,218.999,18836.125
220,220.001,18194.6875
221,221.008,18706.875
222,221.995,20125.1875
223,223.006,19441.8125
224,224.009,18904.1875
225,224.995,18663.5625
226,226.01,15665.375
227,226.995,19474.8125
228,228.0,18997.6875
229,229.002,18673.1875
230,230.011,18790.0625
231,231.009,18792.8125
232,232.005,19093.9375
233,232.995,19360.0
234,234.008,19228.6875
235,235.009,18466.9375
236,236.005,18904.875
237,236.995,19393.6875
238,238.006,19808.9375
239,238.995,18875.3125
240,240.007,19560.0625
241,240.996,19445.25
242,241.995,19905.875
243,242.995,18880.8125
244,244.006,18967.4375
245,245.007,15943.125
246,246.008,16850.625
247,247.006,19289.875
248,248.008,19470.6875
249,249.009,19611.625
250,249.999,20101.8125
251,250.996,18785.9375
252,252.002,19285.0625
253,252.995,19001.8125
254,254.009,19552.5
255,254.995,19981.5
256,255.995,18159.625
257,257.0,18589.3125
258,257.996,20026.875
259,258.995,18565.25
260,260.002,19893.5
261,261.0,19010.0625
262,261.995,19096.6875
263,262.995,18770.125
264,264.008,18935.8125
265,265.006,19443.875
266,265.995,18884.25
267,267.01,19982.875
268,267.996,18803.125
269,269.01,18863.625
270,270.008,20287.4375
271,270.997,19041.0
272,272.004,18540.5
273,273.001,18986.6875
274,273.995,18790.0625
275,275.005,20169.1875
276,276.007,19943.6875
277,276.996,19274.0625
278,278.0,19956.0625
279,279.006,20294.3125
280,279.998,20081.1875
281,281.007,19883.875
282,282.001,18784.5625
283,283.004,19804.125
284,284.005,19646.0
285,285.006,19037.5625
286,285.995,18749.5
287,287.003,19478.9375
288,288.001,20232.4375
289,288.996,19055.4375
290,290.008,18158.25
291,291.009,19668.0
292,292.0,18887.0
293,292.995,19860.5
294,294.009,20221.4375
295,295.0,18594.125
296,296.008,19086.375
297,297.004,18466.25
298,297.995,20569.3125
299,298.996,20579.625
300,300.009,19870.125
301,300.995,20310.8125
302,302.0,19444.5625
303,303.007,20456.5625
304,303.997,20116.9375
305,304.995,19883.875
