,Elapsed_Time,Data
0,0.0,17479.125
1,0.36,18628.875
2,0.778,15639.75
3,32.839,17364.375
4,33.241,19559.8125
5,33.63,15030.0
6,34.036,19022.0625
7,34.432,17361.5625
8,34.838,20460.9375
9,35.243,17321.0625
10,35.636,17687.25
11,36.04,19252.6875
12,36.428,19265.625
13,36.843,20329.3125
14,37.228,20060.4375
15,37.628,16129.125
16,38.029,20127.9375
17,38.428,17539.3125
18,38.829,20397.375
19,39.228,18482.625
20,39.631,19129.5
21,40.032,19014.75
22,40.435,17260.875
23,40.828,18133.875
24,41.242,18048.9375
25,41.637,18870.1875
26,42.035,18807.75
27,42.428,18398.25
28,42.828,19717.875
29,43.23,17669.8125
30,43.629,17455.5
31,44.028,19675.6875
32,44.431,18672.1875
33,44.832,18381.9375
34,45.228,20258.4375
35,45.639,17529.75
36,46.041,19558.125
37,46.44,18596.8125
38,46.829,17219.25
39,47.229,19829.25
40,47.629,19256.0625
41,48.028,18337.5
42,48.442,18251.4375
43,48.832,20529.0
44,49.229,19698.75
45,49.628,18585.5625
46,50.033,18271.125
47,50.428,19257.1875
48,50.834,19424.25
49,51.23,19822.5
50,51.628,20428.3125
51,52.037,18087.1875
52,52.429,17295.1875
53,52.829,17805.375
54,53.235,20323.6875
55,53.628,19594.6875
56,54.03,18330.75
57,54.433,18345.375
58,54.841,19755.0
59,55.233,15471.5625
60,55.628,19653.75
61,56.036,20168.4375
62,56.432,20185.875
63,56.828,17060.625
64,57.229,18121.5
65,57.629,18769.5
66,58.032,18119.8125
67,58.431,17829.0
68,58.828,19756.6875
69,59.228,18262.125
70,59.629,18052.875
71,60.028,15469.875
72,60.434,18221.0625
73,60.834,18482.625
74,61.238,18281.25
75,61.628,19170.0
76,62.03,18483.75
77,62.428,18625.5
78,62.833,20224.125
79,63.23,18816.75
80,63.629,19059.75
81,64.034,17943.75
82,64.428,18788.0625
83,64.828,18212.0625
84,65.229,19794.9375
85,65.629,18548.4375
86,66.032,16914.375
87,66.428,18591.75
88,66.829,17895.9375
89,67.23,17964.0
90,67.628,18932.625
91,68.032,18259.875
92,68.428,16660.125
93,68.83,18259.875
94,69.237,20610.5625
95,69.628,16597.6875
96,70.037,20613.9375
97,70.428,18728.4375
98,70.829,18636.75
99,71.228,18846.0
100,71.632,17519.625
101,72.037,20160.5625
102,72.434,19356.75
103,72.832,14837.0625
104,73.229,18610.875
105,73.631,19820.25
106,74.029,18060.75
107,74.428,19023.1875
108,74.829,19185.75
109,75.23,17631.5625
110,75.634,18976.5
111,76.034,17991.5625
112,76.436,18207.0
113,76.828,18643.5
114,77.229,19041.75
115,77.629,19726.875
116,78.039,17705.25
117,78.431,20628.5625
118,78.829,19257.1875
119,79.235,18352.6875
120,79.629,17142.75
121,80.029,17972.4375
122,80.432,19572.1875
123,80.828,16817.0625
124,81.236,20502.0
125,81.628,18064.6875
126,82.028,17812.125
127,82.428,18289.125
128,82.829,19978.875
129,83.228,20013.75
130,83.628,19092.375
131,84.028,17382.375
132,84.441,19367.4375
133,84.832,20221.3125
134,85.231,20358.5625
135,85.628,20580.1875
136,86.029,18367.875
137,86.437,20627.4375
138,86.831,18758.25
139,87.229,19139.625
140,87.628,17050.5
141,88.028,20506.5
142,88.428,19475.4375
143,88.828,18576.0
144,89.228,19503.5625
145,89.628,19388.25
146,90.029,18228.9375
147,90.43,20628.5625
148,90.83,20366.4375
149,91.228,17819.4375
150,91.638,19868.0625
151,92.028,18951.75
152,92.428,17807.625
153,92.828,17417.25
154,93.233,18893.8125
155,93.628,19662.75
156,94.035,20342.8125
157,94.433,20324.8125
158,94.829,18194.0625
159,95.229,18020.25
160,95.629,19254.375
161,96.028,19206.5625
162,96.436,17520.75
163,96.833,18619.875
164,97.229,20223.0
165,97.628,17839.125
166,98.029,18619.875
167,98.433,17915.625
168,98.828,19255.5
169,99.228,20306.8125
170,99.629,19343.25
171,100.029,19627.875
172,100.429,20230.875
173,100.828,17885.8125
174,101.233,19230.1875
175,101.628,20027.8125
176,102.038,17831.25
177,102.428,18712.6875
178,102.84,18355.5
179,103.229,16974.0
180,103.629,19815.1875
181,104.028,17893.125
182,104.441,18037.6875
183,104.831,19117.6875
184,105.238,20049.75
185,105.629,20136.9375
186,106.029,19243.125
187,106.433,18968.625
188,106.829,19713.9375
189,107.242,18028.125
190,107.636,18291.375
191,108.03,20487.375
192,108.429,18837.0
193,108.828,19519.875
194,109.228,19020.375
195,109.636,18788.625
196,110.041,20424.9375
197,110.432,18539.4375
198,110.836,20432.25
199,111.229,18916.3125
200,111.629,18162.0
201,112.034,18326.25
202,112.446,18339.75
203,112.84,17966.25
204,113.239,19817.4375
205,113.632,19965.375
206,114.029,18641.25
207,114.428,17781.75
208,114.831,18961.875
209,115.228,17517.9375
210,115.632,19602.0
211,116.029,19628.4375
212,116.437,17716.5
213,116.834,19673.4375
214,117.229,17702.4375
215,117.636,17813.25
216,118.029,19037.8125
217,118.428,20223.5625
218,118.829,19538.4375
219,119.228,19933.875
220,119.628,18593.4375
221,120.029,19187.4375
222,120.428,18257.625
223,120.828,19502.4375
224,121.243,18874.6875
225,121.633,18811.125
226,122.04,19183.5
227,122.431,18866.25
228,122.834,16410.9375
229,123.236,17831.8125
230,123.641,18343.125
231,124.032,19494.5625
232,124.432,18828.5625
233,124.829,19598.625
234,125.229,20107.6875
235,125.628,20136.375
236,126.029,17922.375
237,126.428,20567.8125
238,126.829,20415.9375
239,127.228,17908.3125
240,127.628,19346.625
241,128.039,17971.875
242,128.437,18227.8125
243,128.832,19043.4375
244,129.229,19332.5625
245,129.628,19107.5625
246,130.029,18901.125
247,130.432,20630.8125
248,130.831,20112.1875
249,131.228,20080.6875
250,131.629,19463.0625
251,132.028,19829.8125
252,132.429,20430.0
253,132.829,20401.3125
254,133.235,20019.375
255,133.628,18276.75
256,134.029,20412.0
257,134.429,19793.8125
258,134.829,20553.75
259,135.229,19210.5
260,135.629,20496.9375
261,136.032,19073.8125
262,136.429,18007.875
263,136.828,18852.75
264,137.23,18589.5
265,137.631,19813.5
266,138.041,20116.125
267,138.442,20461.5
268,138.831,20329.3125
269,139.229,19823.625
270,139.629,20222.4375
271,140.028,18293.625
272,140.429,20519.4375
273,140.831,19937.8125
274,141.229,19008.5625
275,141.631,19406.8125
276,142.029,18038.8125
277,142.428,18612.5625
278,142.829,19420.3125
279,143.228,19899.5625
280,143.637,18787.5
281,144.029,18999.0
282,144.43,20223.5625
283,144.829,19927.6875
284,145.231,19269.0
285,145.629,18121.5
286,146.042,20075.0625
287,146.441,19161.0
288,146.833,18481.5
289,147.231,20400.75
290,147.629,18510.75
291,148.028,20253.9375
292,148.429,18720.5625
293,148.843,19814.0625
294,149.232,20250.5625
295,149.628,20321.4375
296,150.034,19985.0625
297,150.429,20282.625
298,150.831,19279.6875
299,151.234,19302.1875
300,151.641,20042.4375
301,152.029,18112.5
302,152.431,18914.625
303,152.832,18505.125
304,153.229,19686.9375
305,153.628,18358.3125
306,154.038,19569.9375
307,154.429,19771.875
308,154.829,20231.4375
309,155.229,20343.9375
310,155.629,20460.9375
311,156.028,19410.75
312,156.437,19125.5625
313,156.836,20191.5
314,157.241,20635.875
315,157.629,19173.375
316,158.029,19060.875
317,158.432,18312.75
318,158.829,20607.75
319,159.23,19807.3125
320,159.629,20255.625
321,160.029,20472.75
322,160.429,18654.1875
323,160.828,20496.9375
324,161.229,20604.375
325,161.629,20222.4375
326,162.034,18052.3125
327,162.429,19326.375
328,162.829,20519.4375
329,163.229,20426.625
330,163.633,19722.375
331,164.032,18707.0625
332,164.435,20487.9375
333,164.828,19279.125
334,165.233,20250.0
335,165.628,20463.1875
336,166.029,20350.6875
337,166.429,20503.125
338,166.829,19321.875
339,167.23,20122.3125
340,167.629,20028.375
341,168.033,20484.0
342,168.43,19243.6875
343,168.831,20500.3125
344,169.228,19752.75
345,169.635,18838.6875
346,170.033,20491.3125
347,170.429,19213.875
348,170.842,20288.25
349,171.232,19423.125
