,Elapsed_Time,Data
0,0.0,15963.5312
1,0.987,14930.7812
2,1.99,13813.5625
3,2.986,16955.9062
4,19.084,15189.5
5,19.477,16091.0312
6,19.877,15320.7188
7,20.279,12833.4062
8,20.68,14140.2812
9,21.078,15276.0938
10,21.479,14914.8438
11,21.882,14280.5312
12,22.277,15735.625
13,22.681,16012.4062
14,23.078,13734.9375
15,23.482,15497.0938
16,23.882,15250.5938
17,24.277,16986.7188
18,24.677,14741.125
19,25.076,16779.5312
20,25.477,15332.9375
21,25.878,15404.125
22,26.287,15143.2812
23,26.687,16670.625
24,27.077,16356.6562
25,27.477,14943.0
26,27.877,15568.8125
27,28.292,15421.125
28,28.677,16216.9375
29,29.079,16176.0312
30,29.488,16161.6875
31,29.877,16534.0938
32,30.287,15446.0938
33,30.676,14844.1875
34,31.09,16545.25
35,31.476,15609.7188
36,31.884,15554.4688
37,32.282,17222.5938
38,32.677,16135.6562
39,33.077,17477.5938
40,33.491,15747.8438
41,33.882,16364.625
42,34.279,15688.875
43,34.679,16142.0312
44,35.077,16252.5312
45,35.477,15919.4375
46,35.876,17466.4375
47,36.278,16720.5625
48,36.682,16840.625
49,37.076,17015.4062
50,37.478,17078.0938
51,37.877,15808.9375
52,38.277,17812.2812
53,38.676,16146.8125
54,39.078,17214.0938
55,39.477,15085.375
56,39.878,17056.3125
57,40.276,17697.5312
58,40.682,15969.375
59,41.077,17208.25
60,41.478,17686.375
61,41.882,17794.75
62,42.277,17194.9688
63,42.677,17277.3125
64,43.086,18383.9062
65,43.477,17400.0312
66,43.877,16356.6562
67,44.287,17287.4062
68,44.678,17125.9062
69,45.08,16677.5312
70,45.477,15778.6562
71,45.877,16435.8125
72,46.288,16364.0938
73,46.679,17989.1875
74,47.077,16956.9688
75,47.477,17871.7812
76,47.882,17349.5625
77,48.281,17611.4688
78,48.677,18429.5938
79,49.076,17141.8438
80,49.482,17980.6875
81,49.877,17709.75
82,50.286,17356.4688
83,50.684,16643.5312
84,51.079,17578.5312
85,51.477,16886.3125
86,51.878,17447.8438
87,52.277,15719.6875
88,52.677,17948.8125
89,53.078,17198.1562
90,53.478,17189.125
91,53.879,16867.1875
92,54.278,18032.2188
93,54.684,17488.75
94,55.077,16599.4375
95,55.48,17647.5938
96,55.885,17322.4688
97,56.278,17765.5312
98,56.676,17312.9062
99,57.078,18389.75
100,57.481,18218.1562
101,57.877,15816.9062
102,58.278,18975.1875
103,58.677,17776.6875
104,59.083,17568.9688
105,59.477,17028.1562
106,59.878,17440.4062
107,60.277,18248.9688
108,60.678,17731.0
109,61.082,18102.3438
110,61.477,17446.7812
111,61.882,18320.1562
112,62.278,17963.6875
113,62.677,17958.375
114,63.077,17868.0625
115,63.477,18183.625
116,63.878,18285.0938
117,64.277,18094.375
118,64.677,18327.0625
119,65.078,18152.8125
120,65.477,18391.3438
121,65.876,17596.0625
122,66.278,16552.6875
123,66.677,17208.7812
124,67.088,16156.375
125,67.477,17558.3438
126,67.878,18522.0312
127,68.277,17616.25
128,68.681,18544.875
129,69.078,18263.8438
130,69.478,17772.9688
131,69.877,16973.9688
132,70.292,16518.1562
133,70.682,18567.7188
134,71.078,18276.0625
135,71.477,17700.7188
136,71.878,17070.125
137,72.277,17407.4688
138,72.678,18271.2812
139,73.081,18236.75
140,73.483,17332.5625
141,73.878,18034.3438
142,74.28,17915.875
143,74.685,17782.5312
144,75.078,18162.375
145,75.477,18178.3125
146,75.878,18020.5312
147,76.277,17351.1562
148,76.678,17364.4375
149,77.076,18633.5938
150,77.477,18306.875
151,77.878,17130.1562
152,78.281,18193.7188
153,78.677,18452.9688
154,79.079,18511.9375
155,79.483,17991.8438
156,79.889,18477.9375
157,80.289,18746.2188
158,80.685,17366.0312
159,81.078,18220.2812
160,81.477,18342.4688
161,81.887,18524.6875
162,82.292,18054.0
163,82.679,17842.0312
164,83.079,18380.7188
165,83.485,18386.5625
166,83.881,17843.0938
167,84.283,17963.6875
168,84.678,17989.7188
169,85.077,18153.875
170,85.484,18113.5
171,85.877,16839.0312
172,86.278,17970.0625
173,86.677,18166.0938
174,87.078,18488.5625
175,87.477,17746.4062
176,87.878,18468.9062
177,88.281,19079.8438
178,88.678,18243.125
179,89.077,18629.875
180,89.478,18182.5625
181,89.883,17969.0
182,90.286,17627.9375
183,90.685,18522.0312
184,91.087,17654.5
185,91.482,18326.5312
186,91.882,18949.6875
187,92.283,18990.5938
188,92.682,18360.0
189,93.077,18167.1562
190,93.485,19198.8438
191,93.881,18567.1875
192,94.28,18864.6875
193,94.677,18500.7812
194,95.089,17400.5625
195,95.48,18630.4062
196,95.878,18925.7812
197,96.287,18191.5938
198,96.683,18503.4375
199,97.077,18193.7188
200,97.477,18185.75
201,97.877,18492.8125
202,98.291,18450.8438
203,98.681,19188.75
204,99.093,19259.4062
205,99.48,18716.4688
206,99.88,17536.5625
207,100.281,18551.7812
208,100.685,18784.4688
209,101.08,18691.5
210,101.478,17866.4688
211,101.881,18792.4375
212,102.278,18976.25
213,102.678,18587.375
214,103.078,18260.125
215,103.477,19242.9375
216,103.879,18471.5625
217,104.284,18931.625
218,104.679,18672.9062
219,105.078,18740.9062
220,105.481,18676.625
221,105.877,18197.4375
222,106.278,18649.0
223,106.677,18816.3438
224,107.083,18794.5625
225,107.489,19524.5
226,107.878,18673.9688
227,108.28,18219.75
228,108.678,19782.6875
229,109.079,19429.4062
230,109.488,19786.4062
231,109.88,18552.8438
232,110.286,19193.5312
233,110.681,18014.6875
234,111.078,19026.7188
235,111.477,18166.0938
236,111.878,17995.0312
237,112.277,18795.0938
238,112.683,19268.4375
239,113.077,18063.0312
240,113.478,18560.2812
241,113.881,17861.6875
242,114.281,18874.7812
243,114.677,19003.3438
244,115.078,18594.2812
245,115.477,18922.0625
246,115.878,19271.0938
247,116.278,19153.6875
248,116.678,18965.625
249,117.077,18265.4375
250,117.483,18658.0312
251,117.877,18135.2812
252,118.278,18476.875
253,118.677,18705.3125
254,119.077,18618.1875
255,119.477,18757.375
256,119.878,19290.75
257,120.277,17583.3125
258,120.678,19533.5312
259,121.078,18421.625
260,121.488,19954.2812
261,121.878,19061.7812
262,122.282,19996.7812
263,122.681,18015.2188
264,123.087,19101.0938
265,123.478,18910.375
266,123.88,19671.6562
267,124.277,17840.4375
268,124.684,18641.0312
269,125.087,19041.5938
270,125.483,19572.3125
271,125.877,19150.5
272,126.281,18618.1875
273,126.678,19070.2812
274,127.077,19266.3125
275,127.481,19843.25
276,127.883,19648.2812
277,128.277,19432.5938
278,128.68,18465.7188
279,129.092,18061.4375
280,129.483,19268.4375
281,129.877,18405.6875
282,130.284,19079.8438
283,130.679,18613.9375
284,131.085,18609.6875
285,131.481,18483.25
286,131.885,19057.5312
287,132.278,18780.75
288,132.678,20385.6562
289,133.083,19442.6875
290,133.489,19922.9375
291,133.885,18696.2812
292,134.278,19287.5625
293,134.682,19734.3438
294,135.084,19819.3438
295,135.483,19271.625
296,135.877,20043.5312
297,136.286,19900.0938
298,136.679,19400.7188
299,137.087,18737.7188
300,137.479,19076.6562
301,137.878,18712.75
302,138.289,20064.7812
303,138.683,19256.75
304,139.078,18426.4062
305,139.483,19233.375
306,139.877,19512.8125
307,140.279,18944.375
308,140.68,18999.0938
309,141.077,19278.0
310,141.477,18782.3438
311,141.877,18714.3438
312,142.279,18108.1875
313,142.678,19490.5
314,143.078,18384.9688
315,143.481,18515.6562
316,143.882,19744.4375
317,144.278,19714.1562
318,144.677,18704.25
319,145.08,19157.4062
320,145.481,19539.375
321,145.885,19599.9375
322,146.278,18936.4062
323,146.677,19437.375
324,147.078,18951.8125
325,147.477,18924.1875
326,147.878,19749.75
327,148.283,18823.25
328,148.677,18348.8438
329,149.083,19573.9062
330,149.479,19229.125
331,149.878,18392.9375
332,150.283,19595.1562
333,150.681,18928.9688
334,151.079,19920.2812
335,151.479,19575.5
336,151.878,19748.6875
337,152.285,18697.875
338,152.682,19490.5
339,153.079,19004.9375
340,153.478,18312.7188
341,153.878,18890.1875
342,154.283,19053.8125
343,154.684,19291.8125
344,155.088,19942.5938
345,155.478,18864.1562
346,155.878,19313.0625
347,156.277,19826.25
348,156.684,18752.0625
349,157.078,18876.375
350,157.482,19406.5625
351,157.878,19848.5625
352,158.282,20139.6875
353,158.682,20030.7812
354,159.079,20095.0625
355,159.487,18987.4062
356,159.884,19070.2812
357,160.288,19333.25
358,160.678,19086.2188
359,161.079,19168.5625
360,161.48,19847.5
361,161.878,19483.5938
362,162.278,19870.3438
363,162.677,19029.375
364,163.078,19834.2188
365,163.478,18629.3438
366,163.881,18475.8125
367,164.281,19614.2812
368,164.686,19456.5
369,165.088,18754.1875
370,165.478,19653.5938
371,165.877,19120.2188
372,166.294,19794.375
373,166.678,19094.1875
374,167.078,19889.4688
375,167.477,19531.9375
376,167.881,18835.4688
377,168.278,19318.375
378,168.678,19493.6875
379,169.077,20401.0625
380,169.485,19565.4062
381,169.878,19942.5938
382,170.28,19020.3438
383,170.68,19402.8438
384,171.082,18285.0938
385,171.478,18344.0625
386,171.879,19934.625
387,172.278,20062.125
388,172.678,19904.875
389,173.082,20013.25
390,173.479,20104.625
391,173.878,20454.7188
392,174.285,19850.1562
393,174.683,20266.125
394,175.078,19823.0625
395,175.482,19475.0938
396,175.878,19819.3438
397,176.285,19793.3125
398,176.679,20443.0312
399,177.078,19669.0
400,177.479,19718.9375
401,177.878,19357.1562
402,178.283,19836.875
403,178.679,19265.7812
404,179.085,19628.0938
405,179.477,17815.4688
406,179.878,20096.125
407,180.277,19391.6875
408,180.678,19363.0
409,181.078,19586.6562
410,181.479,20067.9688
411,181.898,20448.875
412,182.278,20002.625
413,182.683,19428.875
414,183.078,19624.375
415,183.478,19028.3125
416,183.878,19263.125
417,184.288,19500.5938
418,184.691,19093.125
419,185.085,20702.8125
420,185.478,18611.8125
421,185.878,20614.0938
422,186.284,19659.9688
423,186.677,19853.875
424,187.082,19830.5
425,187.484,20163.0625
426,187.892,19824.125
427,188.281,20382.4688
428,188.68,18940.6562
429,189.082,19479.875
430,189.482,20002.0938
431,189.878,19812.4375
432,190.287,19910.7188
433,190.681,19900.625
434,191.079,19788.5312
435,191.478,19284.9062
