,Elapsed_Time,Data
0,0.0,13025.375
1,0.985,11672.375
2,1.974,13180.75
3,2.973,13514.875
4,3.974,12939.4375
5,4.974,13065.25
6,5.973,13719.0625
7,6.98,13169.75
8,7.976,13884.0625
9,8.979,13148.4375
10,9.986,14176.25
11,10.981,12845.25
12,11.974,12628.0
13,12.976,13514.875
14,13.973,12853.5
15,14.974,13939.75
16,15.98,13842.8125
17,16.973,15056.9375
18,17.973,15759.5625
19,18.976,13107.875
20,19.988,14306.875
21,20.984,13617.3125
22,21.984,14440.9375
23,22.983,13236.4375
24,23.975,12333.75
25,24.978,14038.0625
26,25.981,13921.1875
27,26.983,15177.9375
28,27.986,16616.1875
29,28.984,13970.0
30,29.982,14225.0625
31,30.976,15564.3125
32,31.978,16169.3125
33,32.973,14377.0
34,33.988,16167.9375
35,34.982,16332.9375
36,35.973,16623.0625
37,36.974,15888.125
38,37.975,14805.3125
39,38.973,16013.9375
40,39.986,16655.375
41,40.974,16128.75
42,41.985,16416.8125
43,42.975,14648.5625
44,43.988,15990.5625
45,44.987,13864.8125
46,45.973,16694.5625
47,46.975,16596.9375
48,47.975,16271.75
49,48.973,16757.125
50,49.974,16892.5625
51,50.979,17402.6875
52,51.974,16774.3125
53,52.974,15826.9375
54,53.975,16703.5
55,54.974,16637.5
56,55.989,16475.9375
57,56.987,16882.9375
58,57.973,16406.5
59,58.973,13127.8125
60,59.987,15339.5
61,60.974,15917.0
62,61.974,15945.1875
63,62.973,16702.8125
64,63.974,17226.0
65,64.976,14030.5
66,65.987,15796.0
67,66.976,13107.1875
68,67.984,16721.375
69,68.984,17008.75
70,69.975,15187.5625
71,70.985,16467.6875
72,71.988,16599.6875
73,72.978,16813.5
74,73.976,17750.5625
75,74.975,16149.375
76,75.974,17107.75
77,76.974,16953.75
78,77.976,17122.875
79,78.976,17052.75
80,79.99,18084.6875
81,80.975,15863.375
82,81.974,17316.75
83,82.98,16920.75
84,83.974,17169.625
85,84.974,17352.5
86,85.981,17316.0625
87,86.989,17848.1875
88,87.975,17677.6875
89,88.975,16517.875
90,89.975,17701.75
91,90.974,17166.1875
92,91.982,16909.75
93,92.992,17361.4375
94,93.984,17923.125
95,94.979,16730.3125
96,95.974,16849.9375
97,96.973,17508.5625
98,97.986,18558.375
99,98.986,17926.5625
100,99.991,17381.375
101,100.975,17474.1875
102,101.974,17129.0625
103,102.976,11629.75
104,103.977,16416.8125
105,104.984,17680.4375
106,105.981,16927.625
107,106.973,16541.25
108,107.974,17086.4375
109,108.975,17367.625
110,109.985,17733.375
111,110.979,18117.0
112,111.985,18309.5
113,112.976,16827.25
114,113.983,18699.3125
115,114.974,17470.0625
116,115.989,18493.0625
117,116.974,17440.5
118,117.979,17250.0625
119,118.975,18583.125
120,119.974,18540.5
121,120.974,16695.9375
122,121.974,17141.4375
123,122.986,17897.6875
124,123.988,19191.5625
125,124.977,17673.5625
126,125.977,18038.625
127,126.987,18379.625
128,127.974,17967.8125
129,128.98,18832.0
130,129.976,18836.125
131,130.985,18836.125
132,131.975,18475.1875
133,132.983,16452.5625
134,133.978,18003.5625
135,134.981,16274.5
136,135.988,18558.375
137,136.986,18517.125
138,137.982,16203.0
139,138.979,19236.25
140,139.974,18855.375
141,140.974,17361.4375
142,141.974,19334.5625
143,142.985,19148.25
144,143.977,19120.75
145,144.986,18222.1875
146,145.974,19194.3125
147,146.981,17833.0625
148,147.977,18282.6875
149,148.979,17974.0
150,149.976,18862.25
151,150.974,19089.8125
152,151.975,18847.125
153,152.974,18631.25
154,153.979,19003.875
155,154.974,18983.25
156,155.976,19021.75
157,156.982,19068.5
158,157.984,18865.6875
159,158.991,18740.5625
160,159.984,18777.6875
161,160.982,18092.9375
162,161.988,18879.4375
163,162.985,19357.9375
164,163.991,19166.125
165,164.985,18095.6875
166,165.978,19309.8125
167,166.978,19191.5625
168,167.988,19220.4375
169,168.975,19745.6875
170,169.978,19177.125
171,170.987,19270.625
172,171.986,18927.5625
173,172.986,18697.9375
174,173.991,19826.8125
175,174.985,18851.25
176,175.975,18886.3125
177,176.987,18139.0
178,177.99,19269.25
179,178.974,19135.875
180,179.975,18616.8125
181,180.975,18781.125
182,181.975,19900.375
183,182.985,18563.875
184,183.986,18897.3125
185,184.975,18848.5
186,185.975,19688.625
187,186.989,19560.0625
188,187.978,17866.0625
189,188.986,19840.5625
190,189.988,19645.3125
191,190.976,19344.875
192,191.975,19717.5
193,192.982,18849.1875
194,193.975,18471.0625
195,194.985,19063.6875
196,195.975,19300.1875
197,196.976,19045.125
198,197.975,19401.25
199,198.987,17710.6875
200,199.974,19824.75
201,200.976,18913.125
202,201.976,19800.6875
203,202.974,19215.625
204,203.975,19228.6875
205,204.974,18594.125
206,205.979,19318.0625
207,206.986,19790.375
208,207.989,19901.0625
209,208.975,18986.6875
210,209.975,19055.4375
211,210.978,19135.1875
212,211.976,19089.8125
213,212.981,20018.625
214,213.98,19213.5625
215,214.975,17870.1875
216,215.976,19256.875
217,216.987,19210.8125
218,217.975,19196.375
219,218.987,19185.375
220,219.975,19344.875
221,220.988,19249.3125
222,221.975,19723.6875
223,222.975,19808.9375
224,223.975,19900.375
225,224.976,19760.125
226,225.982,18323.25
227,226.984,17912.125
228,227.976,20235.1875
229,228.988,19784.1875
230,229.992,19362.75
231,230.986,19225.25
232,231.975,19456.9375
233,232.975,19793.125
234,233.975,19087.75
235,234.976,19863.9375
