,Elapsed_Time,Data
0,0.0,2371.09375
1,0.999,2028.59375
2,2.007,2517.1875
3,2.999,2586.25
4,4.009,2826.71875
5,5.013,1902.65625
6,6.003,2556.09375
7,7.012,2448.59375
8,8.016,2795.46875
9,9.002,3078.28125
10,10.015,2560.625
11,11.008,2518.75
12,12.006,2716.25
13,13.001,2751.71875
14,14.012,2647.1875
15,15.002,2848.28125
16,16.013,3186.40625
17,17.012,3239.53125
18,18.003,3346.09375
19,19.014,3151.25
20,20.006,2980.78125
21,21.0,3168.59375
22,22.006,3165.9375
23,23.004,3064.84375
24,24.003,1942.5
25,26.012,2740.9375
26,27.001,3083.28125
27,29.011,3238.75
28,30.005,3233.125
29,31.006,3077.65625
30,32.013,3178.4375
31,33.009,2702.34375
32,34.026,3173.4375
33,35.012,3271.40625
34,36.016,3224.0625
35,37.005,3274.6875
36,38.007,2645.78125
37,39.011,3176.71875
38,40.0,3348.59375
39,41.012,3390.3125
40,42.0,3409.84375
41,43.012,3542.8125
42,44.01,3551.5625
43,45.006,3309.53125
44,46.0,3237.8125
45,46.999,3320.0
46,48.003,3173.4375
47,49.01,3210.15625
48,50.005,3298.90625
49,51.015,3310.9375
50,52.016,3255.9375
51,53.006,3374.0625
52,54.016,3329.21875
53,54.999,3372.34375
54,56.001,3324.375
55,57.0,3333.59375
56,58.012,3130.0
57,59.01,2995.15625
58,60.016,3338.59375
59,61.009,3479.84375
60,62.011,3539.84375
61,63.011,3240.78125
62,64.009,3377.5
63,65.007,3531.25
64,66.0,3377.34375
65,67.0,3414.375
66,68.0,3215.0
67,69.003,3527.34375
68,70.001,3549.53125
69,71.013,3572.1875
70,72.016,2993.28125
71,73.007,3451.5625
72,74.007,3296.25
73,75.001,3517.1875
74,76.0,3266.09375
75,77.009,3477.03125
76,78.004,3465.3125
77,79.0,3202.34375
78,80.001,3491.25
79,81.0,3480.15625
80,82.004,3498.4375
81,83.004,3365.3125
82,84.003,3541.875
83,85.0,3555.9375
84,86.013,3351.5625
85,87.008,3549.0625
86,88.013,3488.90625
87,89.006,3571.25
88,90.013,3485.9375
89,91.005,3521.09375
90,92.0,3478.125
91,93.001,3516.40625
92,94.006,3521.09375
93,95.002,3485.15625
94,96.016,3521.71875
95,97.0,3469.375
96,98.001,3522.03125
97,99.009,3374.21875
98,100.001,3473.4375
99,101.002,3542.8125
100,102.01,3499.53125
101,103.0,3506.5625
102,104.009,3490.9375
103,105.001,3545.625
104,106.001,3469.375
105,106.999,3536.40625
106,108.001,3516.25
107,109.0,3492.5
108,110.014,3477.03125
109,111.015,3502.1875
110,112.013,3529.375
111,113.012,3542.8125
112,114.006,3528.28125
113,115.0,3503.28125
114,116.009,3516.875
115,117.013,3493.75
116,118.001,3498.4375
117,119.0,3521.25
118,120.016,3506.875
119,121.002,3525.15625
120,122.005,3528.90625
121,123.004,3544.53125
122,124.006,3450.46875
123,125.012,3498.90625
124,126.007,3494.21875
125,127.003,3541.40625
126,128.007,3521.25
127,129.001,3507.65625
128,130.001,3492.1875
129,131.011,3468.75
130,132.014,3439.375
131,133.004,3353.59375
132,134.017,3503.125
133,135.012,3473.125
134,136.001,3487.8125
135,137.007,3518.125
136,138.011,3493.125
137,139.0,3544.84375
138,140.014,3473.125
139,141.012,3491.25
140,142.001,3551.5625
141,143.012,3548.125
142,144.016,3534.53125
143,145.0,3462.65625
144,146.016,3511.40625
145,147.013,3495.9375
146,148.02,3451.25
147,149.012,3470.78125
148,150.017,3521.25
149,151.008,3510.3125
150,152.017,3470.9375
151,153.013,3475.0
152,154.007,3517.65625
153,155.014,3476.5625
154,156.01,3499.0625
155,157.001,3507.8125
156,158.001,3478.75
157,159.014,3443.90625
158,160.002,3474.6875
159,161.004,3467.34375
160,162.007,3472.34375
161,163.015,3466.71875
162,164.017,3534.0625
163,165.011,3443.4375
164,166.017,3463.125
165,167.013,3346.71875
166,168.011,3482.5
167,169.015,3498.4375
168,170.014,3473.59375
169,171.007,3457.96875
170,172.002,3466.25
171,173.0,3504.0625
172,174.0,3426.09375
173,175.012,3445.3125
174,176.007,3472.8125
175,177.015,3234.53125
176,178.002,3440.3125
177,179.01,3438.75
178,180.01,3446.5625
179,181.004,3483.28125
180,182.001,3544.53125
181,183.016,3234.6875
182,184.001,3478.125
183,185.015,3516.25
184,186.015,3468.75
