,Elapsed_Time,Data
0,0.0,121.378125
1,0.996,122.45
2,1.991,123.878125
3,2.995,122.815625
4,3.991,122.940625
5,4.992,122.028125
6,5.994,122.090625
7,6.997,120.134375
8,7.991,122.271875
9,8.991,122.515625
10,10.003,121.653125
11,10.992,123.05
12,11.993,122.0375
13,12.992,121.790625
14,13.991,121.109375
15,14.991,122.721875
16,15.992,122.03125
17,16.991,122.721875
18,17.992,121.6125
19,19.006,122.1
20,19.992,122.35625
21,21.992,120.5
22,23.999,120.609375
23,25.007,120.403125
24,25.992,121.38125
25,27.993,121.39375
26,28.993,120.75625
27,29.991,121.5
28,30.996,121.15
29,31.993,inf
30,32.999,120.378125
31,34.003,122.396875
32,34.992,121.471875
33,36.007,122.015625
34,36.997,119.046875
35,37.992,121.003125
36,39.992,120.6
37,40.993,120.83125
38,41.991,120.05
39,42.994,120.58125
40,43.993,121.134375
41,44.991,121.40625
42,45.991,120.53125
43,47.002,121.875
44,47.995,122.6375
45,49.002,121.95
46,50.003,121.671875
47,51.002,122.971875
48,51.992,120.4625
49,52.997,122.7
50,53.991,120.25
51,54.991,120.521875
52,55.991,121.0625
53,57.002,121.428125
54,57.991,120.7
55,58.999,121.096875
56,59.992,120.540625
57,61.007,121.371875
58,61.991,121.878125
59,63.005,117.221875
60,64.003,119.45
61,65.006,121.784375
62,66.004,120.425
63,66.998,122.79375
64,67.991,120.89375
65,68.991,121.315625
66,69.991,121.790625
67,70.997,122.490625
68,71.991,122.31875
69,72.991,122.63125
70,73.991,120.61875
71,74.992,121.090625
72,75.993,122.096875
73,77.008,121.771875
74,77.996,122.465625
75,78.992,121.609375
76,79.998,121.7875
77,80.996,120.60625
78,81.991,121.68125
79,83.0,121.1375
80,83.996,119.65
81,85.005,119.94375
82,86.002,120.2125
83,86.993,123.015625
84,87.992,120.178125
85,89.008,122.028125
86,90.001,121.765625
87,91.009,121.9
88,91.992,122.021875
89,93.002,122.69375
90,93.992,122.85625
91,94.992,120.51875
92,95.994,122.51875
93,97.007,123.271875
94,97.996,121.25
95,98.998,122.75
96,99.994,120.49375
97,101.003,120.90625
98,102.002,120.4625
99,103.01,122.19375
100,104.005,121.375
101,105.005,119.59375
102,105.998,120.309375
103,106.997,121.4
104,107.991,120.453125
105,109.002,121.75
106,109.993,120.478125
107,111.005,120.990625
108,111.996,122.878125
109,112.997,121.659375
110,113.991,121.040625
111,114.994,121.821875
112,115.993,119.996875
113,117.005,120.64375
114,117.991,121.20625
115,119.006,118.428125
116,119.992,120.290625
117,120.992,120.096875
118,122.006,120.409375
119,122.992,120.684375
