,x_max,y_max,x_min,y_min
0,9.986,3.2960000000000005e-08,0.985,2.448e-08
1,27.986,4.1760000000000005e-08,23.975,2.592e-08
2,35.973,4.304e-08,32.973,3.1519999999999994e-08
3,50.979,4.848e-08,44.986999999999995,3.088e-08
4,63.974,4.6560000000000015e-08,66.976,2.8e-08
5,79.99,5.424e-08,80.975,3.904e-08
6,97.986,5.472e-08,102.976,2.432e-08
7,113.98299999999999,5.648e-08,106.973,4.1760000000000005e-08
8,123.988,6.272000000000001e-08,132.983,4.048e-08
9,141.974,6.464e-08,137.982,3.936e-08
10,162.985,6.464e-08,160.982,5.327999999999999e-08
11,173.99099999999999,7.343999999999999e-08,164.985,5.327999999999999e-08
12,181.975,7.487999999999999e-08,187.97799999999998,5.344e-08
13,199.97400000000002,7.503999999999999e-08,198.987,4.912e-08
14,212.981,8.368e-08,214.975,5.136e-08
15,237.975,9.088e-08,236.987,4.8e-08
16,239.986,9.2e-08,245.97799999999998,5.84e-08
17,265.975,9.152e-08,259.982,5.4560000000000013e-08
18,274.981,1.0736e-07,278.975,5.392e-08
19,291.975,9.456e-08,285.976,5.344e-08
20,311.976,1.0704e-07,312.976,7.04e-08
21,325.97700000000003,9.44e-08,314.975,6.64e-08
22,338.978,1.0688e-07,332.98199999999997,5.824e-08
23,354.975,1.2144e-07,344.981,7.056e-08
24,363.975,1.1824000000000002e-07,371.975,6.064e-08
25,374.98400000000004,1.2528e-07,375.975,5.808e-08
26,397.98800000000006,1.4736e-07,395.99,7.088e-08
27,416.976,1.4448e-07,405.978,7.104e-08
28,433.98699999999997,1.1952e-07,431.97900000000004,7.072e-08
29,436.98400000000004,1.6015999999999995e-07,435.98,7.808e-08
30,462.977,1.36e-07,455.99300000000005,8.24e-08
31,473.98800000000006,1.3904e-07,478.976,8.288e-08
32,486.978,1.8656e-07,485.978,8.64e-08
33,710.32,1.4816e-07,711.316,9.024e-08
34,736.325,1.9824e-07,729.326,9.136e-08
35,750.32,1.4592e-07,741.316,9.728e-08
36,765.33,1.752e-07,756.323,1.0752e-07
37,781.317,1.9824e-07,772.317,9.84e-08
38,784.317,2.168e-07,791.316,8.304000000000001e-08
39,808.316,1.848e-07,799.315,9.296e-08
40,814.316,2.3088e-07,825.33,9.296e-08
41,829.32,1.9664e-07,838.318,1.16e-07
42,856.33,2.0416e-07,855.317,1.0784e-07
43,870.329,3.4384e-07,865.322,1.2208e-07
44,876.316,2.8608000000000003e-07,877.322,7.024e-08
45,889.32,2.6608e-07,895.33,1.0064e-07
46,913.321,2.392e-07,907.32,1.0992e-07
47,927.321,2.1536e-07,924.316,1.1184e-07
48,941.32,2.1328000000000004e-07,933.326,1.2096e-07
49,958.317,3.304e-07,949.321,1.216e-07
50,965.318,2.3728e-07,971.322,1.24e-07
51,985.323,3.1568000000000003e-07,983.328,1.056e-07
52,1000.329,3.6304e-07,1001.317,1.088e-07
53,1013.323,3.168e-07,1014.322,9.904e-08
54,1025.318,3.764800000000001e-07,1034.328,1.3312000000000002e-07
55,1051.3310000000001,3.2704e-07,1040.329,1.5264000000000002e-07
56,1064.317,2.8128e-07,1057.3310000000001,1.3792e-07
57,1071.3210000000001,3.2192e-07,1078.328,1.2032e-07
58,1095.328,4.1216e-07,1084.317,1.2032e-07
59,1105.33,3.553600000000001e-07,1102.3210000000001,1.5696e-07
60,1116.326,3.788800000000001e-07,1114.328,1.408e-07
61,1128.33,3.9168e-07,1138.322,1.7248000000000002e-07
62,1143.333,3.3696e-07,1148.318,9.44e-08
63,1166.3239999999998,4.0128e-07,1169.32,1.0224e-07
64,1178.3319999999999,3.1904e-07,1173.319,9.92e-08
65,1199.318,3.7008e-07,1191.319,1.4255999999999995e-07
66,1214.318,4.28e-07,1203.319,1.4704e-07
67,1227.319,4.1552e-07,1226.319,9.568e-08
68,1240.319,4.8128e-07,1237.318,1.5456e-07
69,1254.319,3.9648e-07,1255.326,1.4335999999999998e-07
70,1269.319,4.4544e-07,1266.319,1.4575999999999998e-07
71,1279.319,5.046399999999999e-07,1280.319,1.528e-07
72,1294.3319999999999,4.0864e-07,1304.32,1.16e-07
73,1320.32,5.1776e-07,1314.335,1.3712e-07
74,1331.3220000000001,5.2912e-07,1335.32,1.2528e-07
75,1349.3210000000001,,1348.3229999999999,1.6128e-07
76,1358.32,4.956800000000001e-07,1356.319,1.9008e-07
77,1368.319,5.9296e-07,1381.3239999999998,1.6144000000000002e-07
78,1395.325,4.8048e-07,1391.3310000000001,1.416e-07
79,1405.329,5.188800000000001e-07,1399.3339999999998,1.4176e-07
80,1424.329,4.0896e-07,1416.32,1.1824000000000002e-07
81,1429.3310000000001,,1437.3210000000001,3.532800000000001e-07
82,1443.32,4.7696e-07,1445.32,
83,1460.3310000000001,4.3632e-07,1459.332,1.3455999999999998e-07
84,1481.3220000000001,4.44e-07,1477.32,1.4352e-07
85,1493.325,4.884799999999999e-07,1496.325,1.5088e-07
86,1513.3210000000001,3.328e-07,1507.3229999999999,1.7088e-07
87,1519.338,4.816e-07,1523.3220000000001,1.5584000000000002e-07
88,1539.3329999999999,2.8944000000000003e-07,1534.3210000000001,1.7312e-07
89,1560.32,,1550.3220000000001,1.808e-07
90,1566.3239999999998,5.4448e-07,1572.3210000000001,
91,1584.3220000000001,2.6432e-07,1578.332,
92,1594.326,4.1424e-07,1602.3339999999998,2.7808e-07
93,1609.325,4.832e-07,1612.326,1.5424e-07
94,1632.3239999999998,3.1584e-07,1623.336,1.7136e-07
95,1649.3210000000001,5.243199999999999e-07,1642.3220000000001,2.1904e-07
96,1659.326,5.499199999999999e-07,1665.3220000000001,
97,1674.33,4.879999999999999e-07,1670.3220000000001,2.0896e-07
98,1688.3310000000001,5.6288e-07,1695.335,1.3408e-07
99,1703.3220000000001,2.808e-07,1699.3339999999998,
100,1714.335,,1719.3329999999999,2.5008e-07
101,1836.336,,1839.3220000000001,
102,1854.3239999999998,,1855.328,
103,1867.3220000000001,5.046399999999999e-07,1869.3220000000001,
104,1889.3229999999999,4.9232e-07,1885.3229999999999,1.944e-07
105,1899.3229999999999,3.392e-07,1902.3329999999999,2.6064e-07
106,1919.3229999999999,1.768e-07,1916.3229999999999,4.5744e-07
107,1926.3220000000001,,1927.3229999999999,
108,1948.3339999999998,3.0096e-07,1941.3220000000001,1.7104e-07
109,1959.335,4.7312e-07,1956.3229999999999,
110,1973.3229999999999,5.662399999999999e-07,1974.3229999999999,1.7920000000000004e-07
111,1986.3229999999999,5.0048e-07,1988.3229999999999,2.3136e-07
112,2002.3229999999999,,2004.3239999999998,3.168e-07
113,2020.338,3.5296e-07,2016.3229999999999,
114,2032.338,6.3776e-07,2093.324,3.7504e-07
115,2101.34,3.144e-07,2102.3379999999997,5.297600000000001e-07
116,2113.324,4.7136e-07,2118.324,2.0928e-07
117,2137.325,3.0912e-07,2128.325,
118,2143.33,,2145.324,5.030399999999999e-07
119,2158.324,3.8848e-07,2159.323,
120,2178.326,,2176.334,2.4256e-07
121,2191.33,4.3504e-07,2188.3360000000002,1.5232e-07
122,2207.339,4.6624e-07,2208.325,2.5984000000000003e-07
123,2228.334,2.6768e-07,2218.33,1.5535999999999998e-07
124,2238.34,,2242.335,3.4912e-07
125,2255.325,4.1536e-07,2254.324,3.184e-07
126,2271.337,5.1728e-07,2264.326,1.208e-07
