,x_max,y_max,x_min,y_min
0,7.972,3.1504e-07,2.978,8.800000000000002e-08
1,27.985,4.2112e-07,17.972,1.224e-07
2,34.986999999999995,4.5984e-07,33.977,9.312000000000003e-08
3,52.971000000000004,4.0336e-07,44.986999999999995,1.2224e-07
4,60.972,6.2368e-07,62.972,9.856e-08
5,78.972,5.790399999999999e-07,76.971,9.152e-08
6,1901.565,2.528e-08,1900.5610000000001,1.872e-08
7,1910.5610000000001,2.6239999999999995e-08,1908.56,1.952e-08
8,1919.56,3.12e-08,1924.5610000000001,2.32e-08
9,1941.566,3.312e-08,1945.5610000000001,2.176e-08
10,1959.565,3.696e-08,1949.566,2.432e-08
11,1974.575,3.936e-08,1977.5610000000001,3.1360000000000004e-08
12,1984.5610000000001,3.888e-08,1983.5639999999999,3.072e-08
13,1999.5720000000001,4.24e-08,2004.5610000000001,3.088e-08
14,2013.56,4.304e-08,2012.5729999999999,3.12e-08
15,2037.57,4.6080000000000006e-08,2025.5610000000001,3.3280000000000004e-08
16,2047.5620000000001,5.327999999999999e-08,2040.5610000000001,3.344e-08
17,2067.56,5.2e-08,2057.562,3.696e-08
18,2080.569,5.76e-08,2073.561,3.76e-08
19,2086.575,5.104e-08,2091.561,3.264e-08
20,2215.575,6.447999999999999e-08,2223.563,4e-08
21,2232.563,6.672e-08,2238.565,4.32e-08
22,2245.571,6.336e-08,2252.569,4.2560000000000005e-08
23,2258.5789999999997,7.296e-08,2262.57,4.032e-08
24,2275.567,7.904e-08,2279.563,5.088e-08
25,2298.562,8.176e-08,2295.5660000000003,5.232e-08
26,2313.578,8.16e-08,2305.576,5.424e-08
27,2322.57,7.408e-08,2327.563,4.5280000000000006e-08
28,2331.564,9.888e-08,2342.565,5.44e-08
29,2357.563,9.808e-08,2347.576,4.208e-08
30,2372.564,8.592e-08,2366.572,4.88e-08
31,2384.578,1.0736e-07,2380.563,5.648e-08
32,2391.577,1.0607999999999998e-07,2393.569,6.032e-08
33,2410.5679999999998,9.952e-08,2406.565,6.08e-08
34,2423.564,9.216e-08,2426.578,6.544e-08
35,2438.572,1.0848e-07,2436.569,3.568e-08
36,2455.576,1.1616e-07,2452.563,6e-08
37,2465.563,1.1584e-07,2471.576,4.4960000000000013e-08
38,2487.564,1.2832e-07,2488.5660000000003,7.36e-08
39,2508.57,1.2384e-07,2496.564,4.2560000000000005e-08
40,2511.572,1.0655999999999998e-07,2519.5660000000003,6.016e-08
41,2534.565,1.1728e-07,2529.565,6.08e-08
42,2546.563,1.6544e-07,2553.576,6e-08
43,2568.5679999999998,1.3504000000000002e-07,2564.578,7.184e-08
44,2575.569,1.4672e-07,2581.573,7.2e-08
45,2585.578,1.2607999999999995e-07,2594.574,5.984e-08
46,2603.57,1.5728e-07,2607.5660000000003,6.16e-08
47,2621.574,1.3984e-07,2626.565,6.287999999999999e-08
48,2638.5640000000003,1.3856e-07,2642.567,8.927999999999998e-08
49,2658.566,1.9024e-07,2654.5640000000003,8.176e-08
50,2666.5640000000003,1.8176e-07,2670.577,8.16e-08
51,2677.5690000000004,1.6079999999999998e-07,2676.566,8.032e-08
52,2703.571,1.9648e-07,2700.566,8.144000000000001e-08
53,2755.5679999999998,1.8144e-07,2706.565,7.44e-08
54,2767.577,1.88e-07,2770.566,7.712e-08
55,2778.566,2.2768e-07,2785.579,6.976e-08
56,2794.575,2.0768e-07,2795.579,8.544e-08
57,2815.567,1.9712e-07,2809.5690000000004,1.1616e-07
58,2822.565,1.7727999999999996e-07,2832.566,7.312000000000001e-08
59,2840.566,2.0496e-07,2838.57,7.056e-08
60,2857.58,1.7776e-07,2858.577,6.992000000000001e-08
61,2875.5690000000004,1.8336e-07,2871.579,7.76e-08
62,2891.5679999999998,2.192e-07,2886.567,8.464000000000001e-08
63,2897.572,1.9952000000000006e-07,2900.57,9.296e-08
64,2914.574,2.3904e-07,2922.5679999999998,8.48e-08
65,2927.5809999999997,2.3232e-07,2936.58,8.128e-08
66,2949.577,1.7632e-07,2941.572,8.832000000000003e-08
67,2960.571,2.0352e-07,2967.5809999999997,8.863999999999998e-08
68,2982.57,2.3504e-07,2970.571,6.528e-08
69,2998.566,1.816e-07,2987.574,6.528e-08
70,3007.567,1.7776e-07,3006.57,7.392e-08
71,3018.5679999999998,3.0464e-07,3022.5840000000003,8.256e-08
72,3037.567,2.0576e-07,3032.567,8.704e-08
73,3046.572,2.3488e-07,3050.567,7.872e-08
74,3061.5820000000003,2.3808e-07,3071.57,6.496000000000001e-08
75,3085.567,2.1104e-07,3084.566,8.224e-08
76,3093.5820000000003,2.44e-07,3101.567,5.856e-08
77,3118.57,3.2208e-07,3113.572,4.704e-08
78,3132.567,3.0384e-07,3130.5679999999998,8.16e-08
79,3139.5820000000003,2.2096e-07,3135.567,9.632e-08
80,3155.5679999999998,3.8576e-07,3163.5820000000003,9.184e-08
81,3176.57,2.9616e-07,3166.567,7.632000000000001e-08
82,3185.5809999999997,3.368e-07,3180.567,1.2175999999999995e-07
83,3201.5690000000004,2.4624e-07,3199.573,6.944e-08
84,3216.5679999999998,2.8176e-07,3214.578,8.464000000000001e-08
85,3228.57,3.1952e-07,3236.58,9.232e-08
86,3242.5690000000004,3.2352e-07,3252.579,8.256e-08
87,3335.579,3.2208e-07,3324.571,9.152e-08
88,3346.5690000000004,3.1648000000000004e-07,3348.5690000000004,1.0896e-07
89,3365.5759999999996,3.064e-07,3356.583,1.0752e-07
90,3367.577,6.5456e-07,3374.5690000000004,9.632e-08
91,3389.572,4.3984e-07,3394.571,7.664e-08
92,3401.5690000000004,5.243199999999999e-07,3397.58,5.584e-08
93,3424.5690000000004,2.824e-07,3412.5809999999997,9.408e-08
94,3430.583,4.952e-07,3427.57,9.056e-08
95,3450.572,3.7056e-07,3447.578,1.1792e-07
96,3466.5840000000003,4.1472e-07,3467.571,9.12e-08
97,3481.5820000000003,3.0624e-07,3473.5820000000003,1e-07
98,3489.571,3.720000000000001e-07,3500.57,9.456e-08
99,3514.57,3.4208e-07,3504.5690000000004,1.0256e-07
100,3529.574,3.672e-07,3527.5759999999996,7.808e-08
101,3542.5759999999996,3.1904e-07,3532.57,9.472000000000003e-08
102,3550.5840000000003,4.328e-07,3552.57,1.24e-07
103,3575.5690000000004,3.5712e-07,3568.57,8.960000000000002e-08
104,3581.57,4.064e-07,3578.583,1.1504000000000003e-07
105,3594.585,5.196800000000001e-07,3600.5809999999997,5.76e-08
106,3611.574,2.9104e-07,3613.587,9.952e-08
107,3628.579,5.241600000000001e-07,3635.57,9.632e-08
108,3646.578,5.3744e-07,3638.5759999999996,7.072e-08
109,3661.571,3.7312e-07,3665.573,9.12e-08
110,3679.571,4.304e-07,3671.5809999999997,1.0688e-07
111,3684.586,4.5152e-07,3685.574,1.2432e-07
112,3705.57,4.3248000000000007e-07,3699.579,1.256e-07
113,3720.583,5.241600000000001e-07,3724.58,1.1248e-07
114,3729.5840000000003,6.0816e-07,3731.577,1.752e-07
115,3751.585,3.0816e-07,3744.577,1.1856e-07
116,3762.586,3.6192e-07,3760.572,1.2304e-07
117,3783.571,4.060800000000001e-07,3784.572,1.368e-07
118,3790.571,5.112e-07,3792.572,8.912e-08
119,3807.575,5.9312e-07,3803.575,7.936e-08
120,3889.573,4.0704e-07,3825.6,4.896e-08
121,3899.572,5.129600000000001e-07,3895.573,1.2880000000000002e-07
122,3910.572,6.046399999999999e-07,3917.5820000000003,1.064e-07
123,3927.58,5.347200000000001e-07,3931.579,1.3024e-07
124,3939.5809999999997,3.3744e-07,3950.577,1.2208e-07
125,3962.572,4.2752e-07,3966.583,1.1168e-07
126,3973.579,4.1664e-07,3974.575,1.2336e-07
127,3983.587,4.24e-07,3992.58,1.4912e-07
128,4007.585,4.6368e-07,4004.578,1.5376e-07
129,4013.587,4.464e-07,4017.578,1.0335999999999998e-07
130,4037.5890000000004,4.049600000000001e-07,4041.587,1.0495999999999998e-07
131,4045.574,3.896e-07,4050.578,8.24e-08
132,4061.579,4.875199999999999e-07,4062.577,1.3888e-07
133,4083.585,5.8384e-07,4075.579,1.0448e-07
134,4099.5779999999995,4.6112e-07,4097.587,1.1104e-07
135,4104.58,6.0624e-07,4113.588,1.0975999999999997e-07
136,4118.577,4.5248e-07,4124.5740000000005,1.0704e-07
137,4145.579000000001,5.664e-07,4136.5740000000005,1.8064e-07
138,4148.575,4.4224e-07,4155.588,1.4112e-07
139,4176.587,4.6768e-07,4168.573,1.1696e-07
140,4186.595,5.5968e-07,4182.583,9.888e-08
141,4193.590999999999,4.376e-07,4204.583,1.1216e-07
142,4220.577,4.9712e-07,4215.588,1.7696e-07
143,4225.576,3.56e-07,4223.589,1.2607999999999995e-07
144,4240.5740000000005,4.300800000000001e-07,4242.579000000001,1.3216e-07
145,4260.576,6.2208e-07,4262.575,1.5792e-07
146,4295.589,4.032e-07,4295.589,4.032e-07
147,4305.589,4.8512e-07,4307.584,1.9056e-07
148,4322.587,6.0448e-07,4319.589,1.9216e-07
149,4332.581,6.5024e-07,4336.584,1.7615999999999996e-07
150,4351.581,4.7584e-07,4352.577,1.8304000000000006e-07
151,4367.588,5.9696e-07,4360.582,1.9264e-07
152,4375.58,4.236800000000001e-07,4374.576,2.088e-07
