,Plateau
0,2.3328e-07
1,2.2240000000000003e-07
2,2.2495999999999997e-07
3,2.2848000000000002e-07
4,2.3455999999999998e-07
5,2.2208e-07
6,2.1920000000000003e-07
7,2.3135999999999998e-07
8,2.2688e-07
9,2.2783999999999998e-07
10,2.6528e-07
11,2.5119999999999997e-07
12,2.4768e-07
13,2.3103999999999998e-07
14,2.2304000000000002e-07
15,2.352e-07
16,2.5248e-07
17,2.2176e-07
18,2.2528e-07
19,2.2176e-07
20,2.2272000000000002e-07
21,2.3616000000000002e-07
22,2.3232e-07
23,2.304e-07
24,2.2080000000000002e-07
25,2.3679999999999998e-07
26,2.48e-07
27,2.4991999999999995e-07
28,2.2656e-07
29,2.4448e-07
30,2.3456e-07
31,2.1312000000000002e-07
32,2.1728e-07
33,2.2464e-07
34,2.6784e-07
35,2.2016e-07
36,2.2752000000000002e-07
37,2.4192e-07
38,2.352e-07
39,2.464e-07
40,2.3103999999999998e-07
41,2.2879999999999998e-07
42,2.6015999999999997e-07
43,2.6304e-07
44,2.4832000000000004e-07
45,2.1440000000000001e-07
46,2.4e-07
47,2.3712e-07
48,2.512e-07
49,2.3232e-07
50,2.2048e-07
51,2.3648e-07
52,2.6111999999999995e-07
53,2.5952e-07
54,2.4416e-07
55,2.432e-07
56,2.3712e-07
57,2.4832000000000004e-07
58,2.9024e-07
59,2.8928e-07
60,2.5248e-07
61,2.544e-07
62,2.5632e-07
63,2.5663999999999995e-07
64,2.4288e-07
65,2.9248e-07
66,2.8864e-07
67,2.3776e-07
68,2.9216e-07
69,3.5712e-07
70,2.5536e-07
71,2.7168e-07
72,2.2848e-07
73,2.3072e-07
74,2.8736e-07
75,2.4064e-07
76,2.5567999999999997e-07
77,2.5760000000000003e-07
78,2.7648e-07
79,2.3232e-07
80,2.6016e-07
81,2.9632e-07
82,2.5375999999999996e-07
83,2.7551999999999997e-07
84,2.9472e-07
85,2.5664e-07
86,2.7167999999999996e-07
87,2.512e-07
88,2.3680000000000003e-07
89,2.416e-07
90,2.5536000000000003e-07
91,2.7103999999999997e-07
92,2.9535999999999997e-07
93,2.6719999999999996e-07
94,2.9631999999999994e-07
95,2.6976e-07
96,3.3664000000000003e-07
97,2.5663999999999995e-07
98,2.5791999999999997e-07
99,2.6111999999999995e-07
100,2.8352e-07
101,2.7232e-07
102,2.3167999999999997e-07
103,2.7712e-07
104,2.992e-07
105,2.5792e-07
106,3.7376e-07
107,2.7232e-07
108,2.464e-07
109,2.5760000000000003e-07
110,2.5728e-07
111,2.3168e-07
112,2.2463999999999998e-07
113,2.3616e-07
114,2.7232000000000005e-07
115,2.7296e-07
116,3.0848e-07
117,2.4448000000000003e-07
118,2.8896e-07
119,2.5248e-07
120,3.8464000000000003e-07
121,2.5216000000000006e-07
122,2.9119999999999996e-07
123,2.608e-07
124,2.5568e-07
125,2.9024000000000004e-07
126,2.608e-07
127,2.3232e-07
128,2.9408000000000005e-07
129,2.8288e-07
130,2.6624e-07
131,2.7968e-07
132,2.8256e-07
133,3.3792e-07
134,3.2448e-07
135,2.3872e-07
136,3.92e-07
137,3.3376e-07
138,3.4528000000000003e-07
139,2.7808e-07
140,3.0272e-07
141,3.2256000000000005e-07
142,3.0048e-07
143,2.6816e-07
144,2.5952e-07
145,2.208e-07
146,2.576e-07
147,2.9087999999999997e-07
148,2.4896e-07
149,3.7504e-07
150,3.1104e-07
151,2.768e-07
152,3.088e-07
153,2.96e-07
154,3.1904000000000003e-07
155,2.6911999999999996e-07
156,2.7136e-07
157,2.7551999999999997e-07
158,3.4336e-07
159,3.1103999999999996e-07
160,2.6656e-07
161,3.2384e-07
162,2.5216e-07
163,3.0496e-07
164,2.4096e-07
165,2.3776e-07
166,2.3551999999999998e-07
167,3.648e-07
168,3.168e-07
169,3.536e-07
170,2.9024000000000004e-07
171,2.7232e-07
172,3.1232e-07
173,3.0976e-07
174,2.7616e-07
175,3.8719999999999997e-07
176,3.3535999999999995e-07
177,3.2896e-07
178,2.5408e-07
179,4.0575999999999995e-07
180,4.3104000000000003e-07
181,2.5696e-07
182,2.4416000000000004e-07
183,2.7456e-07
184,4.6912e-07
185,4.4e-07
186,2.8512000000000005e-07
187,3.504e-07
188,3.7408e-07
189,3.0528e-07
190,3.0976000000000004e-07
191,3.056e-07
192,2.864e-07
193,3.0816e-07
194,3.0432e-07
195,3.2e-07
196,3.0368000000000003e-07
197,2.6719999999999996e-07
198,2.5824e-07
199,2.6304e-07
200,3.9776e-07
201,3.2607999999999997e-07
202,3.4559999999999997e-07
203,2.9759999999999996e-07
204,3.1424e-07
205,2.8032e-07
206,3.7632e-07
207,3.6127999999999996e-07
208,2.9536e-07
209,5.2672e-07
210,2.4927999999999997e-07
211,3.2288e-07
212,3.4912e-07
213,2.6208e-07
214,4.7456000000000004e-07
215,5.0432e-07
216,2.9727999999999997e-07
217,4.0063999999999997e-07
218,3.0208e-07
219,4.0640000000000004e-07
220,2.896e-07
221,4.0160000000000005e-07
222,2.4896000000000003e-07
223,2.4640000000000004e-07
224,2.5792e-07
225,3.7728e-07
226,3.1040000000000003e-07
227,3.1648e-07
228,3.9455999999999995e-07
229,2.4448e-07
230,2.7968000000000003e-07
231,2.7999999999999997e-07
232,3.0560000000000004e-07
233,5.1136e-07
234,5.3728e-07
235,3.2992e-07
236,5.2288e-07
237,5.6192e-07
238,5.7696e-07
239,5.6896e-07
240,3.3408e-07
241,3.8496000000000003e-07
242,3.8272000000000003e-07
243,5.5264e-07
244,5.4112e-07
245,5.190400000000001e-07
246,2.9920000000000003e-07
247,2.5632e-07
248,3.0944e-07
249,2.7968000000000003e-07
250,2.6687999999999997e-07
251,2.7264e-07
252,3.92e-07
253,3.5616e-07
254,3.1456e-07
255,3.3216e-07
256,4.4224e-07
257,5.744000000000001e-07
258,3.616e-07
259,2.8576000000000004e-07
260,2.4992e-07
261,2.736e-07
262,3.1968e-07
263,2.4672e-07
264,3.4272e-07
265,2.448e-07
266,3.2928000000000005e-07
267,2.8512e-07
268,3.1392e-07
269,6.0704e-07
270,3.1616e-07
271,2.416e-07
272,3.4816e-07
273,3.4464e-07
274,3.0560000000000004e-07
275,2.7904e-07
276,2.8512000000000005e-07
277,3.4432e-07
278,3.1072e-07
279,5.8976e-07
280,2.8384e-07
281,2.7583999999999996e-07
282,2.7424e-07
283,3.7152e-07
284,6.835199999999999e-07
285,6.32e-07
286,5.187199999999999e-07
287,
288,
289,5.6192e-07
290,3.0464e-07
291,2.7999999999999997e-07
292,2.9504e-07
293,5.6096e-07
294,3.1136e-07
295,2.9824e-07
296,4.9248e-07
297,3.9071999999999994e-07
298,3.7152e-07
299,6.1024e-07
300,4.0608000000000005e-07
301,3.1072e-07
302,3.6704e-07
303,3.52e-07
304,3.0528e-07
305,3.2320000000000004e-07
306,3.0144e-07
307,3.1456e-07
308,4.4320000000000005e-07
309,3.52e-07
310,5.776e-07
311,5.7856e-07
312,5.776e-07
313,5.6448e-07
314,5.990399999999999e-07
315,5.4656e-07
316,3.8208e-07
317,3.3536e-07
318,3.3472e-07
319,2.8384e-07
320,2.6976e-07
321,2.784e-07
322,5.488e-07
323,
324,3.2768e-07
325,3.2416e-07
326,2.9216e-07
327,4.0416000000000004e-07
328,2.736e-07
329,3.4688e-07
330,5.9584e-07
331,5.4336e-07
332,3.1872000000000004e-07
333,6.5152e-07
334,6.5408e-07
335,6.1728e-07
336,
337,
338,5.539199999999999e-07
339,4.3296000000000003e-07
340,2.5984e-07
341,3.7472e-07
342,5.6864e-07
343,3.2032e-07
344,5.8624e-07
345,2.6144e-07
346,3.1168e-07
347,6.028800000000001e-07
348,6.5856e-07
349,6.8064e-07
350,6.3872e-07
351,5.907199999999999e-07
352,3.3152e-07
353,3.8144e-07
354,3.1904e-07
355,3.4143999999999997e-07
356,2.9344e-07
357,4.1184e-07
358,4.3199999999999995e-07
359,3.1808e-07
360,4.3776e-07
361,3.3856e-07
362,3.2544e-07
363,
364,6.0576e-07
365,4.5215999999999994e-07
366,6.1184e-07
367,2.704e-07
368,5.6352e-07
369,5.3536e-07
370,2.896e-07
371,2.7391999999999995e-07
372,3.3376e-07
373,5.68e-07
374,6.176e-07
375,
376,
377,
378,
379,6.195200000000001e-07
380,5.984000000000001e-07
381,5.1168e-07
382,2.7616e-07
383,3.4336e-07
384,3.1488e-07
385,3.1904e-07
386,5.4752e-07
387,3.808e-07
388,5.8528e-07
389,
390,5.5072e-07
391,3.4367999999999996e-07
392,3.8111999999999996e-07
393,2.9791999999999996e-07
394,3.856e-07
395,3.9360000000000003e-07
396,6.2592e-07
397,2.592e-07
398,2.7584e-07
399,3.312e-07
400,5.1616e-07
401,3.2256e-07
402,2.768e-07
403,3.056e-07
404,5.36e-07
405,6.089600000000001e-07
406,3.7568000000000004e-07
407,5.398399999999999e-07
408,3.0656e-07
409,3.312e-07
410,2.9248e-07
411,3.7952e-07
412,3.3216e-07
413,3.1552e-07
414,5.603200000000001e-07
415,
416,
417,5.849600000000001e-07
418,
419,7.0304e-07
420,3.2832e-07
421,2.7999999999999997e-07
422,2.6464e-07
423,2.736e-07
424,2.5887999999999995e-07
425,
426,5.584e-07
427,
428,
429,4.0063999999999997e-07
430,5.683199999999999e-07
431,3.264e-07
432,7.1712e-07
433,7.5712e-07
434,
435,5.5744e-07
436,4.8032e-07
437,3.4624e-07
438,6.342399999999999e-07
439,
440,5.6064e-07
441,
442,
443,
444,
445,
446,
447,
448,6.755200000000001e-07
