,Plateau
0,1.7792000000000002e-07
1,1.8176e-07
2,1.8688000000000002e-07
3,1.8112e-07
4,1.9264e-07
5,1.7984e-07
6,1.9904000000000001e-07
7,1.8688000000000002e-07
8,1.9424e-07
9,1.7984e-07
10,1.84e-07
11,1.7792e-07
12,1.8303999999999998e-07
13,1.9104e-07
14,1.8719999999999998e-07
15,2.0448e-07
16,1.9904e-07
17,1.824e-07
18,
19,1.8208e-07
20,1.84e-07
21,1.9168e-07
22,1.7888e-07
23,1.8528e-07
24,2.0384e-07
25,1.9808e-07
26,1.9616e-07
27,1.9264e-07
28,
29,2.0031999999999998e-07
30,2.0512e-07
31,1.9680000000000002e-07
32,1.9392e-07
33,2.3744e-07
34,1.856e-07
35,2.8704e-07
36,2.2048e-07
37,2.064e-07
38,2.3199999999999999e-07
39,2.1728000000000002e-07
40,2.304e-07
41,2.6848000000000003e-07
42,1.9776000000000002e-07
43,1.824e-07
44,2.0608e-07
45,2.1247999999999998e-07
46,1.8880000000000002e-07
47,2.0384e-07
48,2.1119999999999999e-07
49,1.8624e-07
50,
51,1.9904e-07
52,1.936e-07
53,2.112e-07
54,2.528e-07
55,2.5312e-07
56,1.9552e-07
57,1.9712e-07
58,1.9936e-07
59,2.0256e-07
60,2.2079999999999997e-07
61,2.368e-07
62,2.6368e-07
63,2.7264e-07
64,2.6592e-07
65,2.3424e-07
66,2.2367999999999998e-07
67,2.3392e-07
68,2.3968e-07
69,2.3968e-07
70,2.4576e-07
71,2.128e-07
72,1.8336e-07
73,2.6816e-07
74,2.0351999999999999e-07
75,2.816e-07
76,2.3936e-07
77,2.9472000000000003e-07
78,2.3775999999999998e-07
79,3.0784e-07
80,2.5344e-07
81,3.2672e-07
82,2.2784e-07
83,2.2528000000000002e-07
84,2.2720000000000002e-07
85,2.9568e-07
86,2.832e-07
87,2.3840000000000002e-07
88,2.1952000000000002e-07
89,4.931199999999999e-07
90,2.2816e-07
91,2.0672e-07
92,2.9727999999999997e-07
93,2.832e-07
94,3.1296e-07
95,2.4672000000000003e-07
96,4.0224e-07
97,2.6784000000000005e-07
98,2.4736e-07
99,2.9504000000000003e-07
100,3.0368000000000003e-07
101,3.1360000000000006e-07
102,2.0128e-07
103,2.0448000000000002e-07
104,3.7887999999999996e-07
105,2.4576e-07
106,2.688e-07
107,2.6144e-07
108,4.0448000000000003e-07
