,ID,Discharge Current
0,0,nan
1,1,nan
2,2,nan
3,3,nan
4,4,nan
5,5,nan
6,6,nan
7,7,nan
8,8,nan
9,9,nan
10,10,nan
11,11,nan
12,12,nan
13,13,nan
14,14,nan
15,15,nan
16,16,nan
17,17,nan
18,18,nan
19,19,nan
20,20,nan
21,21,nan
22,22,nan
23,23,nan
24,24,nan
25,25,nan
26,26,nan
27,27,nan
28,28,nan
29,29,nan
30,30,nan
31,31,nan
32,32,nan
33,33,nan
34,34,nan
35,35,nan
36,36,nan
37,37,nan
38,38,nan
39,39,nan
40,40,nan
41,41,nan
42,42,nan
43,43,nan
44,44,nan
45,45,nan
46,46,nan
47,47,nan
48,48,nan
49,49,nan
50,50,nan
51,51,nan
52,52,nan
53,53,nan
54,54,nan
55,55,nan
56,56,nan
57,57,nan
58,58,nan
59,59,nan
60,60,nan
61,61,nan
62,62,nan
63,63,nan
64,64,nan
65,65,nan
66,66,nan
67,67,nan
68,68,nan
69,69,nan
70,70,nan
71,71,nan
72,72,nan
73,73,nan
74,74,nan
75,75,nan
76,76,nan
77,77,nan
78,78,nan
79,79,nan
80,80,nan
81,81,nan
82,82,nan
83,83,nan
84,84,nan
85,85,nan
86,86,nan
87,87,nan
88,88,nan
89,89,nan
90,90,nan
91,91,nan
92,92,nan
93,93,nan
94,94,nan
95,95,nan
96,96,nan
97,97,nan
98,98,nan
99,99,nan
100,100,nan
101,101,nan
102,102,nan
103,103,nan
104,104,nan
105,105,nan
106,106,nan
107,107,nan
108,108,nan
109,109,nan
110,110,nan
111,111,nan
112,112,nan
113,113,nan
114,114,nan
115,115,nan
116,116,nan
117,117,nan
118,118,nan
119,119,nan
120,120,nan
121,121,nan
122,122,nan
123,123,nan
124,124,nan
125,125,nan
126,126,nan
127,127,nan
128,128,nan
129,129,nan
130,130,nan
131,131,nan
132,132,nan
133,133,nan
134,134,nan
135,135,nan
136,136,nan
137,137,nan
138,138,nan
139,139,nan
140,140,nan
141,141,nan
142,142,nan
143,143,nan
144,144,nan
145,145,nan
146,146,nan
147,147,nan
148,148,nan
149,149,nan
150,150,nan
151,151,nan
152,152,nan
153,153,nan
154,154,nan
155,155,nan
156,156,nan
157,157,nan
158,158,nan
159,159,nan
160,160,nan
161,161,34.6646094
162,162,nan
163,163,nan
164,164,nan
165,165,nan
166,166,nan
167,167,nan
168,168,nan
169,169,nan
170,170,nan
171,171,nan
172,172,nan
173,173,nan
174,174,nan
175,175,nan
176,176,nan
177,177,nan
178,178,nan
179,179,nan
180,180,nan
181,181,nan
182,182,nan
183,183,nan
184,184,nan
185,185,nan
186,186,nan
187,187,nan
188,188,nan
